gid,kids_hh
0600101,0.3669
0600111,0.2842
0600112,0.4081
0600113,0.7954
0600114,0.504
0600115,0.6319
0600116,0.5782
0600117,0.7131
0600118,0.6208
0600119,0.6518
0600120,0.7288
0600121,0.6917
0600122,0.7215
0600123,0.5481
0601301,0.7318
0601305,0.7557
0601308,0.7641
0601309,0.7557
0601310,0.5072
0601311,0.5403
0601312,0.5306
0601313,0.4806
0601314,0.7839
0604103,0.4455
0604104,0.5214
0607507,0.6349
0607508,0.3695
0607509,0.162
0607510,0.238
0607511,0.2932
0607512,0.4069
0607513,0.4654
0607514,0.1913
0608101,0.5007
0608102,0.5265
0608103,0.5726
0608104,0.524
0608105,0.5863
0608106,0.7288
0608505,0.787
0608506,0.8475
0608507,0.6445
0608508,0.6014
0608510,0.6676
0608511,0.6563
0608512,0.6939
0608515,0.5478
0608516,0.5205
0608517,0.4818
0608518,0.646
0608519,0.409
0608520,0.7985
0608521,0.8184
0608522,0.5498
