gid,kids_hh
2500601,0.6031
2500602,0.5603
2500603,0.5024
2500604,0.6489
2500605,0.5338
2500606,0.5858
2500607,0.6647
2500608,0.5101
2500609,0.4004
2500610,0.3647
2500611,0.2902
2500612,0.4698
2500613,0.466
2500701,0.5584
2500702,0.7455
2500703,0.5283
2500704,0.4881
2500705,0.6524
2500706,0.4198
2500801,0.1607
2500802,0.2765
2500803,0.3588
2500804,0.6084
2500805,0.4923
2500806,0.5652
2500901,0.7711
2500902,0.5097
2500903,0.3366
2500904,0.4816
2500905,0.5454
2500906,0.5965
2501101,0.7381
2501102,0.5872
2501103,0.5601
2501104,0.4298
3300301,0.46
3300701,0.5987
3300801,0.4304
