gid,kids_hh
0603703,0.8668
0603704,1.0054
0603705,0.5906
0603706,0.7268
0603707,0.982
0603708,0.6374
0603709,0.6133
0603710,0.719
0603711,0.582
0603712,0.8795
0603713,0.6295
0603714,0.5861
0603715,0.7526
0603716,0.872
0603717,0.6106
0603718,0.4187
0603719,0.4793
0603720,0.4343
0603721,0.3984
0603722,0.5448
0603723,0.8388
0603724,0.5837
0603725,0.5914
0603728,0.2878
0603730,0.3604
0603731,0.1767
0603732,0.2781
0603733,0.43
0603734,0.4489
0603735,0.5384
0603736,0.5154
0603737,0.5961
0603738,0.8506
0603739,0.6881
0603740,0.7131
0603741,1.0439
0603742,1.0818
0603743,0.9266
0603744,0.4646
0603745,1.2035
0603746,0.6328
0603747,0.5092
0603748,0.3545
0603750,0.908
0603751,1.2568
0603752,1.0353
0603753,0.7329
0603754,0.7511
0603757,1.0431
0603758,0.7129
0603759,0.7411
0603760,0.5686
0603761,0.5466
0603762,0.6313
0603763,0.7524
0603764,0.6467
0603766,0.5791
0603767,0.7187
0603768,0.5574
0603770,0.3033
0603771,0.7883
0603772,0.8271
0603773,0.7821
0603774,0.5427
0603775,0.3713
0603776,0.2244
0603778,0.6525
0603779,0.4383
0603780,0.4911
0603781,0.8764
0603782,0.8519
0605906,0.6732
0605907,0.6936
0605908,0.6202
0605909,0.8172
0605912,0.6861
0605913,0.7671
0605914,0.4592
0605916,0.9386
0605917,1.0076
0605918,0.5027
0605919,0.7317
0605920,0.6245
0605921,0.7206
0605922,0.6014
0605923,0.6695
0605924,0.4733
0605925,0.3942
0605926,0.5584
0605927,0.7784
0605928,0.5197
