gid,kids_hh
3400301,0.5161
3400302,0.4671
3400303,0.4171
3400304,0.6099
3400305,0.6766
3400306,0.6457
3400307,0.5729
3400308,0.7456
3400501,0.7799
3400502,0.5188
3400503,0.873
3400504,0.5535
3400601,0.3747
3400602,0.6598
3400603,0.4339
3400604,0.5081
3400605,0.5654
3400800,0.4942
3400901,0.4817
3400902,0.601
3400903,0.6257
3400904,0.722
3400905,0.627
3400906,0.6703
3400907,0.6102
3401001,0.6
3401002,0.5839
3401003,0.5508
3401101,0.4079
3401102,0.622
3401103,0.4919
3401104,0.5384
3401105,0.5434
3401106,0.6689
3401201,0.4182
3401202,0.4371
3401203,2.1538
3401204,0.4171
3401205,0.4551
3401401,0.5303
3401402,0.6866
3401403,0.6253
3401404,0.7106
3401405,0.6526
3401406,0.6309
3401407,0.6835
3401501,0.5305
3401502,0.6109
3401503,0.524
3401504,0.5576
3401600,0.4988
3401901,0.5723
3401902,0.6213
3401903,0.83
3401904,0.5497
3401905,0.7564
3602805,0.5859
3603001,0.6474
3603002,0.6771
3603003,1.5998
3603102,0.5539
3603103,0.6282
3603110,0.6009
3603111,0.6414
3603112,0.5368
3603113,0.5548
3603114,0.6147
3603201,0.7047
3603202,0.6207
3603203,0.6438
3603204,0.661
3603205,0.6753
3603206,0.7702
3603207,0.591
3603208,0.5546
3603209,0.7024
3603210,0.5757
3603211,0.6709
3603212,0.6656
3603301,0.5712
3603302,0.621
3603303,0.6123
3603304,0.6115
3603305,0.4609
3603306,0.6438
3603307,0.5667
3603308,0.7
3603309,0.5939
3603310,0.9303
3603311,0.6518
3603312,0.578
3603313,0.6779
3604103,0.2382
3604104,0.1366
3604107,0.3292
3604108,0.2895
3604109,0.4163
3604110,0.4672
3604111,0.4488
3604112,0.4767
3604121,0.225
3604165,0.1814
3604204,0.7285
3604205,0.8278
3604207,0.6616
3604208,0.5116
3604209,0.6667
3604210,0.5341
3604211,0.5952
3604212,0.6558
3604221,0.7647
3604263,0.7608
3604301,0.5976
3604302,0.3733
3604303,0.5987
3604304,0.4385
3604305,0.7152
3604306,0.5122
3604307,0.7342
3604308,0.4226
3604309,0.5052
3604310,0.5263
3604311,0.657
3604312,1.2837
3604313,0.4832
3604314,0.6123
3604315,0.5775
3604316,0.5834
3604317,0.5126
3604318,0.6422
3604401,0.3339
3604402,0.4398
3604403,0.6539
3604404,0.7366
3604405,0.5773
3604406,0.4227
3604407,0.4631
3604408,0.6162
3604409,0.6762
3604410,0.6656
3604411,0.5261
3604412,0.7167
3604413,0.5854
3604414,0.8142
3604501,0.6359
3604502,0.6381
3604503,0.6108
