gid,kids_hh
1100101,0.3565
1100102,0.5776
1100103,0.3967
1100104,0.6344
1100105,0.2467
1100106,0.1516
2400301,0.5998
2400302,0.6686
2401001,0.6909
2401002,0.7333
2401003,0.5642
2401004,0.5519
2401005,0.6689
2401006,0.6714
2401007,0.597
2401008,0.5586
2401101,0.788
2401102,0.6511
2401103,0.728
2401104,0.5933
2401105,0.5757
2401106,0.5902
2401107,0.4782
2401501,0.6488
2401700,0.6712
5101301,0.4145
5101302,0.3568
5105901,0.6116
5105902,0.5929
5105904,0.6219
5105905,0.7794
5105906,0.6076
5105907,0.6148
5105908,0.6695
5106100,0.6261
5110701,0.6637
5110702,0.8911
5110703,0.9082
5115301,0.8549
5115302,0.8204
5115303,0.8462
5117700,0.6841
5117900,0.7629
5151000,0.3817
5160001,0.7191
5161001,0.6132
5168701,0.8285
