gid,density_amenity,agglomeration,traffic,residual_interactions
600101,-105,-114,5,-14
600111,132,-111,42,-89
600112,574,-111,25,-55
600113,-1841,-215,-89,175
600114,-601,-139,-14,23
600115,-1421,-152,-73,143
600116,-2264,-83,-62,122
600117,436,86,-60,114
600118,-45,73,-66,128
600119,752,-12,-41,77
600120,-304,-45,-31,58
600121,1328,110,-70,135
600122,-2000,-128,-87,171
600123,-1164,-179,-60,116
601301,-1743,-205,-59,116
601305,215,-83,-18,32
601308,-2522,-400,-121,238
601309,-2219,-413,-140,277
601310,-1064,-217,-52,101
601311,-907,-263,-82,159
601312,470,-132,-14,25
601313,-635,-218,-47,90
601314,-2493,-389,-132,262
604103,-1216,-133,31,-65
604104,367,-60,61,-125
607507,-1016,-31,159,-322
607508,-2486,3,314,-630
607509,358,17,131,-264
607510,1903,39,301,-608
607511,1446,36,212,-430
607512,403,6,201,-407
607513,346,-11,162,-328
607514,947,18,196,-395
608101,-962,-25,128,-260
608102,-455,-4,108,-220
608103,370,57,80,-164
608104,-218,86,101,-206
608105,1196,171,53,-111
608106,553,218,36,-76
608505,-959,180,-199,393
608506,-2280,-37,-72,141
608507,2051,222,-54,102
608508,1292,223,-93,181
608510,-235,167,-128,252
608511,293,172,-117,229
608512,577,158,-110,214
608515,1557,227,29,-62
608516,2184,301,-48,89
608517,1982,249,-83,161
608518,1292,199,-150,294
608519,215,183,-102,200
608520,-130,154,-167,330
608521,-755,185,-186,366
608522,2711,237,-16,27
