gid,name,welfare_usd,price_model_usd,rent_data_usd,wedge_usd,welfare_rank,wedge_rank,unpriced_soc_usd,mu_pct,mc_usd,profit_usd,net_social_usd,eta_model,households,H_units
600101,"Alameda County (North)--Berkeley & Albany Cities",27679,27907,25344,-228,33,31,0,-3.4,24374,3533,3305,-0.426,51997,64599
600111,"Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",26927,26952,23772,-25,35,30,0,-15.57,22092,4860,4835,-0.425,43613,58366
600112,"Alameda County (Northwest)--Oakland City (Oakland Hills)",29936,29503,26676,433,26,19,0,-2.32,23579,5924,6357,-0.428,42394,55986
600113,"Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland)",21419,23389,20064,-1970,46,47,-0,-21.77,11713,11676,9706,-0.425,40802,45035
600114,"Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",25174,25904,27120,-730,40,37,0,-0.19,17442,8462,7732,-0.43,67752,83652
600115,"Alameda County (Northwest)--Castro Valley & Ashland",23527,25030,26100,-1504,44,45,0,-2.51,15929,9101,7598,-0.423,35883,40256
600116,"Alameda County (Central)--Hayward City (East)",16780,19067,27204,-2287,53,50,0,-5.25,15294,3773,1486,-0.424,30926,37364
600117,"Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",38490,37914,34464,576,8,17,0,6.45,15436,22478,23054,-0.424,36947,36221
600118,"Alameda County (South)--Fremont (Northeast) & Union City (East) Cities",34172,34083,32412,90,18,28,0,5.24,15797,18286,18375,-0.426,46011,47340
600119,"Alameda County (Central)--Pleasanton & Dublin (West) Cities",36187,35411,35220,776,13,13,0,4.97,21503,13908,14684,-0.429,44657,49489
600120,"Alameda County (East)--Livermore & Dublin (East) Cities",30298,30621,31032,-323,24,33,0,-0.19,18056,12565,12242,-0.425,40980,45568
600121,"Alameda County (South)--Fremont City (Southeast)",40764,39260,33720,1503,5,9,0,5.05,17615,21645,23149,-0.427,40411,42762
600122,"Alameda County (West)--Hayward City (West)",26047,28092,26892,-2045,38,48,0,-4.42,12863,15229,13184,-0.424,34529,32581
600123,"Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale)",22580,23867,20196,-1287,45,43,0,-4.95,14970,8897,7610,-0.423,35324,42617
601301,"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities",19329,21220,21336,-1892,52,46,0,-14.34,11313,9907,8016,-0.425,40149,48285
601305,"Contra Costa County (South)--San Ramon City & Danville Town",33202,33056,34512,146,19,27,0,13.85,24661,8395,8541,-0.431,50613,56285
601308,"Contra Costa County (Northeast)--Antioch City",20161,22966,25776,-2804,49,54,0,-5.76,11870,11096,8291,-0.425,42011,43165
601309,"Contra Costa County (East)--Brentwood & Oakley Cities",21067,23563,28056,-2495,47,51,0,-3.29,14877,8686,6190,-0.423,43761,46332
601310,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities",25083,26315,27228,-1232,41,42,0,-2.31,14901,11414,10182,-0.426,51738,58927
