gid,name,price_usd,welfare_closed,wedge_closed,welfare_open,wedge_open,migration_usd,dGDPmetro_open,dGDPnat_open,households
2500601,"Middlesex County (Northwest)--Outside Lowell",23209,22939,-270,18621,-4588,-4318,33926,18980,50906
2500602,"Middlesex County--Lowell",17683,16861,-823,13102,-4581,-3758,22710,13190,40914
2500603,"Middlesex County (Northeast)--Billerica, Tewksbury & Dracut",23187,23042,-144,18641,-4546,-4401,33621,19682,42348
2500604,"Middlesex County (West Central)",22237,22690,453,18771,-3466,-3919,34858,20540,41521
2500605,"Middlesex County--Framingham & Marlborough",19759,19506,-254,15595,-4164,-3911,28529,17095,43086
2500606,"Middlesex County (Southwest)",26734,27659,926,23028,-3706,-4631,42361,25489,44313
2500607,"Middlesex County--Lexington, Burlington & Wilmington",25404,26275,870,21857,-3547,-4417,41099,25331,50223
2500608,"Middlesex County--Woburn, Melrose & Reading",25344,25890,546,21310,-4034,-4581,38947,23628,67549
2500609,"Middlesex County (East)--Malden & Medford",24783,25294,511,20700,-4083,-4594,38102,23735,55197
2500610,"Middlesex County (East)--Somerville & Everett",27368,27989,621,22894,-4474,-5095,42886,27301,61408
2500611,"Middlesex County (East)--Cambridge",27864,29031,1167,24015,-3849,-5016,45847,30098,55783
2500612,"Middlesex County--Watertown, Arlington & Belmont",25772,27135,1363,22768,-3004,-4367,42473,26716,42920
2500613,"Middlesex County--Newton & Waltham",23389,24252,862,20099,-3290,-4153,37392,23528,53405
2500701,"Essex County (Northwest)--Haverhill & Methuen",18418,17338,-1080,13414,-5004,-3924,23268,13021,47208
2500702,"Essex County (West)--Lawrence & Andover",20034,19100,-933,14812,-5222,-4289,25940,15528,47601
2500703,"Essex County (North)--Newburyport, Amesbury & North Andover",20154,19999,-155,16280,-3873,-3719,28586,15819,46687
2500704,"Essex County (Central)--Peabody, Danvers & Saugus",20603,20392,-211,16449,-4154,-3943,28931,16566,64885
2500705,"Essex County--Lynn & Nahant",18265,17428,-838,13518,-4747,-3909,23747,13974,37888
2500706,"Essex County (South Coastline)--Salem, Beverly & Gloucester",17771,17375,-397,13976,-3796,-3399,25063,13924,63596
2500801,"Boston City--Allston, Brighton & Fenway",25484,25629,145,20593,-4890,-5036,38393,24807,52612
2500802,"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End",21830,22777,946,18893,-2937,-3883,36324,24006,69469
2500803,"Boston City--Dorchester & South Boston",21276,21550,274,17587,-3689,-3963,34440,21992,51488
2500804,"Boston City--Mattapan & Roxbury",16988,16661,-327,13130,-3858,-3531,25085,16215,46343
2500805,"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury",23570,24068,498,19747,-3823,-4321,37653,23750,53632
2500806,"Suffolk County (North)--Revere, Chelsea & Winthrop",21599,21391,-208,17011,-4588,-4379,31055,19521,46784
2500901,"Norfolk County (Northwest)--Needham, Wellesley & Westwood",29223,29947,725,24792,-4431,-5156,47626,29157,47838
2500902,"Norfolk County--Brookline, Milton & Dedham",23723,24484,762,20307,-3416,-4177,38614,24050,44599
2500903,"Norfolk County--Quincy",17903,18006,103,14620,-3283,-3386,27921,17541,36678
2500904,"Norfolk County (Northeast)--Weymouth, Braintree, Randolph & Cohasset",22951,22924,-27,18548,-4403,-4376,34774,21387,57789
2500905,"Norfolk County (Central)--Norwood, Stoughton & Canton",20780,20710,-69,16788,-3992,-3923,32185,19607,44730
2500906,"Norfolk County (Southwest)--Franklin, Walpole & Foxborough",22440,22175,-265,18018,-4422,-4157,34285,19668,50565
2501101,"Plymouth County--Brockton",18275,17626,-649,13850,-4425,-3776,24784,14665,34538
2501102,"Plymouth County (West)--Bridgewater, Abington & Whitman",19344,18752,-592,14980,-4365,-3772,27014,15127,46615
2501103,"Plymouth County (North)--Marshfield, Hingham & Scituate",18288,18073,-215,14715,-3573,-3359,28000,16062,49782
2501104,"Plymouth County (South)--Plymouth Town, Middleborough & Wareham",15039,14197,-842,11190,-3849,-3007,20049,10462,55224
3300301,"Strafford & Rockingham (Northern) Counties",15788,14514,-1275,11277,-4512,-3237,16923,7113,57120
3300701,"Outer Manchester City",19306,18176,-1130,14399,-4907,-3777,25986,13446,63886
3300801,"Seacoast Region--Rockingham County (Southern), Portsmouth City",17361,17003,-357,13785,-3575,-3218,23977,13110,71540
