gid,name,welfare_usd,price_model_usd,rent_data_usd,wedge_usd,welfare_rank,wedge_rank,unpriced_soc_usd,mu_pct,mc_usd,profit_usd,net_social_usd,eta_model,households,H_units
2500601,"Middlesex County (Northwest)--Outside Lowell",22939,23209,18024,-270,14,26,0,2.44,9261,13948,13678,-0.429,50906,59292
2500602,"Middlesex County--Lowell",16861,17683,17592,-823,35,32,0,-5.71,8178,9505,8683,-0.425,40914,54583
2500603,"Middlesex County (Northeast)--Billerica, Tewksbury & Dracut",23042,23187,22740,-144,13,19,0,-0.7,9295,13892,13747,-0.426,42348,50281
2500604,"Middlesex County (West Central)",22690,22237,21000,453,17,13,0,4.89,11431,10806,11259,-0.428,41521,57240
2500605,"Middlesex County--Framingham & Marlborough",19506,19759,20112,-254,24,24,0,2.32,8834,10925,10672,-0.425,43086,57343
2500606,"Middlesex County (Southwest)",27659,26734,23976,926,4,4,0,5.58,11163,15571,16496,-0.429,44313,54156
2500607,"Middlesex County--Lexington, Burlington & Wilmington",26275,25404,28272,870,6,5,0,8.64,15290,10114,10985,-0.433,50223,64779
2500608,"Middlesex County--Woburn, Melrose & Reading",25890,25344,23016,546,7,10,0,5.29,10342,15002,15548,-0.436,67549,82021
2500609,"Middlesex County (East)--Malden & Medford",25294,24783,25152,511,9,11,0,3.1,10911,13872,14383,-0.43,55197,67608
2500610,"Middlesex County (East)--Somerville & Everett",27989,27368,26088,621,3,9,0,-1.39,12578,14790,15411,-0.432,61408,68545
2500611,"Middlesex County (East)--Cambridge",29031,27864,31536,1167,2,2,0,-6.24,23204,4660,5827,-0.43,55783,66962
2500612,"Middlesex County--Watertown, Arlington & Belmont",27135,25772,25344,1363,5,1,0,9.92,13056,12716,14079,-0.43,42920,59577
2500613,"Middlesex County--Newton & Waltham",24252,23389,26184,862,11,6,0,9.02,11368,12021,12884,-0.431,53405,75026
2500701,"Essex County (Northwest)--Haverhill & Methuen",17338,18418,17712,-1080,33,36,0,-2.9,8354,10064,8984,-0.427,47208,58439
2500702,"Essex County (West)--Lawrence & Andover",19100,20034,18396,-933,25,35,0,-6.52,8238,11796,10862,-0.428,47601,56222
2500703,"Essex County (North)--Newburyport, Amesbury & North Andover",19999,20154,19656,-155,23,20,0,2.15,10418,9736,9581,-0.427,46687,64196
2500704,"Essex County (Central)--Peabody, Danvers & Saugus",20392,20603,20856,-211,22,22,0,2.03,9856,10747,10536,-0.432,64885,85240
2500705,"Essex County--Lynn & Nahant",17428,18265,18204,-838,31,33,0,-9.92,8675,9590,8753,-0.425,37888,48605
2500706,"Essex County (South Coastline)--Salem, Beverly & Gloucester",17375,17771,19560,-397,32,29,0,1.49,10260,7511,7115,-0.429,63596,93098
2500801,"Boston City--Allston, Brighton & Fenway",25629,25484,26076,145,8,15,0,1.14,13096,12388,12533,-0.43,52612,58083
2500802,"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End",22777,21830,26724,946,16,3,0,-7.65,12922,8908,9855,-0.435,69469,108746
2500803,"Boston City--Dorchester & South Boston",21550,21276,24720,274,19,14,0,-12.4,11704,9572,9846,-0.43,51488,71574
2500804,"Boston City--Mattapan & Roxbury",16661,16988,16704,-327,36,27,0,-17.96,10134,6854,6527,-0.428,46343,69530
2500805,"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury",24068,23570,23124,498,12,12,0,-3.04,10073,13497,13995,-0.431,53632,69497
2500806,"Suffolk County (North)--Revere, Chelsea & Winthrop",21391,21599,21672,-208,20,21,0,-2.3,8823,12776,12568,-0.428,46784,57518
2500901,"Norfolk County (Northwest)--Needham, Wellesley & Westwood",29947,29223,23004,725,1,8,0,13.4,15534,13689,14413,-0.432,47838,51114
2500902,"Norfolk County--Brookline, Milton & Dedham",24484,23723,30108,762,10,7,0,10.41,16369,7354,8115,-0.43,44599,60686
2500903,"Norfolk County--Quincy",18006,17903,22812,103,29,16,0,6.67,10178,7725,7828,-0.425,36678,58851
2500904,"Norfolk County (Northeast)--Weymouth, Braintree, Randolph & Cohasset",22924,22951,20868,-27,15,17,0,3.02,9633,13318,13291,-0.43,57789,70559
2500905,"Norfolk County (Central)--Norwood, Stoughton & Canton",20710,20780,22908,-69,21,18,0,4.43,9605,11175,11105,-0.428,44730,59723
2500906,"Norfolk County (Southwest)--Franklin, Walpole & Foxborough",22175,22440,20640,-265,18,25,0,5.05,10873,11567,11302,-0.429,50565,60656
2501101,"Plymouth County--Brockton",17626,18275,17352,-649,30,31,0,-12.93,8648,9627,8978,-0.422,34538,46339
2501102,"Plymouth County (West)--Bridgewater, Abington & Whitman",18752,19344,19524,-592,26,30,0,2.08,9115,10229,9637,-0.427,46615,60901
2501103,"Plymouth County (North)--Marshfield, Hingham & Scituate",18073,18288,18900,-215,28,23,0,6.16,11127,7161,6946,-0.429,49782,74140
2501104,"Plymouth County (South)--Plymouth Town, Middleborough & Wareham",14197,15039,19608,-842,38,34,0,-4.94,9280,5759,4917,-0.424,55224,85510
3300301,"Strafford & Rockingham (Northern) Counties",14514,15788,16140,-1275,37,38,0,-6.83,6712,9076,7802,-0.421,57120,80090
3300701,"Outer Manchester City",18176,19306,17724,-1130,27,37,0,-1.24,8219,11087,9957,-0.426,63886,78027
3300801,"Seacoast Region--Rockingham County (Southern), Portsmouth City",17003,17361,18504,-357,34,28,0,-2.84,7763,9598,9240,-0.43,71540,111885
