gid,density_amenity,agglomeration,traffic,residual_interactions
603703,-1222,-239,23,-48
603704,-1699,-264,27,-57
603705,-48,-35,20,-43
603706,-623,-69,4,-12
603707,-1376,-104,-2,1
603708,-645,-42,10,-22
603709,-398,-14,31,-65
603710,-555,-70,-21,38
603711,286,-41,-12,21
603712,-868,-70,-21,39
603713,-316,-66,-21,38
603714,130,-49,-18,32
603715,-696,-78,-25,46
603716,-999,-108,-35,66
603717,467,-35,-15,28
603718,577,-6,16,-35
603719,213,-7,16,-35
603720,164,20,18,-39
603721,-215,9,11,-25
603722,-339,-1,13,-29
603723,-1097,-67,0,-4
603724,186,-3,16,-35
603725,127,-5,31,-66
603728,982,58,20,-42
603730,611,33,11,-25
603731,858,38,13,-28
603732,28,24,8,-19
603733,-274,-7,-1,0
603734,17,-5,0,-3
603735,22,-28,-5,7
603736,596,-32,-14,25
603737,-177,-62,-29,56
603738,-868,-81,-37,72
603739,-87,-78,-25,46
603740,-488,-98,-34,65
603741,-1283,-129,-48,93
603742,-1343,-110,-40,78
603743,-1048,-111,-40,77
603744,-63,-36,-8,14
603745,-1465,-87,-31,59
603746,-784,-15,-5,6
603747,-78,4,2,-7
603748,1111,47,19,-42
603750,-971,-44,-18,33
603751,-1256,-78,-31,59
603752,-1291,-139,-57,111
603753,-164,-101,-43,82
603754,-222,-66,-25,46
603757,-1117,-83,-36,68
603758,-335,-17,-12,22
603759,-38,6,-1,-1
603760,1449,53,22,-47
603761,946,29,3,-11
603762,104,-27,-18,32
603763,-194,-45,-26,49
603764,79,-37,-27,51
603766,-346,-16,-10,18
603767,-179,-17,-13,22
603768,560,20,1,-5
603770,785,61,23,-49
603771,-587,-99,19,-41
603772,-989,-105,18,-38
603773,-201,-88,23,-49
603774,413,39,41,-85
603775,445,37,22,-47
603776,591,66,28,-59
603778,-446,-0,-2,0
603779,721,-5,-12,21
603780,-268,-11,-11,18
603781,-610,-84,-44,84
603782,-495,-82,-42,80
605906,129,7,6,-14
605907,168,10,-2,1
605908,364,-1,-14,25
605909,-618,28,-12,22
605912,-467,46,-12,21
605913,-626,55,-21,39
605914,453,67,11,-25
605916,-1179,123,-9,14
605917,-677,130,3,-10
605918,600,122,11,-25
605919,-109,47,-1,-1
605920,480,79,6,-15
605921,662,205,27,-59
605922,1013,129,14,-32
605923,1839,168,14,-33
605924,1056,187,24,-52
605925,853,116,13,-28
605926,907,201,22,-47
605927,1237,211,26,-56
605928,419,177,24,-51
