gid,name,eta_closed,eta_open,households
603703,"Los Angeles County (North Central)--Lancaster City",-0.416,-0.413,47421
603704,"Los Angeles County (North Central)--Palmdale City",-0.42,-0.416,59529
603705,"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)",-0.423,-0.418,67614
603706,"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)",-0.42,-0.417,45454
603707,"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities",-0.421,-0.417,47318
603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",-0.42,-0.417,43734
603709,"Los Angeles County (Central)--San Gabriel Valley Region (North)",-0.422,-0.419,34923
603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",-0.421,-0.417,60660
603711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities",-0.42,-0.415,51087
603712,"Los Angeles County (East Central)--Pomona City",-0.419,-0.416,49118
603713,"Los Angeles County (East Central)--Covina & Walnut Cities",-0.419,-0.416,38271
603714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights",-0.419,-0.416,34431
603715,"Los Angeles County (East Central)--West Covina City",-0.419,-0.417,38004
603716,"Los Angeles County (East Central)--La Puente & Industry Cities",-0.419,-0.417,33340
603717,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",-0.422,-0.417,62197
603718,"Los Angeles County (Central)--Pasadena City",-0.421,-0.417,48891
603719,"Los Angeles County (Central)--Glendale City",-0.422,-0.417,66293
603720,"Los Angeles County (Central)--Burbank City",-0.421,-0.417,44982
603721,"Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village)",-0.421,-0.417,49986
603722,"Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks)",-0.422,-0.418,57822
603723,"Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City)",-0.42,-0.417,46289
603724,"Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana)",-0.422,-0.417,59935
603725,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)",-0.423,-0.417,66988
603728,"Los Angeles County (Southwest)--Santa Monica City",-0.421,-0.417,39804
603730,"Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire)",-0.424,-0.418,63132
603731,"Los Angeles County (Central)--West Hollywood & Beverly Hills Cities",-0.422,-0.417,40340
603732,"Los Angeles County (Central)--LA City (East Central & Hollywood)",-0.423,-0.418,69714
603733,"Los Angeles County (Central)--LA City (Central/Koreatown)",-0.42,-0.417,42786
603734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",-0.424,-0.418,71314
603735,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",-0.423,-0.418,67401
603736,"Los Angeles County (Central)--Alhambra & South Pasadena Cities",-0.42,-0.417,40154
603737,"Los Angeles County (Central)--Monterey Park & Rosemead Cities",-0.419,-0.416,40164
603738,"Los Angeles County (Central)--El Monte & South El Monte Cities",-0.419,-0.416,36970
603739,"Los Angeles County (Southeast)--Whittier City & Hacienda Heights",-0.422,-0.417,54734
603740,"Los Angeles County (Central)--Pico Rivera & Montebello Cities",-0.42,-0.417,39608
603741,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities",-0.421,-0.418,39295
