gid,name,welfare_usd,price_model_usd,rent_data_usd,wedge_usd,welfare_rank,wedge_rank,unpriced_soc_usd,mu_pct,mc_usd,profit_usd,net_social_usd,eta_model,households,H_units
603703,"Los Angeles County (North Central)--Lancaster City",12854,14340,18576,-1486,91,89,0,-7.45,9346,4994,3508,-0.416,47421,57564
603704,"Los Angeles County (North Central)--Palmdale City",17003,18995,19164,-1992,88,91,0,-5.27,9757,9238,7246,-0.42,59529,53685
603705,"Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)",25138,25245,24372,-107,21,45,0,7.91,15593,9652,9545,-0.423,67614,63427
603706,"Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)",21431,22130,22764,-699,58,70,0,0.99,12562,9568,8869,-0.42,45454,43459
603707,"Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities",23276,24757,20568,-1482,38,88,0,-8.01,10227,14530,13049,-0.421,47318,36294
603708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",20579,21279,20460,-700,65,71,0,-0.55,11399,9880,9180,-0.42,43734,43071
603709,"Los Angeles County (Central)--San Gabriel Valley Region (North)",18038,18483,25572,-445,85,61,0,2.97,13680,4803,4358,-0.422,34923,41803
603710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",25040,25649,21804,-608,23,68,0,-4.3,8922,16727,16118,-0.421,60660,51210
603711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities",22903,22649,25044,254,42,28,0,3.53,11770,10879,11133,-0.42,51087,57164
603712,"Los Angeles County (East Central)--Pomona City",22640,23561,19596,-921,47,76,0,-7.93,9803,13758,12837,-0.419,49118,42534
603713,"Los Angeles County (East Central)--Covina & Walnut Cities",24038,24403,22788,-364,33,59,0,4.16,11440,12963,12598,-0.419,38271,35337
603714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights",24268,24173,25188,96,30,34,0,10.16,12120,12053,12148,-0.419,34431,34811
