gid,name,eta_closed,eta_open,households
3400301,"Bergen County (South Central)--Hackensack & Teaneck",-0.418,-0.416,44276
3400302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights",-0.418,-0.416,49458
3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park",-0.418,-0.415,48018
3400304,"Bergen County (West Central)--Fair Lawn, Garfield & Lodi",-0.418,-0.416,49134
3400305,"Bergen County (East)--Tenafly, Park Ridge, Englewood City & Cresskill",-0.418,-0.416,44404
3400306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes",-0.417,-0.415,35997
3400307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford",-0.418,-0.416,43624
3400308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood",-0.418,-0.416,40225
3400501,"Passaic County (South)--Passaic & Clifton (SE)",-0.418,-0.415,54893
3400502,"Passaic County (Central)--Hawthorne",-0.418,-0.416,44152
3400503,"Passaic County--Paterson",-0.417,-0.415,48708
3400504,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes",-0.418,-0.416,41979
3400601,"Hudson County (Central)--Jersey City (North)",-0.421,-0.417,75102
3400602,"Hudson County (Central)--Jersey City (South)",-0.417,-0.415,43906
3400603,"Hudson County (Northeast)--Union City & Hoboken",-0.419,-0.416,64217
3400604,"Hudson County (North)--West New York, Secaucus & North Bergen",-0.418,-0.416,56602
3400605,"Hudson County (South & West)--Bayonne, Kearney & Harrison",-0.417,-0.415,50628
3400800,"Hunterdon County",-0.413,-0.41,50465
3400901,"Middlesex County (Southeast)",-0.418,-0.416,49756
3400902,"Middlesex County (Southwest)",-0.419,-0.416,47606
3400903,"Middlesex County (Northwest)--North Piscataway & South Plainfield",-0.418,-0.415,44857
3400904,"Middlesex County (North Central)--Metuchen & South Edison",-0.418,-0.416,45981
3400905,"Middlesex County (Northeast)--Carteret & North Woodbridge",-0.418,-0.416,43888
3400906,"Middlesex County (Central)--New Brunswick & Highland Park",-0.418,-0.415,67653
3400907,"Middlesex County (East Central)--Perth Amboy & Sayreville",-0.417,-0.415,40610
3401001,"Somerset County (North & West)",-0.419,-0.416,43348
3401002,"Somerset County (South)",-0.418,-0.416,46890
3401003,"Somerset County (Central)--Bridgewater, Somerville & North Plainfield",-0.418,-0.415,55508
3401101,"Monmouth County (Southeast)--Wall, Tinton Falls (South)",-0.415,-0.413,40866
3401102,"Monmouth County (Southwest)--Freehold, Manalapan",-0.417,-0.415,39441
3401103,"Monmouth County (Southeast)--Long Branch, Asbury Park & Eatontown",-0.415,-0.413,43620
3401104,"Monmouth County (Northeast)--Red Bank, Northeast Middletown",-0.416,-0.414,44208
3401105,"Monmouth County (Northwest)--Matawan & Aberdeen",-0.417,-0.415,36250
3401106,"Monmouth County (Central)",-0.418,-0.416,33900
3401201,"Ocean County (South)",-0.41,-0.408,41289
3401202,"Ocean County (Central)--Toms River & Berkeley",-0.414,-0.412,56515
3401203,"Ocean County (Lakewood)",-0.411,-0.41,34990
3401204,"Ocean County (Northwest)",-0.416,-0.415,31897
3401205,"Ocean County (Northeast)--Brick & Point Pleasant",-0.414,-0.412,38479
3401401,"Essex County (Northeast)--Bloomfield",-0.418,-0.416,52830
3401402,"Essex County (South Central)--Irvington",-0.418,-0.416,34703
3401403,"Essex County (Northwest)--Montclair",-0.419,-0.416,47531
3401404,"Essex County (Southwest)--West Orange & Livingston",-0.419,-0.417,40486
3401405,"Essex County (Central)--Orange & East Orange",-0.417,-0.416,32071
3401406,"Essex County (Southeast)--Newark (North & East)",-0.419,-0.416,57051
3401407,"Essex County (Southeast)--Newark (West & Southwest)",-0.418,-0.416,41391
3401501,"Morris County (North)--Dover Town & Kinnelon Borough",-0.418,-0.415,55810
3401502,"Morris County (West)",-0.417,-0.414,51503
3401503,"Morris County (East)--Lincoln Park Borough",-0.418,-0.416,49149
3401504,"Morris County (South)--Morristown, Madison & Florham Park",-0.419,-0.415,50820
3401600,"Sussex County",-0.413,-0.41,57247
3401901,"Union County (North Central)--Union Twp & Roselle Park",-0.418,-0.416,45657
3401902,"Union County (Northwest)--Summit & Cranford",-0.419,-0.416,38177
3401903,"Union County (Southwest)--Plainfield & Westfield",-0.418,-0.416,52740
3401904,"Union County (Southeast)--Linden, Rahway & Roselle",-0.418,-0.416,44306
3401905,"Union County (Northeast)--Elizabeth",-0.418,-0.416,49998
3602805,"Putnam County & Southern Dutchess County",-0.413,-0.41,52857
3603001,"Rockland County (North)--New City & Congers",-0.413,-0.411,37378
3603002,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns",-0.416,-0.414,38547
3603003,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey",-0.412,-0.41,32229
3603102,"Westchester County (Northwest)",-0.417,-0.414,56387
3603103,"Westchester County (Northeast)",-0.418,-0.415,49862
3603110,"Westchester County (Southeast)--White Plains & Rye City",-0.418,-0.415,52815
3603111,"Westchester County (Central)",-0.418,-0.416,42183
3603112,"Westchester County (Southwest)--Yonkers City",-0.418,-0.414,68841
3603113,"Westchester County (South Central East)--Mount Vernon City",-0.418,-0.415,43341
3603114,"Westchester County (South Central West)--New Rochelle City",-0.416,-0.414,47886
3603201,"Nassau County (Northwest)--North Hempstead Town (North)",-0.419,-0.417,40799
3603202,"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City",-0.419,-0.416,45702
3603203,"Nassau County (East Central)--Oyster Bay Town (Central)",-0.418,-0.416,41164
3603204,"Nassau County (West Central)--North Hempstead Town (South)",-0.418,-0.416,41568
3603205,"Nassau County (West Central)--Hempstead Town (Northwest)",-0.418,-0.416,42703
3603206,"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor",-0.418,-0.416,53238
3603207,"Nassau County (Central)--Hempstead Town (Northeast)",-0.418,-0.416,42598
3603208,"Nassau County (Southeast)--Oyster Bay Town (South)",-0.418,-0.416,42002
3603209,"Nassau County (Central)--Hempstead Town (East Central)",-0.418,-0.415,39897
3603210,"Nassau County (South Central)--Hempstead Town (Southeast)",-0.417,-0.415,38045
3603211,"Nassau County (West Central)--Hempstead Town (West Central)",-0.418,-0.416,44944
3603212,"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City",-0.417,-0.415,39248
3603301,"Suffolk County (Northwest)--Huntington Town (North)",-0.417,-0.415,38437
3603302,"Suffolk County (Northwest)--Huntington Town (South)",-0.418,-0.416,36785
3603303,"Suffolk County (Northwest)--Smithtown Town",-0.418,-0.416,45902
3603304,"Suffolk County (North Central)--Brookhaven Town (North)",-0.416,-0.414,42153
3603305,"Suffolk County (East)",-0.409,-0.406,59291
3603306,"Suffolk County (South Central)--Brookhaven Town (South)",-0.416,-0.414,50729
