gid,name,welfare_usd,price_model_usd,rent_data_usd,wedge_usd,welfare_rank,wedge_rank,unpriced_soc_usd,mu_pct,mc_usd,profit_usd,net_social_usd,eta_model,households,H_units
3400301,"Bergen County (South Central)--Hackensack & Teaneck",23166,23302,20724,-137,62,69,0,0.81,10730,12572,12436,-0.418,44276,50348
3400302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights",22729,22747,19764,-18,64,58,0,10.5,11838,10909,10891,-0.418,49458,59025
3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park",20325,20032,22824,293,91,33,0,12.3,13657,6375,6668,-0.418,48018,69149
3400304,"Bergen County (West Central)--Fair Lawn, Garfield & Lodi",21948,22407,20364,-459,72,92,0,8.02,11520,10887,10428,-0.418,49134,55075
3400305,"Bergen County (East)--Tenafly, Park Ridge, Englewood City & Cresskill",25198,24674,23664,524,44,25,0,10.68,17039,7635,8159,-0.418,44404,54249
3400306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes",23306,23085,25176,221,59,38,0,11.78,14873,8212,8433,-0.417,35997,44963
3400307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford",25118,24960,20868,158,45,43,0,14.29,10914,14046,14204,-0.418,43624,49182
3400308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood",29791,28971,25944,820,7,19,0,13.87,14941,14030,14850,-0.418,40225,43612
3400501,"Passaic County (South)--Passaic & Clifton (SE)",20961,22042,17316,-1081,86,138,0,-2.95,9966,12076,10995,-0.418,54893,55951
3400502,"Passaic County (Central)--Hawthorne",21813,22270,21000,-457,75,91,0,7.46,10562,11708,11251,-0.418,44152,50205
3400503,"Passaic County--Paterson",14749,16064,16704,-1315,134,144,0,-15.58,9627,6437,5122,-0.417,48708,61037
3400504,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes",20547,21339,22296,-792,89,124,0,7.92,9988,11351,10559,-0.418,41979,47116
3400601,"Hudson County (Central)--Jersey City (North)",29396,28132,25368,1264,8,9,0,-4.4,14183,13949,15213,-0.421,75102,89256
3400602,"Hudson County (Central)--Jersey City (South)",19045,19146,17832,-100,105,62,0,-15.4,9758,9388,9287,-0.417,43906,60417
3400603,"Hudson County (Northeast)--Union City & Hoboken",27147,26242,21168,906,24,16,0,-2.98,20060,6182,7087,-0.419,64217,77119
3400604,"Hudson County (North)--West New York, Secaucus & North Bergen",20344,20498,19812,-154,90,70,0,1.95,12392,8106,7952,-0.418,56602,71766
