gid,density_amenity,agglomeration,traffic,residual_interactions
5323301,841,164,10,-24
5323302,-764,167,83,-168
5323303,1728,240,31,-66
5323304,2277,225,22,-50
5323305,1416,199,32,-68
5323306,-1378,-92,22,-46
5323307,-743,-169,-22,41
5323308,-743,-115,-15,26
5323309,-771,-65,-13,22
5323310,160,64,1,-6
5323311,-88,31,-5,7
5323312,928,126,10,-23
5323313,475,153,4,-11
5323314,1148,194,9,-21
5323315,1503,201,13,-29
5323316,1284,216,10,-24
5323317,921,226,3,-11
5323318,811,180,2,-8
5325301,-357,-256,-45,88
5325302,-902,-287,-54,106
5325303,-681,-269,-36,68
5325304,-2454,-333,-22,43
5325305,-1018,-341,-55,108
5325306,-1390,-351,-61,120
5325307,-741,-277,-52,102
5325308,-1779,-277,2,-7
5326101,-1030,-162,-3,4
5326102,-1699,-81,49,-101
5326103,504,122,25,-55
5326104,44,88,-7,12
5326105,-92,41,-1,-2
5326106,-583,-60,3,-9
