gid,density_amenity,agglomeration,traffic,residual_interactions
1100101,979,98,14,-32
1100102,427,68,5,-14
1100103,1045,78,14,-32
1100104,17,30,2,-5
1100105,986,103,15,-33
1100106,1018,89,24,-50
2400301,-323,-106,-66,129
2400302,-730,-119,-65,128
2401001,-227,-12,-20,37
2401002,-175,-16,-38,73
2401003,21,11,-29,55
2401004,1166,34,-18,32
2401005,-152,9,-24,46
2401006,-307,-28,-35,67
2401007,224,24,-16,28
2401008,1233,62,-1,-2
2401101,-1605,-42,-29,55
2401102,-666,-70,-24,44
2401103,-574,-37,-16,29
2401104,-627,-33,-4,5
2401105,-747,-85,-9,15
2401106,-945,-65,3,-9
2401107,-501,-13,2,-6
2401501,-1172,-350,-82,162
2401700,-1558,-184,6,-14
5101301,1469,142,27,-58
5101302,819,117,19,-42
5105901,227,106,30,-63
5105902,1016,145,32,-69
5105904,1071,136,29,-62
5105905,252,90,21,-46
5105906,561,89,15,-33
5105907,74,125,19,-41
5105908,-9,75,13,-30
5106100,-1439,-261,18,-39
5110701,103,113,31,-66
5110702,1492,128,36,-78
5110703,-292,106,53,-111
5115301,-11,-19,17,-38
5115302,-977,-24,-0,-3
5115303,-1036,-24,-0,-3
5117700,-1528,-339,-28,53
5117900,-1129,-269,-30,57
5151000,763,97,17,-37
5160001,673,114,23,-50
5161001,1766,140,26,-57
5168701,-666,-20,10,-23
