gid,name,welfare_usd,price_model_usd,rent_data_usd,wedge_usd,welfare_rank,wedge_rank,unpriced_soc_usd,mu_pct,mc_usd,profit_usd,net_social_usd,eta_model,households,H_units
1100101,"District of Columbia (West)",23262,22203,25572,1059,25,11,0,3.28,28843,-6640,-5581,-0.426,38220,61188
1100102,"District of Columbia (North)",20432,19946,19476,486,33,16,0,-11.92,12940,7006,7492,-0.423,35280,55759
1100103,"District of Columbia (Northeast)",24408,23302,22188,1106,20,8,0,-17.97,14889,8413,9519,-0.426,43069,65793
1100104,"District of Columbia (East)",12714,12670,14064,44,47,24,-0,-21.89,8318,4352,4396,-0.423,36235,81758
1100105,"District of Columbia (Central)",24965,23895,25464,1070,17,10,0,-12.36,20078,3817,4887,-0.426,48548,70911
1100106,"District of Columbia (South Central)",23193,22112,27552,1080,26,9,0,-11.12,15432,6680,7761,-0.426,46374,74952
2400301,"Central Frederick County--Frederick City",20332,20698,19944,-366,34,31,0,-6.54,10296,10402,10036,-0.419,49711,64480
2400302,"Outer Frederick County",21607,22394,17628,-787,31,37,0,3.07,10838,11556,10769,-0.422,51275,57581
2401001,"North Montgomery County--Olney, Damascus & Darnestown",20736,20958,25404,-221,32,28,0,6.98,12883,8075,7853,-0.425,34309,45074
2401002,"North Central Montgomery County--Germantown, Clarksburg & Montgomery Village",24628,24785,22716,-156,18,27,0,4.86,9157,15628,15471,-0.427,61390,68742
2401003,"Central Montgomery County--Gaithersburg & Rockville",23092,23033,24504,58,27,22,0,6.25,12168,10865,10924,-0.427,62971,78303
2401004,"Southwest Montgomery County--North Bethesda & Potomac",27617,26402,26628,1215,11,5,0,11.34,17320,9082,10297,-0.428,43023,58063
2401005,"East Central Montgomery County--Wheaton, Aspen Hill & Glenmont",19999,20120,23256,-121,35,26,0,4.79,10934,9186,9065,-0.425,45709,62812
2401006,"East Montgomery County--Fairland, Colesville & White Oak",23909,24213,22164,-304,22,30,0,5.22,10544,13669,13365,-0.425,44946,50296
2401007,"Southeast Montgomery County--Takoma Park City & Silver Spring",22891,22630,21096,261,28,19,0,-0.84,12079,10551,10812,-0.425,44246,58401
2401008,"South Montgomery County--South Bethesda & Chevy Chase",26441,25149,28476,1292,13,4,0,9.95,20542,4607,5899,-0.426,35082,51063
2401101,"Inner Northwest Prince George's County--College Park City & Langley Park",19232,20852,20544,-1620,37,44,0,-3.33,8987,11865,10245,-0.429,45998,46712
