omega,theta,max_wedge_usd,max_wedge_where,eta_med,rent_fit,converged
0.08,2,1451,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.59,0.662,1
0.08,2.75,1805,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.494,0.662,1
0.08,3.5,2095,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.416,0.662,1
0.08,4.25,2338,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.351,0.662,1
0.08,5,2544,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.296,0.662,1
0.1,2,1821,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.579,0.662,1
0.1,2.75,2279,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.476,0.662,1
0.1,3.5,2660,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.392,0.662,1
0.1,4.25,2982,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.321,0.662,1
0.1,5,3257,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.261,0.662,1
0.12,2,2212,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.566,0.662,1
0.12,2.75,2787,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.457,0.662,1
0.12,3.5,3272,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.366,0.662,1
0.12,4.25,3686,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.288,0.662,1
0.12,5,4043,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.222,0.662,1
0.14,2,2626,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.553,0.662,1
0.14,2.75,3333,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.436,0.662,1
0.14,3.5,3938,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.337,0.662,1
0.14,4.25,4460,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.252,0.662,1
0.14,5,4915,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.179,0.662,1
0.16,2,3064,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.539,0.662,1
0.16,2.75,3921,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.414,0.662,1
0.16,3.5,4664,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.306,0.662,1
0.16,4.25,5314,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.213,0.662,1
0.16,5,5887,Santa Clara County (Northwest)--Mountain View & Los Altos Cities,-0.131,0.662,1
