omega,theta,max_wedge_usd,max_wedge_where,eta_med,rent_fit,converged
0.08,2,668,"Middlesex County--Watertown, Arlington & Belmont",-0.593,0.751,1
0.08,2.75,830,"Middlesex County--Watertown, Arlington & Belmont",-0.498,0.751,1
0.08,3.5,962,"Middlesex County--Watertown, Arlington & Belmont",-0.42,0.751,1
0.08,4.25,1072,"Middlesex County--Watertown, Arlington & Belmont",-0.356,0.751,1
0.08,5,1165,"Middlesex County--Watertown, Arlington & Belmont",-0.301,0.751,1
0.1,2,840,"Middlesex County--Watertown, Arlington & Belmont",-0.582,0.751,1
0.1,2.75,1049,"Middlesex County--Watertown, Arlington & Belmont",-0.48,0.751,1
0.1,3.5,1223,"Middlesex County--Watertown, Arlington & Belmont",-0.396,0.751,1
0.1,4.25,1369,"Middlesex County--Watertown, Arlington & Belmont",-0.326,0.751,1
0.1,5,1494,"Middlesex County--Watertown, Arlington & Belmont",-0.266,0.751,1
0.12,2,1021,"Middlesex County--Watertown, Arlington & Belmont",-0.569,0.751,1
0.12,2.75,1285,"Middlesex County--Watertown, Arlington & Belmont",-0.461,0.751,1
0.12,3.5,1506,"Middlesex County--Watertown, Arlington & Belmont",-0.37,0.751,1
0.12,4.25,1694,"Middlesex County--Watertown, Arlington & Belmont",-0.293,0.751,1
0.12,5,1856,"Middlesex County--Watertown, Arlington & Belmont",-0.227,0.751,1
0.14,2,1214,"Middlesex County--Watertown, Arlington & Belmont",-0.556,0.751,1
0.14,2.75,1538,"Middlesex County--Watertown, Arlington & Belmont",-0.44,0.751,1
0.14,3.5,1814,"Middlesex County--Watertown, Arlington & Belmont",-0.342,0.751,1
0.14,4.25,2052,"Middlesex County--Watertown, Arlington & Belmont",-0.257,0.751,1
0.14,5,2258,"Middlesex County--Watertown, Arlington & Belmont",-0.184,0.751,1
0.16,2,1418,"Middlesex County--Watertown, Arlington & Belmont",-0.543,0.751,1
0.16,2.75,1811,"Middlesex County--Watertown, Arlington & Belmont",-0.418,0.751,1
0.16,3.5,2151,"Middlesex County--Watertown, Arlington & Belmont",-0.311,0.751,1
0.16,4.25,2447,"Middlesex County--Watertown, Arlington & Belmont",-0.218,0.751,1
0.16,5,2707,"Middlesex County--Watertown, Arlington & Belmont",-0.136,0.751,1
