omega,theta,max_wedge_usd,max_wedge_where,eta_med,rent_fit,converged
0.08,2,968,Orange County (Central)--Irvine City (Central),-0.587,0.375,1
0.08,2.75,1207,Orange County (Central)--Irvine City (Central),-0.491,0.375,1
0.08,3.5,1404,Orange County (Central)--Irvine City (Central),-0.412,0.375,1
0.08,4.25,1569,Orange County (Central)--Irvine City (Central),-0.347,0.375,1
0.08,5,1709,Orange County (Central)--Irvine City (Central),-0.292,0.375,1
0.1,2,1219,Orange County (Central)--Irvine City (Central),-0.576,0.375,1
0.1,2.75,1529,Orange County (Central)--Irvine City (Central),-0.473,0.375,1
0.1,3.5,1787,Orange County (Central)--Irvine City (Central),-0.388,0.375,1
0.1,4.25,2006,Orange County (Central)--Irvine City (Central),-0.317,0.375,1
0.1,5,2194,Orange County (Central)--Irvine City (Central),-0.256,0.375,1
0.12,2,1483,Orange County (Central)--Irvine City (Central),-0.563,0.375,1
0.12,2.75,1873,Orange County (Central)--Irvine City (Central),-0.453,0.375,1
0.12,3.5,2202,Orange County (Central)--Irvine City (Central),-0.362,0.375,1
0.12,4.25,2484,Orange County (Central)--Irvine City (Central),-0.284,0.375,1
0.12,5,2728,Orange County (Central)--Irvine City (Central),-0.217,0.375,1
0.14,2,1762,Orange County (Central)--Irvine City (Central),-0.55,0.375,1
0.14,2.75,2242,Orange County (Central)--Irvine City (Central),-0.432,0.375,1
0.14,3.5,2653,Orange County (Central)--Irvine City (Central),-0.333,0.375,1
0.14,4.25,3009,Orange County (Central)--Irvine City (Central),-0.248,0.375,1
0.14,5,3320,Orange County (Central)--Irvine City (Central),-0.174,0.375,1
0.16,2,2059,Orange County (Central)--Irvine City (Central),-0.536,0.375,1
0.16,2.75,2640,Orange County (Central)--Irvine City (Central),-0.41,0.375,1
0.16,3.5,3145,Orange County (Central)--Irvine City (Central),-0.302,0.375,1
0.16,4.25,3589,Orange County (Central)--Irvine City (Central),-0.207,0.375,1
0.16,5,3981,Orange County (Central)--Irvine City (Central),-0.125,0.375,1
