omega,theta,max_wedge_usd,max_wedge_where,eta_med,rent_fit,converged
0.08,2,1205,King County (Northwest Central)--Greater Bellevue City,-0.596,0.709,1
0.08,2.75,1507,King County (Northwest Central)--Greater Bellevue City,-0.501,0.709,1
0.08,3.5,1756,King County (Northwest Central)--Greater Bellevue City,-0.424,0.709,1
0.08,4.25,1966,King County (Northwest Central)--Greater Bellevue City,-0.36,0.709,1
0.08,5,2145,King County (Northwest Central)--Greater Bellevue City,-0.306,0.709,1
0.1,2,1514,King County (Northwest Central)--Greater Bellevue City,-0.585,0.709,1
0.1,2.75,1903,King County (Northwest Central)--Greater Bellevue City,-0.484,0.709,1
0.1,3.5,2230,King County (Northwest Central)--Greater Bellevue City,-0.401,0.709,1
0.1,4.25,2508,King County (Northwest Central)--Greater Bellevue City,-0.331,0.709,1
0.1,5,2747,King County (Northwest Central)--Greater Bellevue City,-0.272,0.709,1
0.12,2,1839,King County (Northwest Central)--Greater Bellevue City,-0.572,0.709,1
0.12,2.75,2328,King County (Northwest Central)--Greater Bellevue City,-0.465,0.709,1
0.12,3.5,2743,King County (Northwest Central)--Greater Bellevue City,-0.375,0.709,1
0.12,4.25,3100,King County (Northwest Central)--Greater Bellevue City,-0.299,0.709,1
0.12,5,3410,King County (Northwest Central)--Greater Bellevue City,-0.233,0.709,1
0.14,2,2183,King County (Northwest Central)--Greater Bellevue City,-0.559,0.709,1
0.14,2.75,2784,King County (Northwest Central)--Greater Bellevue City,-0.444,0.709,1
0.14,3.5,3301,King County (Northwest Central)--Greater Bellevue City,-0.347,0.709,1
0.14,4.25,3750,King County (Northwest Central)--Greater Bellevue City,-0.263,0.709,1
0.14,5,4144,King County (Northwest Central)--Greater Bellevue City,-0.191,0.709,1
0.16,2,2548,King County (Northwest Central)--Greater Bellevue City,-0.546,0.709,1
0.16,2.75,3273,King County (Northwest Central)--Greater Bellevue City,-0.422,0.709,1
0.16,3.5,3908,King County (Northwest Central)--Greater Bellevue City,-0.316,0.709,1
0.16,4.25,4467,King County (Northwest Central)--Greater Bellevue City,-0.224,0.709,1
0.16,5,4962,King County (Northwest Central)--Greater Bellevue City,-0.143,0.709,1
