omega,theta,max_wedge_usd,max_wedge_where,eta_med,rent_fit,converged
0.08,2,907,Fairfax County (Northeast)--McLean & Idylwood,-0.591,0.78,1
0.08,2.75,1129,Fairfax County (Northeast)--McLean & Idylwood,-0.496,0.78,1
0.08,3.5,1312,Fairfax County (Northeast)--McLean & Idylwood,-0.418,0.78,1
0.08,4.25,1465,Fairfax County (Northeast)--McLean & Idylwood,-0.353,0.78,1
0.08,5,1595,Fairfax County (Northeast)--McLean & Idylwood,-0.299,0.78,1
0.1,2,1147,Fairfax County (Northeast)--McLean & Idylwood,-0.58,0.78,1
0.1,2.75,1437,Fairfax County (Northeast)--McLean & Idylwood,-0.478,0.78,1
0.1,3.5,1678,Fairfax County (Northeast)--McLean & Idylwood,-0.394,0.78,1
0.1,4.25,1882,Fairfax County (Northeast)--McLean & Idylwood,-0.323,0.78,1
0.1,5,2056,Fairfax County (Northeast)--McLean & Idylwood,-0.263,0.78,1
0.12,2,1401,Fairfax County (Northeast)--McLean & Idylwood,-0.567,0.78,1
0.12,2.75,1766,Fairfax County (Northeast)--McLean & Idylwood,-0.458,0.78,1
0.12,3.5,2075,Fairfax County (Northeast)--McLean & Idylwood,-0.368,0.78,1
0.12,4.25,2338,Fairfax County (Northeast)--McLean & Idylwood,-0.291,0.78,1
0.12,5,2565,Fairfax County (Northeast)--McLean & Idylwood,-0.225,0.78,1
0.14,2,1669,Fairfax County (Northeast)--McLean & Idylwood,-0.554,0.78,1
0.14,2.75,2120,Fairfax County (Northeast)--McLean & Idylwood,-0.438,0.78,1
0.14,3.5,2505,Fairfax County (Northeast)--McLean & Idylwood,-0.339,0.78,1
0.14,4.25,2838,Fairfax County (Northeast)--McLean & Idylwood,-0.255,0.78,1
0.14,5,3129,Fairfax County (Northeast)--McLean & Idylwood,-0.182,0.78,1
0.16,2,1953,Fairfax County (Northeast)--McLean & Idylwood,-0.54,0.78,1
0.16,2.75,2501,Fairfax County (Northeast)--McLean & Idylwood,-0.415,0.78,1
0.16,3.5,2976,Fairfax County (Northeast)--McLean & Idylwood,-0.308,0.78,1
0.16,4.25,3391,Fairfax County (Northeast)--McLean & Idylwood,-0.215,0.78,1
0.16,5,3758,Fairfax County (Northeast)--McLean & Idylwood,-0.133,0.78,1
