gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
600101,1642.88354366757,80350.4938018233,25344,27907.4623063136,-3.4,64598.8665709281,31.65,9.96296748415086,10.4803907603913,10.6177483005419,10.8424383984622,10.9440220309477,11.2996256409562
600111,1601.07650451686,85008.3140751762,23772,26951.7042812377,-15.57,58365.6906163626,27.24,10.3339593914118,10.3959338124682,10.581677143417,10.8237614138718,11.0935023723429,11.5120659280874
600112,696.589780300817,94652.4811992622,26676,29503.0031375734,-2.32,55985.8303203975,60.86,10.3922341776161,10.4846548015712,10.4861758883459,10.600182102528,10.796523416206,11.1521156101911
600113,974.95441003819,50832.6642431107,20064,23389.1817050654,-21.77,45034.5320679434,41.85,9.94486523285843,10.1892326845108,10.6086861486869,11.0324142799298,11.3387296767666,11.884955442444
600114,949.967248527583,71392.090786152,27120,25904.0514153567,-0.19,83651.9799339791,71.32,9.96627279036586,10.1283177119377,10.3015326852677,10.6092847148783,10.8629049134696,11.2188750419246
600115,263.823178137861,58385.5378878818,26100,25030.4987552401,-2.51,40256.2017128893,136.01,9.90231971602799,10.0534873530552,10.4123944971637,10.6402352590152,10.9567707742228,11.3041974506113
600116,327.574423109169,41567.8514048488,27204,19067.0219221024,-5.25,37364.0255850421,94.41,9.93223763665925,10.0828746206248,10.2844094750029,10.8132171170342,11.0130507155603,11.2814113252398
600117,279.919512237921,88678.2650708133,34464,37913.5980379037,6.45,36221.1671908435,131.99,9.94597889770939,10.2092166633817,10.3714897159,10.5797084460589,10.8301144963522,11.0615413790119
600118,564.409463643592,81672.2724752495,32412,34082.7207333967,5.24,47339.9533114129,81.52,9.95103140508409,10.1968781161454,10.3642231042042,10.656530405415,10.798935005378,11.1228441210582
600119,114.628850799095,95589.510460816,35220,35411.2192856839,4.97,49488.8336062517,389.58,9.92815756936653,10.2628010460947,10.1734521258772,10.36294556923,10.5683578087554,10.70358911561
600120,60.3201380932174,78277.6812874199,31032,30621.2693089517,-0.19,45567.6470468464,679.38,9.79763735727639,9.97109572218279,10.1791624328068,10.2937270543977,10.4837234922692,10.622054891471
600121,523.733345740222,103261.66837878,33720,39260.4769626974,5.05,42761.951582928,77.16,10.1398673450746,10.2339949395481,10.4526670567092,10.752168122515,10.8354315751905,10.9600441400236
600122,479.23717800908,53137.9120954302,26892,28091.6996759019,-4.42,32581.316462194,72.05,9.97032649180348,10.0375607236358,10.474510421589,10.8477080168167,11.2981880377665,11.7282620308182
600123,2356.4817246001,60765.7969580884,20196,23867.2440811528,-4.95,42617.4522457305,14.99,10.1921117357985,10.4005484121362,10.7051018465934,11.0742183775574,11.3286434393578,11.8689099122739
601301,758.953410885271,49848.8643462442,21336,21220.1608552143,-14.34,48284.672462939,52.9,9.95507934445303,10.1449561700512,10.5865834564794,11.0959552208123,11.3533295249475,11.8432501915834
601305,126.920630318835,87313.6347588716,34512,33055.8762839158,13.85,56284.6812223287,398.78,9.90392008225367,10.107168376052,10.2643292468571,10.2680033597411,10.383934752498,10.6081214283294
601308,251.711270104299,43435.848851335,25776,22965.5292035202,-5.76,43164.7982199635,166.9,9.77229206855789,9.90719131534692,10.2484993254436,10.5555001856604,10.957507202603,11.5368308913379
601309,119.34187983363,47935.8191288096,28056,23562.555251778,-3.29,46331.7420268757,366.69,9.72830521856048,9.89765828573478,9.99337346532113,10.3461010569113,10.6929642317624,11.1081025711305
601310,418.626116883144,64687.5052570856,27228,26315.3227084942,-2.31,58927.2675859256,123.59,9.93223794630901,10.0940533649048,10.2000705885023,10.5051669377573,10.8149030504522,11.2305938317205
601311,229.397054413001,66557.9246074394,25644,25808.6823254573,-4.44,52234.3210130044,192.47,9.85512363985927,10.1500463832324,10.2489391138019,10.533323571327,10.8163104439974,11.3188835133295
601312,164.261099154027,92986.7230044569,32028,27842.1755348947,8.68,45847.8881856537,202.05,10.1390784424103,10.3342918006353,10.496140896525,10.5839961464874,10.6640547226386,10.9839296492642
601313,318.882147771403,71558.6990384744,29040,26948.5641165595,3.96,78486.128629168,207.06,9.82446883158841,10.0080406593193,10.1624165518314,10.3816878103422,10.6755156073891,10.9880574642624
601314,236.167133699992,44258.547475996,24888,23778.3916737668,-9.18,34650.2842447948,146.32,9.78348585754871,10.0860455246673,10.2842667372683,10.8110296526892,11.2561283631436,12.0350773127745
604103,30.8744303528218,59009.4034853638,28848,21500.0748579904,-1.08,49104.5967323401,1209.65,9.57290083298803,9.95254064239054,10.201239853347,10.2974098548949,10.5531158872965,11.000161797395
604104,348.030201627108,91205.5492318973,30600,24944.7522797797,0.24,73151.6947642931,138.24,10.0698302750221,10.3096296252518,10.4375720843662,10.6220102344925,10.7650701564522,11.0601807602796
607507,1604.67074723933,64883.7376778813,19512,27715.2810757932,-1.31,38756.4737434908,22.29,10.0881124430899,10.3634371999639,10.6410666474149,10.9999188578126,11.445822017038,12.0049074579999
607508,1854.72514549911,39571.9252640085,29460,18383.7716096043,9.98,49461.46630754,21.85,10.2773939107646,10.228253397439,10.3367108304661,10.4088903146007,10.5929841500988,10.913607066272
607509,4312.68219790292,92693.113154034,20616,19339.8742523212,6.25,76414.9714626702,8.93,10.5543766520387,10.7333253423235,10.8629829168177,11.1131981396813,11.4143610474,11.7910375649828
607510,4303.57499118809,115452.948308269,33588,38353.5663859718,-5.54,59646.4801960678,11.76,10.578125811862,10.5808858921332,10.6509908244841,10.8121733054577,11.1869065472512,11.4635561577784
607511,4387.3290600291,109625.831602943,30276,34269.5840726778,-6.26,71819.4546630099,12.91,10.3742397406796,10.5282397943093,10.708225684102,10.8422247650237,11.0129851109563,11.3612332536693
607512,2437.18914165183,90190.7105307346,32628,29014.8828036753,12.28,44812.3096024048,14.18,10.4079459461574,10.5397664053139,10.6928617364456,10.9246022491903,11.1794479335787,11.5326482036996
607513,1721.90126426465,88148.6651005448,30120,32337.6838283913,8.83,41148.3756508891,20.88,10.1726712787356,10.4646550706457,10.6719439963603,10.8877764740666,11.0768691576598,11.4152268154524
607514,5059.95326827373,104198.951934874,31440,26947.7427586984,-1.24,64791.5323538581,8.25,10.6365871874319,10.7790483508406,10.743592767074,11.0083797750491,11.2802101952733,11.7055889070825
608101,772.983021645382,66904.6765929387,31440,28872.7862463445,1.44,53806.2986510016,65.6,9.89664450406309,10.1571647785842,10.3168546258407,10.6665152467307,10.9551501390333,11.4150393379465
608102,636.815951681239,74301.1911716427,31764,29216.7953512883,1.18,48432.4558759819,67.63,9.93158081969426,10.2807058500841,10.4536671671344,10.688735969095,11.0652869709848,11.5082823291146
608103,764.619646151904,89398.8666574391,33408,29198.8518647878,6.93,48029.6092389465,49.06,10.1482872430764,10.4526229511631,10.4810458141153,10.7667662025314,11.036975730434,11.3364451234959
608104,60.7267727724124,79144.297142551,39816,27186.6088069783,3.14,56951.3486189445,743.14,9.77115480203008,10.0043173965744,10.1229120100846,10.2687701987289,10.4806972419839,10.6890554405625
608105,630.958055882729,102693.537206207,34464,35607.1990296923,2.39,59545.7685368089,81.22,9.99367358323483,10.3130005540889,10.435574519036,10.644276066947,10.8760497120408,11.1453598536145
608106,239.530178181416,91444.5407697043,30372,31852.018250343,-3.19,44358.0124437914,155.23,9.87584867364666,10.2577186950185,10.4170143403203,10.8546119605931,10.8765334738284,11.2153357682448
608505,516.440365470705,69254.5551480069,30504,37285.6403318809,-0.2,32228.825654788,74.24,9.81655061945099,10.0837576424634,10.4590761490747,10.8375753907919,11.0276257157572,11.4266725185896
608506,21.169471867932,49907.9096476978,26808,26455.0309283783,-9.02,43983.6277974161,2152.29,9.39208187390851,9.61257008873975,9.81275178837724,10.1303542492063,10.3991655708816,10.7209422409321
608507,175.458172517568,120961.644603694,40956,36962.2042788224,7.71,58964.4871121735,265.11,10.1064969035619,10.2304369707143,10.4079709745386,10.5432276019681,10.6610064389501,10.8468578988308
608508,1301.31025152795,103614.722035331,29652,36412.0355016697,3.98,59361.8602894667,39.88,10.0410415096834,10.3195362274792,10.5209131409561,10.8602451995619,10.9786165183384,11.2117687015463
608510,1111.69459414216,77265.4062578178,27120,29932.2530968662,-1.29,62189.4495923544,49.62,9.91579780934585,10.1416968604561,10.5320652124703,10.8739214126674,11.0886194227351,11.4276933684289
608511,1115.04825408777,86758.1517659781,31872,32300.6400284398,4.93,41951.8795410631,33.21,10.1094722866807,10.3989625442274,10.5316102658048,10.8995297794448,11.1074259504129,11.4463443000542
608512,387.030352150778,91964.3820290624,36648,33836.2719405429,6.57,42922.8712993525,98.35,10.0095857375494,10.239863513536,10.43206533736,10.6885502059577,10.8453240597951,11.11092973289
608515,175.040417318467,112373.546446434,34152,33426.3734809571,1.78,42197.0905375195,181.99,9.89094900725775,10.5278307958937,10.5899035646822,10.801973256165,10.9074693486576,11.0689940056102
608516,1583.99265915753,114456.581196455,35784,44569.1686879482,2.02,70344.9046084262,44.08,9.99449343344856,10.3122152586104,10.4375355351287,10.6527669518456,10.8373836764878,11.1021675069932
608517,1057.9784665964,114041.602454416,34104,40839.4608982611,0.32,54509.0908819168,46.99,10.0724727206376,10.3985773180973,10.5441200948531,10.8010142672972,10.877664448692,11.2365231591498
608518,695.20321020789,100404.16175113,36180,41804.9670673506,6.16,37003.8719339967,54.69,9.99823141696772,10.2686716296099,10.521595722072,10.8760557802479,10.9444069949753,11.1515381869499
608519,542.718161753789,85154.7946619325,31368,30332.6207766373,-9.58,75441.790320484,116.76,9.7946967543779,10.1507587707781,10.4220221332988,10.7421815290354,10.8709931469964,11.3941502722039
608520,452.733343353623,79917.2131897658,31116,36219.0913397507,5.73,36910.8231183771,85.49,9.87468688550918,10.1745389138319,10.3585052569911,10.718507257177,11.0409031131207,11.1959885824111
608521,1304.28356284466,71190.782583051,27360,36303.519616544,-2.01,40038.3580151445,34.91,9.8852620913167,10.2008767233554,10.5400246112221,10.9090043480314,11.1699285216322,11.6056429787796
608522,617.833313512595,136253.645867439,35052,38015.0926284071,0.46,55413.3064313497,66.28,10.3692218178899,10.4824871414799,10.6278886182076,10.8425037883247,10.9365578738142,11.1168641548152
