gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
2500601,88.3904665948216,61936.9807296516,18024,23209.0457731179,2.44,59292.0069142669,575.92,9.59459979647505,9.84079611022906,9.93577345054361,10.1537896359253,10.2665775178446,10.4232954532791
2500602,1160.68741504074,50465.0219235923,17592,17683.2818521099,-5.71,54582.8048327343,35.25,9.90214650282737,10.1396762281911,10.4484263662658,10.8336454960031,11.1608470652603,11.389798775056
2500603,244.137002331821,63595.2021342608,22740,23186.5830182583,-0.7,50280.724069795,173.46,9.84437148713008,10.0041451109259,10.1479854196539,10.33455618016,10.5843372385887,10.8583492947647
2500604,110.772423940706,74015.1255907509,21000,22237.1301041131,4.89,57240.2644153809,374.83,9.84506577296088,10.0807274473445,10.1613906612013,10.308522669305,10.3817206106889,10.5327000198004
2500605,362.368127620824,59487.9322476477,20112,19759.1416878359,2.32,57343.2859685615,118.9,9.78213858443713,10.0169613216943,10.3359081386705,10.5462370605845,10.7633207262058,10.9910870913502
2500606,165.989471477868,80736.2552962055,23976,26733.8028827294,5.58,54155.8239376244,266.96,9.87550335185665,10.0727056593171,10.2285734563454,10.2993535739615,10.4127436416474,10.5481397493637
2500607,202.203948389174,81052.3281339932,28272,25404.2699994847,8.64,64779.4561505493,248.38,9.88150258230436,10.1253840687004,10.200455625753,10.314281523474,10.3810941183671,10.6232497264734
2500608,484.120430151441,74408.6063483699,23016,25344.1572312581,5.29,82021.2922376786,139.53,9.76501161855149,10.0456019815828,10.1792555767458,10.300835030708,10.47150159279,10.6920163173106
2500609,1621.52811534653,73015.9245276585,25152,24783.433461356,3.1,67608.2045806528,34.04,9.99546772481728,10.2140095997056,10.3563542470747,10.5575436003696,10.8299355124726,11.0428990351175
2500610,3145.87787177111,73658.1086427888,26088,27367.6930509798,-1.39,68545.3283475366,19.52,10.0445839514607,10.2222673233466,10.380633617132,10.5978031545998,10.829703734105,11.1754680694152
2500611,3368.52258006489,83321.6254716264,31536,27863.9654569762,-6.24,66961.5271203264,16.56,10.0456326049361,10.3939008504589,10.497154250895,10.7713101736283,10.8799652825922,11.141867309915
2500612,1201.90801039214,91074.1022237077,25344,25771.6191277215,9.92,59577.4883266951,35.71,10.3830639592564,10.3647252037691,10.4928588485445,10.6449597094176,10.740818855257,10.8955028948036
2500613,674.47083479838,81356.4085586947,26184,23389.097055184,9.02,75025.7564096561,79.18,9.90752616048654,10.2789719644112,10.4145813993009,10.5041046429346,10.646080302693,10.8778162412756
2500701,329.915912836156,47828.6398741202,17712,18417.9808418417,-2.9,58439.2863475793,143.09,9.66460430984287,9.95568784001427,10.1799144533583,10.4205821270178,10.8590682195068,11.1076737879744
2500702,486.912612412855,50703.8327695963,18396,20033.8121474881,-6.52,56222.4611188979,97.76,9.59171267035224,10.0782495115071,10.4508150857323,10.7420398456791,10.9069532156261,11.157416298834
2500703,105.343613245201,64201.0590569042,19656,20153.6090158289,2.15,64196.08109037,443.19,9.74869416648403,10.0073555357422,10.0741681698707,10.1764940199856,10.3370896236742,10.6124920265888
2500704,174.708864081183,62048.5397601695,20856,20602.7881887239,2.03,85239.7848569232,371.39,9.6688450634152,9.90840497858425,9.95513033609218,10.1530446513513,10.4644158087188,10.7160587616998
2500705,1238.1746071733,49935.3391944757,18204,18265.4680621666,-9.92,48605.0723011949,30.6,9.92339960052834,10.221180589153,10.4100065031209,10.8548138864149,11.1637324834148,11.4867404711875
2500706,335.475591941011,58547.3288856883,19560,17771.4909741414,1.49,93097.9710398917,189.57,9.74001116535992,9.9822596351435,10.0911486802811,10.289859955358,10.4244371117622,10.7054802387395
