gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
2500601,79.5397567196357,41719.0134128293,13497,13991.3130619584,2.44,60859.2492872117,575.92,9.32842478250292,9.63584244502222,9.66600770394371,9.79080099366791,10.0706777994591,10.4748505521968
2500602,1104.25969436962,34186.4607270193,12016,12120.0614808464,-5.71,52441.0707189027,35.25,9.53271855162057,9.9249272587175,10.2211461793181,10.4223915008931,10.7706321412263,11.2376162363074
2500603,209.678623146483,49736.5624346022,15493,16012.4899857284,-0.7,47684.7934725472,173.46,9.4786497329775,9.87896005128069,9.95608937073701,10.1009098187743,10.2871965286818,10.6578011167921
2500604,115.751763331404,62298.7097374078,15486,18582.3184016689,4.89,57816.3503754599,374.83,9.41490784062741,9.80568449602561,9.86984071731989,10.0104542854754,10.0786919184799,10.34879711879
2500605,362.931448426057,49165.5957325609,14312,15697.4753322262,2.32,57240.5637392763,118.9,9.45355530507553,9.79650059821667,10.0144298080642,10.2202765990218,10.3541984505132,10.7587073188872
2500606,142.294097205556,60489.5546967033,14888,18337.6752721914,5.58,50170.9715307704,266.96,9.48374597162407,9.84488443162858,9.94172256546825,10.0842233477939,10.2135664766687,10.5676873799341
2500607,192.895199130434,55489.6391107847,21193,17133.9985979002,8.64,63529.7299111007,248.38,9.31152800484122,9.77275936754671,9.95713679822815,10.0727760372454,10.247397537329,10.522732637984
2500608,430.659872311493,52401.1090110241,15764,16381.4006942722,5.29,79940.2845684218,139.53,9.45154208832191,9.80271037919605,9.87955872282114,10.0378591489266,10.2680332416315,10.6592260359857
2500609,1330.89531111893,47066.4079985004,16507,15082.9564728799,3.1,60650.7967301827,34.04,9.65988552157354,9.92030523192533,10.1643189692223,10.3832168810407,10.6458927910157,11.1107959140354
2500610,2435.41024648826,45891.6278213865,17747,14849.5425331849,-1.39,63515.7483371537,19.52,9.69429232172909,9.98549719975131,10.228604164425,10.456798467027,10.7680882154261,11.2639495715224
2500611,2630.47117367749,56218.7635095467,20578,16166.3508737267,-6.24,61807.454211258,16.56,9.64290290047375,10.1934861428552,10.3804498275295,10.5662329762157,10.6797521216551,11.1115629234841
2500612,1201.32805119236,68221.6438273061,18939,19708.2948576387,9.92,57768.0503927337,35.71,9.80551391606187,10.1015201578835,10.2138216698661,10.3617253772142,10.4337545743807,10.7543445581563
2500613,688.956824670542,68145.9211659342,19011,19580.5296815599,9.02,73874.8235797504,79.18,9.44204883736385,9.95750992889536,10.1670024604224,10.2843351129164,10.34668884228,10.6671484457476
2500701,288.519574878027,33287.3897042551,12969,11974.4489529513,-2.9,55365.7617781929,143.09,9.34654954499703,9.74836154558978,9.95105506228927,10.1858808539789,10.5108552330112,11.0273351417098
2500702,387.474683353021,51921.7871641347,12304,16102.1211691497,-6.52,50928.5186282659,97.76,9.55406085252694,9.9663385970292,10.0429695175722,10.1903335593993,10.3701846441948,10.7545067221821
2500703,105.105244844849,44570.7247290831,14835,14235.5838218276,2.15,63623.7877721992,443.19,9.27519971233947,9.70250055686876,9.79128738980186,9.91524874911592,10.062327213947,10.5381496816432
2500704,168.751398017577,54181.7678915481,15247,16602.5081903362,2.03,84282.1988050734,371.39,9.26398892590082,9.72820273385014,9.77494207131188,9.91837477808617,10.0486703149772,10.4246065702056
2500705,1109.44698019757,38970.6523838658,12199,13138.9204188819,-9.92,45898.9651638542,30.6,9.61944012413272,9.98892574489763,10.2677280426992,10.4414890838595,10.7333039885027,11.2766873273557
2500706,347.426059464066,43691.4234258225,13374,13739.0358571035,1.49,91944.101328064,189.57,9.30388982388703,9.72878754552783,9.81876733447682,9.93387053996046,10.0838540036817,10.5669147635334
2500801,2797.15717398774,39354.8159172202,18833,12779.8810375433,1.14,55528.4564568496,14.19,9.55607824397126,10.2134274166447,10.5297991963541,10.7741510075056,10.9697362024823,11.5685558417929
2500802,2910.70056860755,57031.1365371194,18493,16585.7340116715,-7.65,101015.600715354,24.83,9.57329740236542,9.94747928384027,10.2232392885509,10.4124291808104,10.6208782802812,11.0359164662569
2500803,2138.59722406889,43880.5360898745,17065,14022.7011295337,-12.4,65482.0660549815,22.32,9.70208042975406,9.94288257435678,10.1988910192489,10.4155840832295,10.6867556887697,11.2665385552988
2500804,2739.42044354817,35466.7205476439,11072,12192.1966626018,-17.96,66164.6210740336,17.62,9.56204404120924,10.0255411605081,10.3433694782452,10.6395335495617,11.0469543776833,11.6887832179094
2500805,1170.39528809126,52545.2337776172,15967,16394.1963608268,-3.04,69511.3014560897,44.59,9.61217961633422,9.90705199227668,10.0910005901613,10.305138384677,10.4876666988533,10.9617016860228
2500806,1481.22175130715,42785.4452944008,14785,14014.6946988372,-2.3,54596.7752111044,27.32,9.64380545882861,9.96937118267942,10.2938705968409,10.5377029134838,10.9299636845403,11.4429743683554
2500901,171.86417519987,69637.0727988714,17926,20270.9547396301,13.4,51082.3159416835,223.45,9.3450362106839,10.015580651543,10.1128657619157,10.2050399044512,10.1887574688037,10.4081608601996
2500902,557.014252763226,48995.8545467787,22354,15490.5729200771,10.41,58116.3186892333,77.81,9.54921053933871,9.85118652666534,10.0809159187051,10.2537503335983,10.4455301692988,10.9028129873904
2500903,927.728186279079,48531.2263813959,15408,15242.9978490396,6.67,53895.1544093972,42.92,9.65419472988717,9.94516592684325,10.1768309975328,10.3421961390398,10.5287786617551,10.9810180098826
2500904,398.784765431731,50859.6263665909,15074,15951.1109812203,3.02,69255.8199685116,129.87,9.52454538301712,9.80838502433283,9.92118705585635,10.09049495821,10.2849365011263,10.7275097877827
2500905,208.596308737249,34740.360020634,15814,12360.493509354,4.43,57816.3503754599,207.7,9.36946046874253,9.66162241457115,9.8889153383548,10.1151458908575,10.4611483523156,10.9938121380041
2500906,125.747780997085,48340.4777113996,15214,15570.3517796048,5.05,57188.4506000191,344.17,9.39228581445707,9.76544012804493,9.81059460044596,9.91401017815605,10.0484247836426,10.4367340396584
2501101,580.327974199651,35068.2904881814,11531,12030.9919472644,-12.93,44221.1762902066,55.25,9.6372326523799,9.91176346835456,10.1296991869335,10.348813730568,10.6815449842074,11.1972389021037
2501102,108.791703890072,40898.0274521436,13924,13803.4147753574,2.08,58617.1132469736,405.48,9.40455305985148,9.70494699480178,9.71027802545775,9.84980881186195,10.1351716705995,10.5407211845865
2501103,134.769409300623,42375.8281663464,16427,13399.6675002736,6.16,72120.7715754825,381.72,9.34003065419836,9.69535593967381,9.72901333665315,9.86244711139477,10.0313268743322,10.4626946854454
2501104,62.9468959857983,36990.125955161,14367,11304.5101918066,-4.94,82514.1652268584,863.07,9.28975096642117,9.58353525115596,9.57530188839392,9.70275351626161,9.99325808341284,10.3858134647598
3300301,46.2853114851684,30637.833030628,11915,10927.1315180952,-6.83,76144.9227678827,1177.71,8.99564076137602,9.521950925863,9.54578370012425,9.73061761508117,9.94712308837182,10.4013234923165
3300701,49.9239239905297,34240.6790121709,15234,12233.811879674,-1.24,76770.2804389695,1150.98,9.14041043817074,9.44952477935467,9.46078751345771,9.61774517379446,9.8878792171004,10.2609693955851
3300801,81.2420376488729,42592.2088798242,13846,13486.4262009122,-2.84,109252.018822351,962.12,9.18550841797913,9.46863143195264,9.49683183345469,9.65907894150654,9.86627697057998,10.3026149751853
