gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
603703,128.535634478396,34258.6976023539,18576,14339.5957970517,-7.45,57564.1198138461,368.93,9.73403018271617,9.98576101603273,10.0184738696465,10.1440098284811,10.4588022265859,11.0630668021711
603704,137.343259895703,33337.0572979503,19164,18995.1264830204,-5.27,53684.8392916372,433.43,9.57598221425141,9.71361127190053,9.9181201881337,9.99338551473378,10.4117983617117,10.8345716571715
603705,691.774333104758,55173.6446901401,24372,25244.7508883973,7.91,63426.7771016535,97.74,9.84048217579998,10.0852068272742,10.165935213944,10.3403947657695,10.4998257527521,10.8495315592032
603706,640.019972243821,46766.1182630209,22764,22130.367485248,0.99,43459.3428251916,71.02,9.95377998267798,10.1696720656339,10.25990539187,10.4353962784761,10.7604562342896,11.2768460798862
603707,952.445762261367,39534.6490346399,20568,24757.0905821222,-8.01,36294.4188305368,49.68,9.8761879937984,10.0251628248751,10.2591255495661,10.5012818955116,10.9596246993151,11.5008744526108
603708,435.59766339126,46089.949632385,20460,21278.7958111417,-0.55,43071.1199201314,100.4,9.89278939293084,10.1263640031919,10.2542618771555,10.4385216479219,10.7664604016003,11.2271105415518
603709,21.9622804395726,49984.1344932519,25572,18483.2947269238,2.97,41803.2527112007,1590.15,9.79975291246883,10.1127701002294,10.0499526861088,9.98820146648125,10.1344544717148,10.3043882554956
603710,605.872657507157,48412.1835137429,21804,25648.6149940712,-4.3,51210.0411272283,100.12,9.79982021472336,10.0006441810478,10.1796750921457,10.3759028778651,10.6687402132209,11.1869516170545
603711,323.112604694754,60711.9157257669,25044,22648.8129814443,3.53,57164.1027952144,158.11,9.93288116409703,10.2101436024136,10.304825601446,10.3319389025278,10.5230220222033,10.8474271620441
603712,841.486612899159,44246.1094168186,19596,23560.9180480295,-7.93,42534.4877526305,58.37,9.89049156168114,10.1055791606779,10.2914766271756,10.4438354313106,10.814869852958,11.3800117407543
603713,597.417763701217,51342.9182691962,22788,24402.628274556,4.16,35337.1299456542,64.06,9.99547380028992,10.2911620135932,10.2745085596952,10.4917309824287,10.7663897204405,11.1917925452539
603714,321.183582581777,57701.3841533804,25188,24172.6142393788,10.16,34811.3090489271,107.2,10.0359453306023,10.2302018879798,10.4032443985898,10.4706463068971,10.6604319985364,11.0929733531788
603715,967.033031932937,46282.2738394285,23652,23652,-2.12,33765.5643122587,39.3,9.98747342160579,10.2651999310715,10.3546039733664,10.5764719394253,10.9180860463661,11.3647351081168
603716,682.767280010572,43788.7019164569,21384,26340.0910392041,-3.72,25651.2141751023,48.83,9.96964598556939,10.1766614509298,10.3354765302525,10.5877690632087,10.9945737218272,11.581611710538
603717,860.979818958431,63217.8815569178,23172,24044.4104673543,9.61,67500.6604977912,72.24,10.0108406202318,10.1841815758814,10.300759955152,10.504743876062,10.6151783907495,10.9211965392186
603718,949.899307540922,66253.0237663977,25116,21842.3132355472,-5.31,60447.7805820652,51.47,10.123075087164,10.3734098699375,10.4806233833192,10.6116863254931,10.743927897971,11.0390148736568
603719,839.578091304644,59489.8919491044,24024,21486.0507031776,9.69,77061.7552330453,78.96,10.0724540769048,10.2273244396832,10.2236320822679,10.3858351733057,10.6155049341142,10.965119255937
603720,611.996492487553,58822.0806467915,24336,20953.0899906738,4.32,53188.5036788388,73.5,10.2027511607873,10.3775668713232,10.3080726200269,10.4617662083825,10.6408483768935,11.0908218566548
603721,1869.33427197365,51913.9264771764,21972,19638.5135000733,-3.33,57787.225128906,26.74,10.0996832453603,10.3472002285095,10.4732846780142,10.6181943527649,10.8427875326428,11.2978895551466
603722,1694.16305900539,49915.7121824721,21096,20082.2170511434,-2.95,63643.00251713,34.13,10.0282241309234,10.1831213568323,10.4059935989308,10.5808319205929,10.855240657806,11.2336121533953
603723,1738.89444551685,40728.2373395144,19356,21776.8267893671,-4.77,41126.0740236401,26.62,9.9567050664279,10.1880081096151,10.4019305329311,10.6875620583674,10.9937060039182,11.5985108247753
603724,777.362121364528,58599.3182690886,22740,23039.471212252,5.73,64277.918964393,77.1,9.95734972129798,10.1995970956025,10.2933301161591,10.4147629652515,10.6749847647398,10.983404467488
603725,976.793399821391,57571.2257321263,26340,23980.1727522398,3.69,68163.0965433876,68.58,9.94400461763727,10.1000678566017,10.2831693057784,10.3842670642455,10.6714787355141,10.9124767156643
603728,1606.31421956655,77097.436067658,27048,20490.0648299886,2.16,58780.8791973005,24.78,10.4713039709943,10.6646556918062,10.683870783727,10.7825063299593,10.9042292844072,11.1794497250434
603730,2107.91829414556,66958.9875591454,25608,21544.6457799902,1.37,79753.7616557283,29.95,10.3621635738936,10.3386653516436,10.4637144497113,10.5668060068274,10.7989344621559,11.1810073606397
603731,1158.201591348,76665.6175437801,26364,18390.1090124585,8.83,66090.2810832055,34.83,10.5404852672907,10.6413516527544,10.6875018210124,10.7053234377822,10.876376264496,11.0937239297377
603732,2586.77359658248,55835.8052057677,20904,18478.1986532682,-1.12,90093.267886698,26.95,10.0813162390542,10.2852522257931,10.473775324101,10.6390689531401,10.9106311222476,11.2835792634871
603733,5743.05039466062,50122.5728474528,19020,18516.071547972,-3.11,51219.8695552045,7.45,10.2989364004934,10.4946700327179,10.7287777573847,10.9504605480203,11.275713461852,11.841644396869
603734,2360.60836737423,55512.0701395239,17748,20386.0776192079,-4.4,83196.6599757936,30.21,10.0136661566375,10.2663780744267,10.4491548962784,10.5808133416555,10.9076728672044,11.3156943615957
603735,1346.94396991231,55823.877204756,19860,24619.4634133478,-1.83,65366.9087841567,50.04,9.9543762906948,10.1911378687657,10.2845779822259,10.4109382371971,10.7226324495251,11.1301131361767
603736,1342.93754608087,65464.4064517676,22200,24037.3138776286,7.99,44716.3987633484,29.9,10.2688998236092,10.3770355375667,10.5797718388561,10.6546587557378,10.8428049002366,11.1706298643191
603737,1102.79556680051,52614.2305694651,20688,23071.6034452669,9.78,39888.6749414356,36.42,10.0882850929471,10.2315172126164,10.4707787454683,10.7030336162949,10.9587416794247,11.3823509306856
603738,924.009210006031,42907.1857554278,19356,21356.6955572565,-1.89,34623.5860745816,40.01,10.0519018012932,10.170006322731,10.3988314138512,10.7518419345089,11.2140170756928,11.6321249454306
603739,567.074727234432,54549.8953655632,21492,23965.7078241655,2.14,53657.3196933038,96.52,9.96230277735551,10.1540158783314,10.2616419841663,10.3142077913906,10.5775091498856,11.0650841933693
603740,919.409373463715,48371.4165091993,20412,22819.9899720389,-3.05,37561.3031966698,43.08,9.98809955466032,10.2141255876088,10.4437983152328,10.6667496397691,10.9406470590787,11.4055662888849
603741,1094.88408302903,38235.2973871802,17712,21443.7607719108,-6.79,34084.0053786878,35.89,9.9601208407209,10.1570649265004,10.4744091076156,10.8075803563884,11.274833330756,12.1409793631192
603742,1157.98448519876,36753.8809526109,16464,20129.135502127,-7.78,32795.4984710071,31.4,9.96825265263125,10.2472235884429,10.4802821051974,10.8785848880101,11.3826547037361,12.2959572211891
603743,2026.28510636726,41891.3215965326,16524,23654.0438996129,-6.87,31349.7367157071,18.58,10.0420218462617,10.2843768796657,10.5197223812859,10.8312823626609,11.2852750240353,11.9202926190169
603744,1679.75290394354,53929.2626066161,19428,19906.583865118,-8.26,78021.9926463207,39.67,9.97725025783561,10.2078919446455,10.4920891719333,10.6780621574054,10.8981937321174,11.443386681421
603745,2383.99189267073,35736.9955196421,16704,20639.7301934464,-11.84,29999.3107117763,14.55,10.0433244368036,10.2913769386367,10.6899063299848,11.0170205711133,11.6483869509387,12.2988195743412
603746,2274.93249204022,42380.1167450481,16584,18687.6064963422,-9.65,34567.5640351172,14.31,10.0858946713733,10.4911172293077,10.738465695757,11.0614996608695,11.3576012396689,11.938035404568
603747,1462.68552011284,53841.9836920579,18288,18965.1449695252,-15.68,67604.841834339,37.65,10.1068225851657,10.300134252483,10.4003279891939,10.6387529155252,10.9378128149653,11.3815203238455
