gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
603703,138.903715994188,28550.3368714187,12982,12982,-7.45,54424.1187250254,368.93,9.45404163737597,9.69153250009156,9.7757805059203,9.8999764558274,10.1524811536647,10.7811494469368
603704,112.485748705317,26256.3016695277,14652,12453.9580312087,-5.27,51279.7520267588,433.43,9.42543982011778,9.63041075114616,9.70764692696918,9.90226459617365,10.2025645475555,10.7486770352571
603705,600.352365456922,41705.3853684641,18625,17430.4328179952,7.91,59699.3224486134,97.74,9.59484681787621,9.88671372654656,10.035617100428,10.1584555841508,10.3532265138473,10.7113060491709
603706,569.578927848918,36393.0270915962,17692,15957.2960018862,0.99,40914.5925867911,71.02,9.72212494080568,9.92664243777423,10.1006231119426,10.3091778123118,10.571096375438,11.0599107454738
603707,700.843637587438,28906.0526632255,15663,14002.7186990872,-8.01,34547.298517044,49.68,9.72649998309095,9.95264537607586,10.1536980721025,10.4909477006036,10.8903463512241,11.5304931012786
603708,407.865303566211,34648.4634195415,15410,15402.171709361,-0.55,41519.8007359948,100.4,9.67807069582537,9.86568514360671,10.0580882768118,10.254521550769,10.575722761601,11.0981730056546
603709,25.0420987421642,29939.994877049,18476,13575.8634943936,2.97,41663.3436944598,1590.15,9.34202306654612,9.58223604784333,9.68862247574756,9.69637188130304,9.87959657388824,10.2894218470108
603710,476.786640260559,33573.2164307089,16186,14928.8639368935,-4.3,48903.5341332507,100.12,9.60416793876005,9.84941968310486,10.0448329502822,10.2831127971898,10.5961717082903,11.1605324808625
603711,342.080533326008,44916.5891900254,18074,18307.9277128362,3.53,55235.9123482362,158.11,9.61766939080711,9.89168092786937,10.0414897614871,10.0686432448723,10.2615147373507,10.6365539224047
603712,673.001645801837,30024.8491385633,14461,14231.9339337396,-7.93,39276.4570675523,58.37,9.65953525206629,9.91789078531631,10.1595722462162,10.3804279602937,10.7459761286674,11.3470127615321
603713,527.165166465795,40459.6164389374,17760,16989.975004055,4.16,34505.5934683008,64.06,9.81015794094295,10.0463428312154,10.1800372913434,10.2936351455844,10.5428761476963,10.9800233337264
603714,301.064315532002,43889.798327686,20750,17889.6828035601,10.16,33174.9114479363,107.2,9.81754112481786,9.95820713142678,10.1194044691264,10.2916341952388,10.4885553416814,10.8363755625753
603715,797.839033834902,35217.877660666,16710,15656.9885843855,-2.12,31616.3064867659,39.3,9.84409048831304,10.0584587781221,10.2251891534999,10.4135015656491,10.6689690877347,11.2491153351535
603716,545.357764858932,31207.4759094551,15304,14632.1058631491,-3.72,26542.8388129125,48.83,9.83298334288408,10.0186164407315,10.2386877569145,10.4798726392653,10.8714101760266,11.5660169289605
603717,868.924831540313,47012.7540807504,17151,18280.5812780381,9.61,66360.4916292719,72.24,9.78591702310517,9.87791773736779,10.0478781515914,10.2218671950663,10.4154090509647,10.7304125970933
603718,1048.95054724113,48340.1932865532,17647,18583.6764319269,-5.31,57302.7369731609,51.47,9.8028574034714,10.015913681964,10.1392094524759,10.3070507706582,10.4722020596709,10.7806110497885
603719,911.72492290362,43730.4460147849,16587,17916.1648521458,9.69,73697.6705535122,78.96,9.70669453348358,9.85505309345201,9.97603800803772,10.1410375254613,10.3654769878991,10.7770614693344
603720,643.660520936735,47603.1613859135,17665,18733.7457986708,4.32,49251.7227960138,73.5,9.87935121840767,9.99391216946078,10.1159119194602,10.2508815640433,10.4190980914576,10.8745645871447
603721,2001.903918234,39127.8251361706,15144,16716.9191580743,-3.33,54310.6421970497,26.74,9.81900162227961,9.98305052992711,10.2006092154926,10.3904560502961,10.6494891368842,11.1526630477845
603722,1750.07507189354,37166.5237363341,14635,16307.0726785198,-2.95,59967.980553308,34.13,9.71846262538203,9.90723027348891,10.1259468139965,10.3834873938072,10.6444077367366,11.0938204980203
603723,1473.166330495,30811.0904035456,14163,14499.2287133001,-4.77,39124.1851453969,26.62,9.75942076042075,10.0004327893394,10.2584856931367,10.5610457258729,10.8900906396498,11.4327296885606
603724,784.25215852398,43435.6361532251,17170,17876.924027953,5.73,61737.0505279034,77.1,9.7125466494693,9.85374927588916,10.056197116723,10.2049245629353,10.4532985938945,10.8397607919767
603725,897.561754126093,42042.1727982332,19545,17339.9484860103,3.69,63311.1736467457,68.58,9.64970075299383,9.89763102113364,10.0719935174387,10.212014710661,10.4482426529865,10.8121662959562
603728,2085.02933222519,57074.3411442884,19694,20416.6956787735,2.16,56545.2569018018,24.78,10.1298395277685,10.1960047250515,10.2945847108711,10.3708631536416,10.5374505032013,10.7892443641204
603730,2439.07866196832,48434.673039095,19078,18867.3628906494,1.37,76477.3605464894,29.95,9.8451661969187,9.96860376934452,10.1369389183568,10.3329537769449,10.5076756086228,10.868817435647
603731,1677.2297500938,54418.166730831,19708,19874.2166716852,8.83,63336.3906529625,34.83,10.0629321937691,10.0990005584071,10.168513823428,10.3252694332114,10.4640989583094,10.7833006610635
603732,2906.44314640335,40427.0861497599,14181,16277.300249353,-1.12,83491.5678141834,26.95,9.75244887190227,9.9083693708095,10.1387475248542,10.3803923555561,10.6012035159938,11.0771408026622
603733,6061.37922657211,32409.714158627,12735,14448.5931392826,-3.11,46708.6847075329,7.45,9.92888053634785,10.1195424230197,10.4189424997867,10.7887211185377,11.0810750375534,11.637789099306
603734,2469.29683853304,36532.6434928112,13021,15689.5810678886,-4.4,76938.0558523736,30.21,9.65561627134202,9.86658805069984,10.1704710579631,10.4487961040789,10.6779996703046,11.1607555591538
603735,1231.01442655186,37138.831241208,13863,16052.5033818525,-1.83,62794.2250193008,50.04,9.68220105864377,9.86068385487505,10.0807653012852,10.3177841719882,10.5853449914928,11.0656597793163
603736,1383.99123394913,44124.6734318431,15553,17840.7157577315,7.99,42816.5367864521,29.9,9.91356678840038,10.0489784157339,10.2542079664407,10.4306610046279,10.6473099209521,11.0350044426829
603737,1036.60029069278,36819.5248153691,14394,15878.4525589655,9.78,38679.0079971846,36.42,9.87284176132081,9.98776289596327,10.1958696873896,10.4913485045625,10.7716044766267,11.2895663295469
603738,906.614401993152,30123.3583098565,13585,14042.7837419557,-1.89,36832.3472342297,40.01,9.78866184766319,9.91956718038538,10.2592998023351,10.5734364888135,10.9282015344445,11.5959436923041
603739,539.111387881403,39283.6339382106,16728,16680.3149468677,2.14,53054.6413104812,96.52,9.68055677483933,9.87899322567999,10.0222626764698,10.1781404811174,10.399551045486,10.9097306269089
603740,875.104489879873,34335.5340467823,14288,15208.9577077788,-3.05,38477.27194745,43.08,9.80820802444284,9.9966836111954,10.1905832683815,10.4048175993055,10.7230566554648,11.3791571341393
603741,967.827462209003,26472.2130383509,12857,13395.5854060619,-6.79,34134.1275690299,35.89,9.74047136352065,9.95746125767186,10.2945887012955,10.6960146201113,11.1789089455525,11.9824607047208
603742,1041.61696909674,25425.5742913858,11952,13035.8052889551,-7.78,32239.9424482049,31.4,9.74827856005413,9.98333837179666,10.336816255393,10.7261232832898,11.2220868341252,12.0313907178618
603743,1685.32315860732,28192.4581942275,12283,13652.9926256577,-6.87,31374.8051579971,18.58,9.83995957752196,10.0827986071103,10.4111607152991,10.7722497475281,11.1577526745118,11.8816132256206
603744,1494.94417384252,34939.7206820512,13335,15015.6160266548,-8.26,62023.1665599788,39.67,9.679769881631,9.86598536332928,10.191115401131,10.4879380553133,10.7863239489326,11.2519457986967
603745,1948.15063979821,23768.9177899351,11870,12322.69500269,-11.84,28414.7165820842,14.55,9.86479577934809,10.0989728887965,10.4830614574428,10.9890562696828,11.5241694689138,12.3976450970872
603746,2264.87747364421,26689.8086659013,12679,13102.6579211166,-9.65,32722.9451057425,14.31,9.82017226115819,10.1296343065117,10.4569639227579,10.8578703645232,11.2848352136906,11.8980318973628
603747,1714.60140490761,35389.6599618093,13378,15350.5362753681,-15.68,66608.7821520222,37.65,9.71737772303774,9.90782277707889,10.0673728125166,10.346409970419,10.6729369619424,11.2120625666166
603748,1074.17093143042,51733.6695337501,22648,19728.2543652128,-3.01,80298.7068731922,71.1,9.74655518681131,9.96724332505892,10.0576095359534,10.1747571735774,10.2977303745156,10.6511517237919
603750,1784.80008678759,28714.0757008499,12391,13366.4849022091,-16.45,53929.477449234,29.19,9.71716706500968,9.93728919055089,10.1833502614599,10.5223528892084,10.9207675627469,11.665878278127
603751,1720.99965463857,25172.8516616671,12481,12657.6149270834,-16.36,38835.1594587579,22.36,9.7669970985165,10.013051693975,10.2955832241702,10.7636519998968,11.2092496117993,12.2128768332568
603752,1266.87728405516,27130.7966865741,12643,13638.1058274708,-6.16,40176.5102125219,32.37,9.7347111300232,9.94335295456714,10.2227700570732,10.5841911463563,11.0783122446564,11.8921481001149
603753,1040.29982546504,37185.273786667,15582,16238.3805190913,-0.63,32861.638639935,31.32,9.86570949925749,10.099714632553,10.2843372440299,10.4478801793873,10.7636246668065,11.3182771593171
603754,643.015543106294,38525.9151667294,16709,16798.4913939898,-0.65,38788.6049857423,60.39,9.78043216373097,10.0118734973822,10.1517090535528,10.3015467623273,10.5492833601566,11.1756081833435
603757,827.910052201029,28040.2731069083,13607,13532.3660611862,-16.86,40055.2746057103,48.02,9.68829902634088,9.95029533250784,10.166151656746,10.5432856170748,10.9252758640223,11.767229966757
603758,1444.20016238017,35709.6779942319,13933,15730.8809915177,-9.36,51436.8733731867,35.16,9.75125929514267,9.95755317944825,10.1758260277926,10.3947509971626,10.6980997635053,11.2766007458748
603759,1682.8690489875,33784.9792072607,13273,15226.6034946974,-9.21,36968.1311138587,21.78,9.85842641734974,10.0664837472134,10.2895125309343,10.5773764691613,10.8978813918535,11.4825733894569
603760,1282.46712754991,58455.4049894432,22548,21037.5623033969,1.26,61156.089500062,44.08,10.0919003548364,10.2073421733512,10.2026366800749,10.291078262708,10.363366717267,10.6125690300035
603761,999.602692513435,49724.1973955354,18425,19351.2777641466,5.68,48353.6094207532,46.48,9.83302999801073,10.1572119734024,10.2143337930965,10.3019469375404,10.4683727756594,10.8281951241685
603762,573.364971198566,39738.8478560466,16927,17041.5436699903,-3.82,32727.7945300149,56.74,9.81877607476178,10.0452879635594,10.1988872453928,10.3959258746734,10.6160483412867,11.1486939369555
603763,1280.17108503048,34974.5039562939,13403,15548.3174556922,-7.78,44495.4074695796,34.39,9.7534664207699,10.0252173308011,10.1741774864412,10.433811359164,10.7010488624614,11.2954230007661
603764,926.866184595224,44981.2333780076,19323,18310.1974725212,5.68,50621.200210558,53.43,9.78892070959029,10.0354452414111,10.1445375633911,10.2635516016078,10.4635596364681,10.9163449186146
603766,1156.06522836132,33841.8166341321,12694,14930.833503497,-7.52,35248.5252668425,29.61,9.80360274143918,10.0335890658559,10.3071022481873,10.547475888842,10.8442488845451,11.3381293595479
603767,868.861858213629,35800.0945140637,14101,15485.1266018687,-3.67,61189.0655851148,68.32,9.61278961976268,9.85231629141208,10.0748919907125,10.3001709832495,10.564500018045,11.0954540482227
603768,100.42226754569,49578.1202998076,21172,18736.1281474222,7.29,45041.4526426592,418.18,9.66226814684419,9.88538455325836,9.96415470070386,10.0619400794944,10.1385783476814,10.3562585481382
603770,2164.28134885813,50860.3736353171,19044,19780.1511499756,-2.9,47148.0425466182,21.04,9.88281429088416,10.2069226016942,10.3501521524351,10.4612693585779,10.6470594378254,10.9558084299155
603771,274.341913752946,40287.5813378039,19003,17187.0904837285,1.9,36322.1878007663,131.47,9.69398517684451,9.94018109869717,10.1001617691989,10.17493748561,10.350327689703,10.7736709595259
603772,8.03275197833983,25590.6292119685,18374,12341.0983479953,-0.22,33025.5491803443,3933.46,9.24684282352036,9.4490564007984,9.52418744391219,9.71701773811622,10.0154952859103,10.5590960165958
603773,303.258981852049,38737.6267155208,21713,16800.6689847872,5.33,36407.5376679617,119.75,9.70416789102515,9.97154685704823,10.0990592772937,10.1249194023566,10.3260521227878,10.7597021470364
603774,106.686832599796,49193.170422058,27056,18239.6699538047,8.51,60419.9468955017,517,9.59489412514277,9.88966891000441,9.96616319078658,9.9385361766104,9.98890876818371,10.20612996201
603775,633.931154106331,54558.7626424057,20087,20299.7010077395,4.67,54638.4632778684,81.04,10.0196598101286,10.070615109175,10.0991378957487,10.2071953497544,10.3198644380531,10.5740241174238
603776,2071.43833432459,50781.1955323596,21865,19437.8159659342,6.32,43665.1860341335,20.03,9.91302472251641,10.2370445864556,10.3801426673351,10.4911189147309,10.6768191108389,10.9855207000372
603778,1601.67296411834,32875.5982289848,13679,15016.8860355235,-14.41,38099.0168541977,23.68,9.82683070461057,10.0746017547262,10.2491121572158,10.5521412670691,10.8678302908433,11.5194322826525
603779,1013.43759619423,50556.4331418915,17541,19899.6612406495,4.98,48314.8140265734,46.53,9.89449968189116,10.1362688524549,10.2143571606072,10.2631101566594,10.408733024833,10.7752455669236
603780,1664.80806952535,36048.9155466609,14077,15645.3692391043,-7.1,44470.1904633628,26.06,9.80245241729307,10.0246368073121,10.2173673386289,10.4925864071961,10.7025196857304,11.2070209331328
603781,1072.47380172223,35768.3338973562,16161,15845.3905077384,-4.24,28105.3233135009,26.03,9.91659321521311,10.155007664371,10.3543542098121,10.5000201341153,10.8344807001169,11.5137669527258
603782,1344.23234585468,32912.2236622703,14505,14816.3252366809,-5.72,38457.8742503601,28.08,9.85182960415119,10.0571764299711,10.2179201112546,10.4750138636525,10.8689721273326,11.5559096285953
605906,430.211100759267,42483.4470826879,18798,17794.1766011416,7.56,60649.8096060166,139.62,9.58354545212749,9.86923935882987,9.98496434212273,10.0583373146516,10.2117738594086,10.6413051673976
605907,804.405802156677,40869.2465923923,17545,17192.5226709056,4.07,63156.9619548812,77.21,9.57764995147601,9.85465964043336,10.0763554149912,10.2409376739916,10.4621533130956,10.8688267127632
605908,681.433752171362,43787.7161974911,18918,18064.3992710046,2.98,61863.1355589875,89.33,9.62779294140173,9.91703548539303,10.0245722883373,10.1694433309107,10.3876262041871,10.7972169722272
605909,1145.65020178652,33314.6309826905,16178,15033.3471972229,-0.73,42534.3002937946,36.68,9.71904466140772,9.9699880946278,10.2555709546253,10.4499484259912,10.7352616286039,11.3566149775857
605912,1062.15047168181,38521.8276429866,16762,16711.5116083234,4.58,51977.0992371394,48.74,9.70710703893753,9.95004603418813,10.1228212912493,10.315363119301,10.5893632951654,11.1319631297223
605913,1123.5434683077,35198.253970717,16810,16013.0544729481,3.96,42664.2648642967,38.53,9.76812994199074,9.95215655765121,10.2057140323296,10.4137501223531,10.7553460010181,11.3806102386541
605914,981.815938060445,46009.2912981322,20543,18482.0813106325,5.49,76152.4491202342,75.35,9.65020707581633,9.90916437984013,10.0573653941,10.1102946937785,10.2551519475458,10.6582809384052
605916,1068.23262925317,30333.1969508907,17709,14677.5503773971,-3.85,33897.4756645336,32.52,9.74217192985063,9.99630214924854,10.3033887570426,10.6036946694609,11.0327066525037,11.6063284591928
605917,1132.99477104088,29669.373703404,15210,14375.6379289027,-7.31,38835.1594587579,34.89,9.68291051322445,9.97053689065658,10.2999907781778,10.6565017893592,11.0034117950571,11.6389758412164
605918,966.508778217596,46234.3920377596,20655,18580.2233537809,3.76,67236.2976528792,67.7,9.66040887583144,9.94224563968329,10.0873079064758,10.2017794292098,10.4093264905085,10.8418853787726
605919,715.327576418846,37845.5837390661,18370,16508.5692283193,-0.31,54815.9522062406,76.32,9.60017618398822,9.85222151404409,10.0902742957219,10.2963485800229,10.5846227321942,11.0494480716082
605920,659.612650031767,45316.587344261,19746,18577.325061439,1.93,46401.2312086586,69.45,9.67494256788577,9.99673305941304,10.1954239680397,10.283412660308,10.5075791423454,10.9111679216808
605921,114.174818717229,45414.4547613372,23865,18368.7757080579,7.74,40079.5217270726,342.14,9.56176006079524,9.87961889797178,9.98107952148729,10.0578072730262,10.226650241372,10.5467697020538
605922,654.538668676364,56113.8986036868,20592,21223.368850377,2.69,42452.8299660172,62.41,9.79475231291889,10.1529051728784,10.2448584963342,10.3544828866181,10.5033945640201,10.7560628842699
605923,1183.81351705415,55582.0759387725,24403,21385.7372861075,15.52,50035.3897584442,41.28,9.79980240551155,10.1565837009267,10.2478235409974,10.356977995343,10.5052904330701,10.7570189013348
605924,297.721956191337,58536.8004981307,23227,21715.5552675137,6.23,27940.442888237,89.45,9.98705798997313,10.2483923475048,10.3058159504184,10.3415373780508,10.4843982893577,10.7311666305032
605925,513.83883758364,57492.9347388206,24317,20136.7048129428,7.58,85691.2666641738,149.45,9.7135792233892,9.97358073941815,10.0294963911423,10.0636507964416,10.2054213991726,10.4514988276074
605926,666.046583935323,52805.7185142551,24328,20845.7793081461,9.75,39337.5598133854,58.45,9.89202305267148,10.117602235519,10.2390469364561,10.2861247182599,10.4453965792059,10.7629780313505
605927,97.0462458155383,53214.5801649035,23877,20561.5273744786,5.76,39345.3188922213,393.47,9.63183885966722,9.97891454044545,10.0198312599765,10.0927302157602,10.1596721212317,10.4178861216982
605928,528.186477125,48399.3574957902,21653,18210.2298860454,5.55,74731.5678084018,130.51,9.60074910711834,9.90620011963314,10.0437159110944,10.0775974058282,10.2256047636987,10.5547451854777
