gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
3400301,1347.00544551531,61086.8973111661,20724,23302.3986486062,0.81,50347.611784098,32.87,10.3867481593093,10.5393852202547,10.7776390930178,10.9400969734904,11.1388716080247,11.6176970645707
3400302,729.69009057945,63251.8602566826,19764,22747.2586884181,10.5,59025.2757929458,67.78,10.295805356003,10.5026581436445,10.6103680315245,10.8936569059078,11.0109281865442,11.4773174701023
3400303,1749.91261434525,68918.3605102363,22824,20031.8222853926,12.3,69148.8306381156,27.44,10.5059721664522,10.6722979618633,10.8420837867825,10.9991628443128,11.1616582423766,11.564762997138
3400304,1277.20372667756,56480.1396145793,20364,22406.6047218592,8.02,55074.8747670046,38.47,10.3002198015114,10.5126159125839,10.6866809191652,10.8816030265732,11.090819394234,11.5589495484781
3400305,355.775232107915,73242.6062456754,23664,24674.0058625475,10.68,54249.3140007967,124.81,10.3072080607612,10.554080696216,10.6440226069355,10.7383763276297,10.8311342482159,11.091827737321
3400306,223.751690456806,68875.8442227405,25176,23084.8303855373,11.78,44962.9148764164,160.88,10.3718046161366,10.5371803802298,10.6717551568927,10.7090993493132,10.8050513151778,11.0952470324923
3400307,776.496322893246,66563.4852878037,20868,24960.2427694756,14.29,49182.3188486501,56.18,10.4135886952192,10.5610052672421,10.6707042301365,10.7840414286278,10.9869123884137,11.3756876981694
3400308,425.664078517588,77461.5728526677,25944,28970.9711730246,13.87,43612.1026676634,94.5,10.4116876933303,10.6032268957991,10.7357688066119,10.8015933685786,10.7493604223375,11.0551473008699
3400501,1862.68829667038,47651.9122386523,17316,22042.4905362709,-2.95,55951.4533333713,29.47,10.1684815161867,10.4486124681365,10.7038338065289,11.0397447307539,11.1831223330397,11.7225484765404
3400502,592.320935943408,57173.7264023513,21000,22270.497691176,7.46,50204.9938427447,74.54,10.2645154782539,10.5290704015671,10.6142972804585,10.7306697237947,10.9804943469488,11.4198918486294
3400503,2235.32926055755,39860.8834409235,16704,16063.8656812315,-15.58,61037.0004128484,21.79,10.2804871418567,10.5616792286083,10.7971064272298,11.2239713597846,11.6096312900339,12.3431212050208
3400504,117.892325756061,52594.5890491521,22296,21338.896868444,7.92,47116.0979422142,356.08,10.119471840743,10.3603890523621,10.332070384191,10.4474792420293,10.6755625598371,11.0354456185225
3400601,4559.94112366235,84207.2511628035,25368,28132.2700126624,-4.4,89255.641378018,16.47,10.5258787641917,10.6880837719773,10.764455273284,10.9067134466431,11.1228337108223,11.531464178042
3400602,2020.54494404176,60578.4874701138,17832,19145.8590498426,-15.4,60416.6703427344,21.73,10.5050429497268,10.6758215631758,10.8257312353614,11.0774721250145,11.3804683893634,11.8398669128671
3400603,7467.10276773192,77808.0930080333,21168,26241.8408478,-2.98,77119.2024174875,8.6,10.4861720517578,10.7455661699785,10.909077043888,11.0870057715547,11.2946772107853,11.6444301584626
3400604,1799.17378684076,59391.6477239505,19812,20497.8449402934,1.95,71765.8118871762,31.46,10.273389084667,10.6056286093615,10.7712096250042,10.9739954916331,11.2442001458844,11.7514440776382
3400605,1223.18490888797,62903.4662950688,19080,21675.696036308,3.16,63163.5150831086,41.39,10.37292814013,10.5656632030972,10.7393447496583,10.9044873072147,11.1206711731637,11.6701580245536
3400800,45.5427266441545,65927.6838428273,19524,23537.0408858322,5.69,59927.3632593921,1108.09,9.99574924417066,10.4690368555344,10.3093248873228,10.318834516434,10.4534305379712,10.7260942943326
3400901,228.313490765674,54513.544591314,17844,19185.4171743721,8.24,63606.4423481246,217.93,10.228025912157,10.3621277388606,10.3705267134497,10.5903416860383,10.808805980655,11.0695488604634
3400902,221.374034463152,69623.9012080205,22680,26343.5631569691,9.68,52513.5492999355,215.05,10.3507397245175,10.3579609696674,10.4406007156502,10.661867162063,10.7663126521087,10.8305263932032
3400903,506.800492900558,65273.2664851327,21228,26120.2156490686,7.79,47662.2203030062,88.51,10.3025591616619,10.5331367182882,10.5747666234205,10.7578673901218,10.9248726852164,11.2682782170071
3400904,559.51424092094,66436.5467159322,21720,26732.878853295,7.99,48337.0466596536,82.18,10.3264951726635,10.4545494707596,10.5742832337324,10.7812131938707,10.9343185385042,11.1969990952986
