gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
3400301,1207.21772781421,49126.5306397835,16191,17535.7826339293,0.81,47326.2096067782,32.87,10.1672989703392,10.4366731827605,10.5544855862705,10.7568199491537,10.9956000586669,11.4049986005862
3400302,674.967586744607,50093.6305576384,15464,17807.8117929969,10.5,54475.1940506196,67.78,10.0976627719228,10.3207106228186,10.4539360890983,10.6063566259749,10.8353812230847,11.2958046557432
3400303,1921.04511963529,53257.3797525409,18372,18372,12.3,63563.381252605,27.44,10.1734681186271,10.3890231281021,10.5676586432619,10.723266727987,10.8900929833899,11.3263985342958
3400304,1143.10761241963,45929.013239238,15693,16879.8601949279,8.02,51986.587961808,38.47,10.1574948691915,10.3430937906226,10.5078742364658,10.7070362540379,10.9012575593762,11.4107682759535
3400305,346.037118645041,60857.8106652593,20852,20653.5554774215,10.68,51093.3862279004,124.81,10.1457191518903,10.3819103672728,10.441053855417,10.5268550383801,10.5821007386071,10.8273270299887
3400306,232.057246115174,54601.8476241497,20561,19346.8564359136,11.78,43527.5743082355,160.88,9.95664418430843,10.392081251434,10.4217150713304,10.5696339371078,10.5770843029538,10.8317498680259
3400307,690.733978898204,52789.3391464856,16267,18827.9341558066,14.29,45370.1539857303,56.18,10.1554382180352,10.4066912181435,10.4893879026468,10.6525964581328,10.8289521309508,11.1905032275091
3400308,375.241407440526,61161.9462603951,22322,21035.5513730749,13.87,41342.3197516943,94.5,10.2081685773573,10.5107904709477,10.4996748134785,10.6110548618545,10.6388070261363,10.8860575486404
3400501,1470.29418528163,37309.1638560647,14465,13999.5184166639,-2.95,53758.3856151064,29.47,10.0591402566206,10.3490919488298,10.5965581251934,10.8594107442022,11.1844797628096,11.6378960855373
3400502,504.685293783452,46172.076501677,16747,16958.2863896934,7.46,44428.6407114982,74.54,10.0598496020826,10.3608739933956,10.4601916785184,10.6167529072994,10.796564715715,11.2493357635649
3400503,2013.09256779404,31672.0054077612,13230,12358.2486553443,-15.58,55648.1533087322,21.79,10.0405739941781,10.3977616190407,10.6684958901059,10.985754975991,11.4552561400938,12.0657970172955
3400504,103.713157800854,42678.5956895325,18147,15662.4363079637,7.92,44752.2156792534,356.08,9.86339353327724,10.1911397232423,10.239368996255,10.3756278314467,10.4611487076763,10.8890603673747
3400601,3466.16027412509,58503.3814617173,18745,18904.4449161215,-4.4,71651.6319222913,16.47,10.2474419502066,10.4688108666681,10.6226199069273,10.8076794326711,11.0415772075131,11.4282627513798
3400602,1959.46038111117,42731.2871692888,13268,15122.2073815452,-15.4,53485.3692360629,21.73,10.1562472742022,10.4186946473521,10.6250724544476,10.861467529428,11.223310966464,11.6506502260777
3400603,6352.09500476298,55508.2807300909,18419,18486.1014976593,-2.98,67460.8866801841,8.6,10.2726679992831,10.4976925161064,10.7368998602151,10.9386836763736,11.2033884342282,11.5936213847004
3400604,1659.52299120355,43572.4073145416,15916,15971.6172522661,1.95,62918.4783654818,31.46,10.052712476301,10.2961779944584,10.5493449698579,10.8400979911411,11.1454349490104,11.5578592345554
3400605,1093.612085381,44708.8070288257,14391,16218.2978337765,3.16,54671.8107844986,41.39,10.0980014374473,10.3566820328981,10.5057446823236,10.729706694882,11.0207071556722,11.4584600301055
3400800,42.3064743348113,49228.425209647,16002,17522.3521807265,5.69,56035.7691555223,1108.09,9.71351860162978,10.0672733924593,10.0897481134836,10.111750275087,10.2902032690734,10.573251429285
3400901,223.173590759017,42919.9694868088,14990,16171.2985302638,8.24,57300.8573975096,217.93,9.97525353321313,10.1467341987468,10.1768708894396,10.3295253456949,10.5130403710869,10.8676273860167
3400902,190.506481873635,52202.8639476613,18392,18227.6086504474,9.68,49081.1543971728,215.05,10.1115934422893,10.2714754484186,10.2685415219196,10.4479401801999,10.501539408084,10.7781893592
3400903,419.165629769674,50148.2182095782,17950,18128.4751257603,7.79,43428.7041791992,88.51,10.1047635554528,10.3264561934115,10.4257182173806,10.6133904519095,10.7789669033764,11.1583148690869
3400904,472.370474132133,52302.6300230643,16663,18667.7144746252,7.99,45472.3946873474,82.18,10.1496285570337,10.3336776861842,10.4301153429816,10.6046886666626,10.7760376335613,11.0855550960847
3400905,621.214376848994,44815.268278413,16765,16649.5860584173,4.74,43792.7260179238,59.82,10.1670550033424,10.354488540956,10.4360480187563,10.6516067651158,10.8383735563708,11.3367143367444
3400906,561.689837159504,41914.2055548178,16184,15495.273605486,1.74,54653.8343974011,80.41,9.88910231348992,10.2805217125523,10.4559905085638,10.7260156782116,10.8563369690152,11.2367660543527
3400907,619.769630863488,39221.149462444,14540,15086.8573784401,-2.58,42058.004663014,57.06,10.0646467540753,10.3523126978955,10.4588297895892,10.7239929400136,10.9460257477772,11.4952224770167
3401001,96.5472898751631,62551.7377553162,20978,21339.2017787056,9.56,45903.8279776877,406.78,9.96393829390761,10.320029524116,10.2623697051962,10.4011950199223,10.4829035889473,10.7023978972427
3401002,145.894535628032,53295.9856721183,18632,18309.6345291028,2.23,45702.7171470343,258.77,9.98530664580519,10.2845439308428,10.3175155355907,10.4666752297265,10.520388921468,10.8302924227961
3401003,338.084468226556,47384.3803414723,15913,16328.5211978144,2.09,49094.6366874959,116.28,9.96604529440931,10.3155170481782,10.4081270163279,10.5843823622181,10.7736037606191,11.1765898703061
3401101,281.45631109422,44355.333375675,16621,14127.2238440644,-0.13,58367.0818572307,150.37,10.0115720827375,10.3288950052285,10.3681203356191,10.453303071094,10.6396646192249,10.9889965735933
3401102,93.6519631458491,41283.3250743223,18159,15688.0710694767,4.49,45178.0313486257,407.73,9.85463624205907,10.2129656600228,10.1745848907966,10.257186630483,10.4166426299754,10.6983252234565
3401103,443.554836140617,40447.2857423972,14300,13931.8881892214,-4.65,56459.3377765074,96.85,9.95671580962536,10.3015214703542,10.36685661179,10.5954760860583,10.7813435366647,11.1345400107118
3401104,349.809267810827,45303.476869159,15774,15674.5213898232,1.7,50454.1009617451,114.37,10.070748562168,10.3934087506178,10.3366126473271,10.4773411131363,10.5891144064469,10.9385866727845
3401105,275.172959938882,45898.7135315842,15453,16786.02633893,5.53,41744.5414130011,127.67,10.1057144972284,10.3569307458771,10.3171957141458,10.4785115891107,10.6464393572436,10.990896663907
3401106,108.042777212222,42954.9439857049,19702,16194.7378196552,8.9,40135.6547677739,315.59,9.9284972056149,10.2502395569395,10.19816874384,10.3978915450569,10.4600781110454,10.7386224129374
3401201,70.0677937955328,33000.3268011587,16691,9363.99649483149,-1.65,80937.5593823493,672.83,9.8802101464741,10.1317126636864,10.1044268792718,10.2447963191998,10.4042254154306,10.9267683383274
3401202,268.826144672676,31782.5438608463,16232,10828.2688391121,0.23,91384.0873343903,234.29,9.85692275572071,10.1274134654988,10.1053518234749,10.3133643614385,10.441638501716,11.0374087051569
3401203,373.445569230908,33258.0693632636,16076,13004.1128607181,-10.7,29652.0505173442,63.92,10.0902125769944,10.4295366590847,10.520446378628,10.7366460248018,10.8804624621572,11.431602549356
3401204,82.3706526594503,30414.1741248843,15033,12542.6375209919,-3.59,57416.5803894498,571.41,9.75673892464546,10.0357335573171,10.009971338776,10.1268760820136,10.2755038859319,10.8510183026492
3401205,489.881804793097,38458.4837186713,16232,13199.5289085941,4.56,55756.0116313173,84.81,10.1000951322847,10.387737260354,10.3626186776389,10.4926493669284,10.6184598191665,11.0981136526167
3401401,1330.82534325075,47623.6456494672,15090,17208.4318914305,5.28,49201.3714858874,31.09,10.1843636047457,10.4413752377484,10.5344711112471,10.7021714220622,10.9487912345815,11.394552155356
3401402,1347.98536142616,40178.8732467631,12927,13968.7987653638,-14.16,43891.5961469601,24.95,10.1813301865124,10.4198941704766,10.6387611955102,10.8736738273753,11.2249582272087,11.6259410275948
3401403,423.314443788563,62540.447557215,17378,21017.7523037153,3.2,46079.0977518884,91.74,10.1599356772532,10.4059829600445,10.4913496527318,10.5979823671809,10.6841784755855,10.9743736698595
3401404,349.368414254693,63337.1594006988,20039,21221.9374231192,10.17,41589.4950742851,100.34,10.1429089765985,10.3589447548954,10.4824882729516,10.6273791908137,10.7635307382968,10.9862196137423
3401405,2286.42743332669,42095.5397764118,12185,14267.0670670547,-19.78,47917.1833326089,15.9,10.2319235788607,10.4773535402741,10.7014215331396,10.9380019284877,11.2914774990364,11.6930493437629
3401406,1200.0805262412,34230.4878917541,11912,13188.4553130248,-8.94,60755.6942928125,40.6,9.96893614515296,10.275766692078,10.581404242163,10.8629382303903,11.2958524047222,11.8480835341533
3401407,2078.75033336767,35247.8192501003,10539,11974.2013445607,-24.33,63771.23322842,21.93,10.1319184824828,10.4223602841068,10.6212736127425,10.9015198197372,11.4223211911441,11.9623259328826
