gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
5323301,678.686037135317,84420.2699816756,23220,26206.6972056544,5.65,66211.1029467301,75.08,9.96582124193138,10.1340582986716,10.3020513212779,10.3927777924996,10.4758912864079,10.8619683118826
5323302,17.8125364259322,54403.1669296546,27120,19140.566610235,7.69,57750.1719743686,2477.53,9.48333602063783,9.61838118738123,9.66598513884722,9.82501494373316,9.87195139617675,10.0185719891636
5323303,685.202328869409,102609.802990002,27360,29175.9356741141,7.74,86710.9893437792,93.45,9.8931537116637,10.215303529773,10.2878965659851,10.3616650362459,10.533602775451,10.7664531127327
5323304,705.467556296642,111712.017300672,29052,32815.0894854094,9.38,82999.3247956296,91.4,9.89637396315363,10.2015115875078,10.3681549309956,10.4478782139148,10.4496874064649,10.6502981710015
5323305,289.198185798466,95725.2117677995,28896,28952.8146007004,12.11,75999.6095879779,203.2,9.8182371612125,10.0711244535562,10.1746720682414,10.2762963938131,10.3147731854073,10.5018279027262
5323306,27.5238211846574,42601.3592776354,21936,16745.1368048255,1.98,60290.5945506327,1705.5,9.43612934477771,9.68759547079803,9.57144175026541,9.76732182520522,9.86701584631377,10.3190571123799
5323307,263.28888938215,53697.9853502438,19308,20006.6606724274,-0.72,58099.4012813786,177.76,9.62369314963057,9.90789553796905,10.1477083418205,10.2985829251265,10.6405969467786,11.1237537836322
5323308,306.140896551154,52229.6846444062,19836,17735.7256444523,0.11,67779.4829392227,160.96,9.66166284737176,9.95478628503223,10.1055010722169,10.3078213432661,10.6595251046338,11.1790643395571
5323309,498.474308910744,52537.8417946459,21000,19465.3916241695,0.15,60846.5877794826,97.03,9.67146945811257,9.97422881939906,10.2394373285962,10.5072683355347,10.8688995397759,11.3892434965178
5323310,726.679391645125,70497.5348722858,22272,23239.2271178758,-0.36,70980.5414608775,75.98,9.81128713267553,10.0151578715372,10.2562244463389,10.4576570411607,10.6403659165952,11.0990022937967
5323311,490.322937731632,65502.4919365356,19848,20887.3037930419,-2.44,69359.209732304,104.12,9.75629118708708,10.0317602233874,10.2523738871521,10.4269622276375,10.7055358731183,11.1897302917661
5323312,780.210826560517,88014.3195924301,22236,24330.8509653016,-3.24,63254.6310155443,56.15,10.0820360867729,10.3112139947442,10.4016709383172,10.4694017372252,10.5823336592201,11.0291852641088
5323313,1105.45097317251,77550.2148209068,20928,22862.2664701125,-4.12,51727.5423729723,33.44,10.0437205253432,10.3210921413729,10.4635958499812,10.6266646937356,10.7588971177093,11.2388140434438
5323314,2665.8019251538,93805.0807960099,22644,24012.3715708491,-9.18,77153.2009811698,18.85,10.1945200644363,10.4346758763953,10.5153115388955,10.6216131990448,10.846232015294,11.1825467125376
5323315,4051.58996175154,103187.356718714,26268,24943.4617607796,-5.05,83600.7052268346,12.97,10.2174224853772,10.5277946420318,10.6968720424724,10.7329338130462,10.8355094019612,11.2495296638628
5323316,1500.36384620274,93888.3544399895,25272,27158.0691865673,-1.68,65568.117580033,32.17,10.1899403754407,10.2607799291118,10.436328094698,10.529919258393,10.6685193215763,10.9743017797834
5323317,1741.16491375628,85281.1212807905,23088,26399.2315461053,2.98,61666.0789331162,27.25,9.83139363603521,10.3984079314163,10.6228360863071,10.7140892471051,10.7603779191492,11.1184147219932
