gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
5323301,627.862102242929,52592.764069218,15401,17041.0923005493,5.65,59378.6445059901,75.08,9.58458994926409,9.8039021325553,9.91994545999508,10.0998400862351,10.2244825916249,10.5474927529387
5323302,17.7988228333285,35074.7608577372,17622,11804.6753300684,7.69,60553.5199841103,2477.53,9.15798226458564,9.35791245619071,9.34580556236246,9.48182042528948,9.543291040309,9.72989350719659
5323303,614.734570752199,61433.8335165667,18839,18822.7279881976,7.74,73607.2865541565,93.45,9.54426879644723,9.77439018269839,9.94236574255815,10.0850749118552,10.1884450718457,10.4063502542127
5323304,615.475247645897,64339.1979454584,19829,19088.6639135162,9.38,73643.7733702472,91.4,9.54323764277729,9.82015410534968,9.98692067054637,10.1296953380805,10.1927481886239,10.3915609772138
5323305,260.674634003064,61054.258288438,21552,19096.0852309265,12.11,66582.3582294955,203.2,9.497535560372,9.75539851435045,9.85341745164675,9.94647019427669,10.0021290731861,10.1482683141526
5323306,25.9040752732605,29812.5542423673,15926,11587.7343115026,1.98,55783.476893854,1705.5,9.1230315506781,9.31575552303768,9.31923607446886,9.46750689803526,9.58305978620947,10.0134859702449
5323307,223.097938466108,39803.4098193046,13634,13603.3039028046,-0.72,51392.8966909409,177.76,9.41359007218167,9.65322754441125,9.83273262001803,10.0362199479804,10.2715659244992,10.8096827503961
5323308,297.351992956201,38483.8524528769,13051,13062.2726803988,0.11,63142.8676993464,160.96,9.32955769669292,9.62730374414204,9.84115832178523,10.0218243260105,10.2494950744148,10.7543736026649
5323309,444.02305041542,40811.4155767866,13515,13821.3285133061,0.15,55894.1535693291,97.03,9.405690551435,9.7463667125051,9.93490005095416,10.171039089411,10.3940404255149,10.9056915235585
5323310,677.863593989112,47775.1565713868,15186,15496.5470489207,-0.36,66538.5740501867,75.98,9.50074863554192,9.73079203432093,9.94443817325047,10.1205118150726,10.3219021700263,10.7468810080377
5323311,453.620373423968,41920.6531302476,12334,14031.5996878338,-2.44,61476.6364312048,104.12,9.38841047688411,9.7219381464852,9.95846143850868,10.1391479463399,10.3991306945478,10.9570671692774
5323312,775.011147518049,51405.134669181,14295,16544.8502471789,-3.24,55521.9880452041,56.15,9.58755551131889,9.83469793684364,10.0409284140471,10.1789567451935,10.3142140221946,10.728155017852
5323313,1033.01025111375,52497.6202017777,12651,16598.3331403263,-4.12,44613.6462612906,33.44,9.67116789222242,9.97399239010717,10.1811182004284,10.2822380153516,10.4397320806682,10.7904144647273
5323314,2580.27964663096,55983.4538327678,15030,17488.9067439543,-9.18,62526.2405074137,18.85,9.68159581859475,9.99349605621537,10.2047298864659,10.3093038437971,10.469430510968,10.8252530970434
5323315,3554.1412933599,59855.2465950791,17154,17827.569016807,-5.05,61137.3090415614,12.97,9.85042780405215,10.0474478875354,10.255451910675,10.390032911656,10.5172384350361,10.8832484390062
5323316,1395.12563765689,56426.1564715212,16548,17780.30196265,-1.68,57086.0562282917,32.17,9.75016162097627,9.93885077749693,10.0853022172249,10.192629072944,10.3328564720458,10.6707329090042
5323317,1464.27015801056,54651.1058931633,16137,17181.7319682845,2.98,51283.4362426689,27.25,9.54618597975917,10.0572740253593,10.2601844382245,10.3994268174295,10.4667831738633,10.7808572975021
5323318,1270.87231685065,53103.434194307,14144,16749.5970305849,-0.67,60510.9520320045,36.89,9.46971505423936,9.97709806818348,10.1781123266141,10.3158634002144,10.3815863024313,10.6927389246739
5325301,603.3403433683,36413.7226001821,12090,12572.7633770843,-4.01,60480.546351929,75.87,9.45707252183607,9.74331711269484,9.93389961464896,10.081115668532,10.2897148085132,10.85569280181
5325302,649.313588333353,36539.1292809772,12399,12335.04581646,-9.57,44837.4320666468,51.16,9.58077805753951,9.86723935301561,10.0574605694866,10.2046055200962,10.4134712185764,10.9793128541776
5325303,187.1883285653,40142.6074497429,14276,13854.1206624209,-1.87,43897.28843871,183.24,9.47663722415436,9.73821943473845,9.81309726656406,9.9732726009869,10.1446800373558,10.6434279079289
5325304,12.435989272831,16317.2840875596,14177,8000.243904424,-4.88,50695.9985036087,3081.75,9.0021151317979,9.11220183518345,9.1372129592394,9.2613371736412,9.39997939094267,10.0044311193448
5325305,364.125760708391,37432.4856603314,14319,13020.900550582,-0.72,57054.4343210131,120.6,9.486118927219,9.74179639739239,9.76508814723975,9.95704735409214,10.1574064881483,10.6988562195119
5325306,350.989431822716,30662.1972380052,12021,11251.2374110365,-9.41,45249.7330884716,97.44,9.45777953102099,9.72487431434934,9.87494008675664,10.1010310441949,10.352708155858,11.0030478039037
5325307,581.190383406774,34530.6808926758,11631,12068.149005344,-5.65,55440.5008226015,71.74,9.42131460018412,9.78104158879142,9.97241704438012,10.1358610308045,10.3549234002522,10.8070861394348
5325308,54.3031833759017,23553.7361297068,16578,9216.92871576646,-2.26,47957.0548424009,638.23,9.12134700949836,9.43330468395476,9.60808040817527,9.75192886196303,9.95092982947544,10.3701985209727
5326101,19.7635672406475,34484.367242657,14388,12179.677591681,-1.32,67319.3919145274,2587.61,9.04135127936232,9.31223109731484,9.34666858156964,9.55583750216951,9.73654324887484,10.3630942110393
5326102,18.7210063002023,25733.4670321609,14926,10141.495129421,-1.22,60067.0291029011,2426.93,9.02362311219287,9.23538307613631,9.25654736881375,9.43958286110582,9.57916141725907,10.0659716774273
5326103,261.697387042366,47350.4864038184,18637,15727.6596279414,7.29,55333.4728287355,167.17,9.45680398783762,9.72954066768981,9.81243867882212,9.96651954396965,10.0782937717061,10.3982173636918
