gid,dens_hh_km2,ybar_usd,rent_data_yr,r_model_yr,mu_pct,H_units,L_km2,kappa_d1,kappa_d2,kappa_d3,kappa_d4,kappa_d5,kappa_d6
1100101,1287.59397410241,69823.3177981848,22343,24113.3116920723,3.28,53771.7837686785,36.64,9.75511283370166,10.1927971769179,10.3928399930386,10.4914949141673,10.5160132605272,10.7807127088531
1100102,1398.37235060292,53692.3076358473,14743,19950.9246436296,-11.92,45250.1313694304,28.51,9.78843042771835,10.0876289949514,10.3515217130034,10.5423271521473,10.7942430816012,11.1672867455997
1100103,1739.73947247426,64916.3031494535,16375,22291.0965668667,-17.97,47058.1672687669,23.18,9.96296250821388,10.1888265992089,10.4011133043057,10.5004587412914,10.7460333117172,11.1005859365777
1100104,1667.99178505131,46052.6085010588,11240,16855.2196543561,-21.89,66525.4553065819,33.03,9.69623146054542,10.0617011581244,10.2004751807037,10.548976684168,11.0760586326324,11.4998778654578
1100105,5926.95439949437,64964.475961047,19110,22970.118896809,-12.36,57216.0607310297,8.52,9.97833165309362,10.260969889811,10.4617290125342,10.6254438263296,10.7869390430188,11.1504815563023
1100106,1532.93467578066,67951.8966524971,20348,22805.3117148808,-11.12,51467.2188911928,28.44,9.88924557037742,10.1783332622536,10.3823282575771,10.5481459700312,10.7119617221658,11.0768549705969
2400301,183.830712638108,43517.7807633922,15980,17700.9330672493,-6.54,49874.9740667482,245.12,9.50574817605585,9.75516638265558,9.89765017994409,10.0226980503403,10.2763532391244,10.7222597390263
2400302,29.9753039458221,40894.7033214124,14999,17135.4726633021,3.07,48220.9250024074,1465.85,9.30761555466983,9.62835587780979,9.61706650371188,9.65417820141679,9.98298193416669,10.3510520649297
2401001,50.1279016990078,48429.9718839209,19897,19288.4238246004,6.98,38356.3397972791,700.61,9.44186108206145,9.75326845242228,9.85838750430288,9.92094221013149,10.0600242255856,10.3357011334351
2401002,506.67874049946,48015.2534175397,19517,19116.1910243887,4.86,59163.4180525051,106.59,9.52621006128715,9.79695051127954,10.0219378574585,10.2569271458249,10.4485971835776,10.7999256849014
2401003,641.463254422124,57742.6330950276,20137,21736.2953357681,6.25,63899.2988757381,90.75,9.57467245380272,9.86330233428063,10.1046034690783,10.2799148741576,10.3891447753536,10.7076094690653
2401004,391.866082352999,69972.1214473896,23036,25253.6112269882,11.34,50435.4023437731,118.07,9.74440928124352,10.0153991773872,10.1553632446706,10.2539281316488,10.2917898298026,10.5152974633293
2401005,805.747523866854,47317.8727036933,19576,18965.5423560393,4.79,54028.4284936712,61.34,9.62095334035258,9.85678918473502,10.1481959527326,10.3683922448922,10.5834043384898,10.9738437664045
2401006,374.997734811285,49120.1661998399,19809,19374.8206670354,5.22,45751.8979950284,111.12,9.60543327859174,9.89678842230681,10.067688414536,10.2579031762161,10.4627794400938,10.8467196764903
2401007,1296.32462112543,55027.6635696613,17705,20893.3764828623,-0.84,48671.3626830068,34.04,9.75202085529478,10.0109240372242,10.2827025831953,10.4975192885309,10.6299702555339,10.9647383843022
2401008,707.369848594112,71379.8224895436,25350,24870.7811588626,9.95,43500.7571215209,54.72,9.88819042425621,10.1650793629392,10.3085895786627,10.406993506113,10.4475784155119,10.6618869430579
2401101,803.956869875526,33807.7219688054,16121,14964.8080179417,-3.33,37508.8884400582,41.86,9.594551690348,10.0274263213125,10.385493831298,10.7587363468642,11.1056949705235,11.6117509301663
2401102,289.401491146364,45264.5555156427,17280,18081.7623127298,-1.96,53629.3197580702,166.57,9.53746599077525,9.76918971621037,10.013048423998,10.1755035473182,10.4472482300703,10.8718679270232
2401103,710.545935420145,39410.4382627011,14577,16484.9946618826,-9.06,40114.0942811068,50.69,9.65584063529302,9.96770417291495,10.2497095799617,10.5340152760983,10.9139128340803,11.4002223104304
2401104,617.312466677443,40155.1178874262,15355,15974.007704319,-18.15,48906.0092887145,68.1,9.66582627887504,9.94790224339606,10.0929365309692,10.354962525381,10.8665864913334,11.4177050300349
2401105,214.002571549005,45217.5977446363,22030,18135.0712495065,-5.24,71429.9883776673,301.12,9.43316792289639,9.70404947469161,9.79472792845345,9.94398802257527,10.2089648486335,10.5996583156829
2401106,78.0944859303745,40758.5987725234,20964,16904.2579225565,-9.41,46889.5150209145,540.9,9.43111732148894,9.70148505208497,9.76183719617111,9.92954316634522,10.2975967461675,10.6961481283951
2401107,546.052478418286,40255.8280871771,15608,15862.4414563349,-15.42,51766.8123252659,80.79,9.6140771029413,9.92092691550507,10.083233269225,10.3619269343021,10.8713471443978,11.3553328474197
2401501,59.0908683312667,38542.9000796984,17765,15725.0184625706,-3.5,41016.0171717955,603.05,9.45523853328811,9.72092817618684,9.76239590841424,9.91432900158331,10.2437979348935,10.5774010357292
2401700,45.6673570677772,32040.8732695014,17917,14389.6835181687,-3.84,60771.3758192962,1185.76,9.23107246078408,9.53524830190196,9.50824326741397,9.65807614731055,10.0144792670336,10.4405758679151
5101301,1450.62607835499,70463.6148271504,24755,24127.7776356063,7.27,56474.4098522752,33.94,9.98715810682826,10.0980342588658,10.2677653579547,10.4241347221438,10.5513135431597,10.7735309099983
5101302,1537.41381839306,61587.4940686149,20939,21557.6254899138,-0.07,59562.526788106,33.39,9.88091360320769,10.0075328822769,10.2646967203242,10.4497207788049,10.6088247194839,10.9532843244956
5105901,386.881374220086,54987.7310142911,21305,21293.9068800131,14.98,42923.5683726597,102.57,9.64637960055733,9.88150967599443,10.1479551463691,10.3032963947217,10.4716024187354,10.7588842027555
5105902,525.269837905338,61710.4276441478,21343,22866.6843917584,9.45,65730.3804238494,114.23,9.57486172645763,9.86924964900988,10.06741721978,10.2338438395215,10.3296757800945,10.6079700246372
5105904,433.702454945925,65708.6318920027,23612,24047.2561530829,13.46,47862.6699169073,101.1,9.73149454077503,9.96560817159022,10.1477143596962,10.2793068614442,10.3938752466624,10.5806176744146
5105905,132.905059056861,55221.0191723445,25555,21117.3196865131,12.18,37544.5044427103,258.21,9.5526960366174,9.88533320904656,10.0325128320377,10.1847337872662,10.3055740510875,10.5594024324046
5105906,575.802275056012,58289.1089676784,23880,22049.4725418003,11.9,41204.5724799534,65.68,9.72903826624127,10.0101728440027,10.2237735508406,10.349689596144,10.5578261489343,10.8352814057668
5105907,787.264468046674,50206.355449229,19285,19497.2632248556,10.08,56190.5293605486,64.43,9.57817257615654,9.88884993829861,10.1804000618829,10.4479669532951,10.6118137436715,10.9737142059219
5105908,610.752205327121,51096.5620824977,19098,19591.7067652522,6.48,52834.2448753377,77.51,9.59350858246724,9.8949870493166,10.1421778679441,10.3107414006465,10.5143750277957,10.7778347454186
5106100,12.3233744357064,26957.1015560684,12588,12588,-6.86,72500.5635162083,5064.12,9.03060509354177,9.2341435767925,9.28643159429654,9.36285049041377,9.70635589557044,10.1545183344144
5110701,433.878409578928,51370.985294058,20805,20287.2075958714,10,40429.4006575264,86.13,9.62774802696369,9.95295811347734,10.1655761207456,10.3147179976887,10.5216852779164,10.8289263386068
5110702,258.576349373268,63853.9993277146,24046,23631.493494844,14.79,44691.7981513851,158.97,9.72483638536215,9.98553985788151,10.0816458622955,10.1907646277685,10.2617534509769,10.5211288796468
5110703,35.2978347415352,46190.5622060612,17729,18167.3939189803,2.74,43215.8291003045,1090.65,9.35891822646426,9.69377956396313,9.77553209788108,9.8350767383184,10.0323105222448,10.3125075259576
5115301,64.8555713353097,48850.1732668695,24481,19447.4919869753,6.55,41571.2078013716,588.22,9.46546051440716,9.77524878852673,9.81849718866886,9.90967201147586,10.1725236400123,10.4479036841766
5115302,432.676248514968,40635.9741408534,20025,17363.3291585698,-0.34,54320.6892213159,116.4,9.48768868445366,9.76200605373634,9.97621169035978,10.1591802855012,10.4399616607658,10.7866470300272
5115303,348.485180401205,40065.0847271463,18326,16690.2377176896,-5.64,32506.9351264246,83.9,9.64955602054079,9.92130773318406,10.1349964689419,10.3170964293534,10.5969617801921,10.9418342189307
5117700,21.8767775664941,29227.8462751049,15415,13484.8119529495,-9.4,71280.1916606307,2870.73,9.1015210530475,9.3601822645697,9.35896577605746,9.46629461715338,9.83427249515433,10.2381364437063
5117900,75.3891969136507,36195.3577079753,16337,15689.1160492903,-5.13,60543.0143905272,724.3,9.27419319584988,9.56231603606297,9.67401509017626,9.76749152186724,10.0850407395019,10.377894394459
5151000,1749.19436898832,60162.1131578257,19624,21259.0985419206,-0.13,78245.2152380861,38.68,9.7424225240345,9.95293043852819,10.1940441018211,10.3356622052905,10.4873041972102,10.8073457778447
5160001,522.172565893608,58794.1783591773,23750,22379.970362268,14.55,55271.8459980236,97.99,9.55810630721102,9.91027313318942,10.1586896564411,10.24124011932,10.4135264901978,10.6458129328768
5161001,277.03532655602,69132.4545639352,23635,24711.7247376009,13.39,46629.7277074525,152.49,9.69872000511895,9.97336258138044,10.1548203147979,10.2372047447924,10.3563904199938,10.5157558825679
5168701,332.539384949792,40099.8629544286,17263,16663.1588045575,-2.05,41917.9400624842,113.13,9.56619914137184,9.84253686027315,10.0516141248036,10.3009870309077,10.6111892423652,11.0387342779545
