gid,name,price,welfare,wedge,eta,density_amenity,agglomeration,traffic,residual_interactions
5323301,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities",26206.6972056544,27198.3620620446,991.664856390202,-0.43612813124395,841.392303028124,164.190262293876,-9.93641144091012,-3.98129749088753
5323302,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill",19140.566610235,18457.8781394133,-682.688470821708,-0.440477026819735,-763.67711423226,166.709690957283,-82.7782470152637,-2.94280053146667
5323303,"King County (Northwest)--Redmond, Kirkland Cities, Ingelwood & Finn Hill",29175.9356741141,31108.7077594386,1932.77208532455,-0.44277404474379,1728.001729263,240.159544835572,-30.8426574077871,-4.54653136623347
5323304,"King County (Northwest Central)--Greater Bellevue City",32815.0894854094,35288.9461979304,2473.856712521,-0.449961408748046,2276.72689962605,224.537002824968,-22.1213524764722,-5.28583745354626
5323305,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities",28952.8146007004,30531.705827063,1578.89122636258,-0.44662794067262,1416.28442802824,199.130927589282,-31.9335588892044,-4.59057036573995
5323306,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities",16745.1368048255,15250.3451615227,-1494.79164330283,-0.436574870218784,-1378.39265382023,-92.0988173861493,-21.7760956633099,-2.52407643313791
5323307,"King County (Southwest)--Auburn City & Lakeland",20006.6606724274,19113.9872222113,-892.67345021612,-0.431538300430069,-743.351400286956,-168.533369087907,22.1870558726542,-2.97573671391115
5323308,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island",17735.7256444523,16889.7975743217,-845.928070130587,-0.432406339346315,-742.853899907507,-114.989259621921,14.5598706363196,-2.64478123747858
5323309,"King County (Southwest Central)--Kent City",19465.3916241695,18639.3379135166,-826.053710652966,-0.432904839710689,-771.01319275862,-64.7981105712269,12.678078197794,-2.92048552091364
5323310,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway",23239.2271178758,23458.1187013182,218.891583442437,-0.434209607559731,159.617236711672,64.214787406806,-1.4362149184113,-3.50422575763019
