gid,name,price,welfare,wedge,eta,density_amenity,agglomeration,traffic,residual_interactions
1100101,"District of Columbia (West)",22202.838365641,23262.0688223802,1059.23045673923,-0.425680008510771,979.26175483882,97.6100736621128,-14.4185034717587,-3.22286828993924
1100102,"District of Columbia (North)",19946.0709467024,20432.3842168215,486.313270119132,-0.423215881984995,426.966229146445,67.7122116916274,-5.49898129522818,-2.86618942371302
1100103,"District of Columbia (Northeast)",23302.0486268926,24407.9801598661,1105.93153297351,-0.42555829937155,1045.17626565352,78.250617885396,-14.1135588870004,-3.38179167840144
1100104,"District of Columbia (East)",12670.3990528235,12714.1517402131,43.7526873896277,-0.422864472681503,17.4882965222617,29.7237833241245,-1.64025165167863,-1.81914080507992
1100105,"District of Columbia (Central)",23894.9454593247,24965.1824114625,1070.23695213779,-0.426420047532305,986.161873377874,102.554816599003,-15.0037949112443,-3.47594292784561
1100106,"District of Columbia (South Central)",22112.4983723703,23192.7259494152,1080.22757704484,-0.425721326827228,1017.81133985188,89.2224083999912,-23.5929514529765,-3.21321975405499
2400301,"Central Frederick County--Frederick City",20698.0708460227,20331.8994158648,-366.171430157872,-0.419376531683983,-323.277773896326,-105.990456695494,65.9328029551574,-2.83600252120948
2400302,"Outer Frederick County",22394.1362664576,21607.3149194039,-786.821347053712,-0.422420624390117,-729.968084948745,-119.135981785608,65.407891464374,-3.12517178373264
2401001,"North Montgomery County--Olney, Damascus & Darnestown",20957.5508973858,20736.1794527187,-221.371444667056,-0.424906119987475,-227.009732403378,-11.5536161984736,20.2148962807396,-3.02299234594471
2401002,"North Central Montgomery County--Germantown, Clarksburg & Montgomery Village",24784.6357153054,24628.294589932,-156.341125373474,-0.42697019440511,-174.704543933129,-16.162202808659,38.1066404208972,-3.58101905258283
2401003,"Central Montgomery County--Gaithersburg & Rockville",23033.411213048,23091.8410612412,58.4298481932201,-0.427466075414455,21.3097183181582,11.3028903971508,29.1656339603771,-3.34839448246587
2401004,"Southwest Montgomery County--North Bethesda & Potomac",26401.61755183,27616.5085743821,1214.89102255203,-0.427821183706581,1166.43499459146,34.3236000948191,17.9971475224123,-3.8647196566651
2401005,"East Central Montgomery County--Wheaton, Aspen Hill & Glenmont",20119.8511379002,19998.9480086426,-120.903129257695,-0.425174330336001,-151.533433250151,9.05871480985179,24.4816768658294,-2.91008768322519
