gid,name,price,sv_nu0,sv_nu5,sv_nu10
600101,"Alameda County (North)--Berkeley & Albany Cities",26862.049581346,26532.9441412073,23292.1878672382,20791.7150833883
600111,"Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",25356.859417686,25131.4966781577,22018.2850305145,19083.0068491496
600112,"Alameda County (Northwest)--Oakland City (Oakland Hills)",29145.2117980553,29653.2133238178,24144.1528877723,19329.4467221285
600113,"Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland)",22303.9170232156,20152.8972497081,21290.7665544962,22283.5604041917
600114,"Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",25592.6905642675,24920.1801400898,22330.4017903241,19953.1210668669
600115,"Alameda County (Northwest)--Castro Valley & Ashland",25438.6795713501,24124.8055715391,22681.1831899425,21358.2934394975
600116,"Alameda County (Central)--Hayward City (East)",21827.8682399216,20266.6254466496,19620.9123237909,18995.4512415062
600117,"Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",36885.4466534698,37313.8679008263,31711.3332871624,27069.9007845417
600118,"Alameda County (South)--Fremont (Northeast) & Union City (East) Cities",33706.7421166444,33789.0894896103,29135.1346157933,25233.7495499254
600119,"Alameda County (Central)--Pleasanton & Dublin (West) Cities",35826.7515075268,36839.514722355,29459.9312207627,23482.7786517887
600120,"Alameda County (East)--Livermore & Dublin (East) Cities",33034.6371608146,33445.1328643214,27309.29666063,22367.4812345718
600121,"Alameda County (South)--Fremont City (Southeast)",38184.2223165713,39496.0412084901,31902.1998218879,25874.5907410264
600122,"Alameda County (West)--Hayward City (West)",27249.4412279058,25111.0742929181,25661.9238509467,25825.3044721236
600123,"Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale)",22746.1808556944,21281.9099905601,20807.7346402357,20256.9607924093
601301,"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities",20646.1790689958,18713.989991745,19699.9435084559,20500.9670999883
601305,"Contra Costa County (South)--San Ramon City & Danville Town",35978.5928910911,36981.4219924967,29242.2649168069,23005.3468338343
601308,"Contra Costa County (Northeast)--Antioch City",24389.9630699437,22014.8031817185,22340.0254141443,22389.8671481417
601309,"Contra Costa County (East)--Brentwood & Oakley Cities",25792.5860227441,23904.280165204,22454.4155591656,20933.2435621193
601310,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities",26894.2913020533,25907.196520777,23423.7170852087,21005.1556098632
601311,"Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",25814.4470004322,24827.2022173853,22771.2616774991,20842.4943547312
601312,"Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",28309.2311161472,28899.3086350707,23298.5636115416,18692.1955923597
601313,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",27775.5838919566,27294.8208139906,23877.2657707041,20884.213466986
601314,"Contra Costa County (North)--Pittsburg & Concord (North) Cities",23910.5083896464,21279.1752278569,22903.6054907868,24155.5833857235
604103,"Marin County (North & West)--Novato & San Rafael (North) Cities",23165.0768359411,22373.7552042937,20245.8292364313,18385.3334701768
604104,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities",24880.1787677364,25308.3818203344,20952.232496665,17264.4009783635
607507,"San Francisco County (South Central)--Bayview & Hunters Point",25691.765632785,24320.549869408,24060.5280389586,23572.8173884882
607508,"San Francisco County (Northwest)--Richmond, Western Addition & Presidio",27036.1155186196,26701.5709839442,22110.6558908043,18022.7077464362
607509,"San Francisco County (Northeast)--Chinatown, North Beach & Russian Hill",18300.9590314855,18515.4651221996,16064.5381214196,13826.1328664868
607510,"San Francisco County (Southeast)--South of Market & Mission",34312.3519358858,35447.5192823397,29511.5136557583,24201.8820584502
607511,"San Francisco County (Southwest)--Central & Bernal Heights",31934.7949239207,32997.0509667907,27144.8960347311,22169.1116718796
607512,"San Francisco County (Southwest)--Outer Sunset & Inner Sunset",28007.6127117137,28309.8365720636,24147.9947063659,20439.644597029
607513,"San Francisco County (Southwest)--Ingleside & South Central",31138.4954552782,31338.6521416143,26884.7167991148,23145.4513687943
607514,"San Francisco County (Northwest)--Western Addition & Marina",24737.3409740935,25293.7665307963,21425.8726457681,17851.480962535
608101,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town",28752.8218025078,27893.285308621,25706.9821140492,23622.5018961232
608102,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities",27999.0393334497,27402.7392616341,25179.2231808391,23134.9468332266
608103,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities",28560.6738221404,28966.2931628359,24729.110332862,21095.801557339
608104,"San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities",30517.4350702466,31288.9906354271,25647.0264529844,21047.8889359913
608105,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities",33993.9106928721,35113.3746133121,29424.7379332987,24754.8695429033
608106,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town",30951.6237309932,31625.8553193963,27455.8923204035,24163.1824019541
608505,"Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock",35245.2917725454,34099.7655934251,32224.7006466764,30711.9035370644
608506,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities",30067.1964762654,28748.1956820685,26261.2157887626,24084.3245841553
608507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town",35597.8998160341,37625.1824192064,29690.047327123,23379.8524681403
608508,"Santa Clara County (Central)--San Jose (West Central) & Campbell Cities",33756.524168407,34731.4934036946,29169.297504226,24735.7029941193
608510,"Santa Clara County (Central)--San Jose City (Central)",27863.7676656725,27392.7818342073,25230.6420772272,23446.5224622328
608511,"Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park",30334.967341678,30423.3443816809,26666.4036261394,23454.6999137
608512,"Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley)",33270.5899346301,33957.9017908022,28405.5653335696,23866.8039115763
608515,"Santa Clara County (Northwest)--Palo Alto City & Los Altos Hills Town",32090.9549539667,33652.6265265278,27578.8727831664,23051.1709296651
608516,"Santa Clara County (Northwest)--Sunnyvale City",41163.5745127736,42952.2616576706,35510.6978010486,29461.3873444893
608517,"Santa Clara County (Northwest)--Santa Clara City",37038.141077711,38469.0077305216,31937.864180894,26605.1877834586
608518,"Santa Clara County (Northwest)--San Jose (Berryessa) & Milpitas Cities",38993.4633305708,39925.7586237071,33500.4019130666,28482.5891041227
608519,"Santa Clara County (Central)--San Jose City (North)",27729.7203874769,27601.7287904849,25109.8685911993,23011.6516948058
608520,"Santa Clara County (Central)--San Jose City (Southeast/Evergreen)",34832.4660114535,34629.8832648714,30627.4315696929,27376.2904176481
608521,"Santa Clara County (North)--San Jose City (North Valley/East San Jose)",33296.6524115068,32130.4214051637,30829.2397360535,29750.7049701955
