gid,name,price,sv_nu0,sv_nu5,sv_nu10
2500601,"Middlesex County (Northwest)--Outside Lowell",25182.5275409516,25316.0575032281,22303.304784375,19653.4357926251
2500602,"Middlesex County--Lowell",17544.9566292063,16610.9886100715,16704.0862919842,16744.5881998339
2500603,"Middlesex County (Northeast)--Billerica, Tewksbury & Dracut",23592.0956867201,23449.2486487802,21401.0818613378,19415.463557009
2500604,"Middlesex County (West Central)",23404.2712715206,24075.4835247282,20634.5497558071,17648.1356427105
2500605,"Middlesex County--Framingham & Marlborough",20027.0949068337,19796.3507789924,18650.7779898976,17630.8984217384
2500606,"Middlesex County (Southwest)",27070.8576095773,28009.7644537485,23899.9402988814,20347.7625376471
2500607,"Middlesex County--Lexington, Burlington & Wilmington",25581.3516938328,26400.6340380337,22754.6105267298,19530.1290580483
2500608,"Middlesex County--Woburn, Melrose & Reading",25207.2885320809,25608.0047441705,22705.7220308243,20127.0443044668
2500609,"Middlesex County (East)--Malden & Medford",23956.3845852339,24147.0399321655,22024.3422118176,20057.796023543
2500610,"Middlesex County (East)--Somerville & Everett",26127.8694254759,26318.6158091322,24260.8172949735,22253.616535117
2500611,"Middlesex County (East)--Cambridge",26003.2560482361,26608.2092292879,24099.6182453551,21895.7213023038
2500612,"Middlesex County--Watertown, Arlington & Belmont",24863.8504472248,25909.9229583986,22066.4073699804,18666.0481053667
2500613,"Middlesex County--Newton & Waltham",22598.9978686346,23193.6539605591,20490.7229447762,18145.9229256697
2500701,"Essex County (Northwest)--Haverhill & Methuen",18983.1988030952,17934.4203890103,17845.5527273499,17703.6636081752
2500702,"Essex County (West)--Lawrence & Andover",19752.8067355331,18648.8321084723,19062.3116404496,19710.336412473
2500703,"Essex County (North)--Newburyport, Amesbury & North Andover",21131.7645025783,21122.0038760009,18672.63320026,16437.0432377299
2500704,"Essex County (Central)--Peabody, Danvers & Saugus",20910.7782090312,20672.8530452673,18961.9424488259,17305.2492038742
2500705,"Essex County--Lynn & Nahant",18176.1794303227,17206.8000273922,17440.1407232245,17611.9112674857
2500706,"Essex County (South Coastline)--Salem, Beverly & Gloucester",18992.516603185,18821.645169114,16993.9875303368,15326.3977269858
2500801,"Boston City--Allston, Brighton & Fenway",24152.4048124755,23874.9912268768,23255.7523699118,22964.1709055749
2500802,"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End",20220.1042040385,20719.0941311531,18694.3048224112,16809.289249869
2500803,"Boston City--Dorchester & South Boston",21359.7894712895,21591.3215329294,19718.4134489506,17903.4611802295
2500804,"Boston City--Mattapan & Roxbury",16486.3240246535,15970.6093434072,16154.1080595986,16297.4942854809
2500805,"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury",23318.30280454,23665.0456300228,21360.1046566639,19141.3545586914
2500806,"Suffolk County (North)--Revere, Chelsea & Winthrop",20466.4833749194,19865.7836306464,19662.0748493332,19295.7555189729
2500901,"Norfolk County (Northwest)--Needham, Wellesley & Westwood",30697.8182729955,31701.350085752,27313.9479834958,23631.7527142951
2500902,"Norfolk County--Brookline, Milton & Dedham",23975.3885627884,24710.1094422646,21491.9640868557,18700.5063284997
2500903,"Norfolk County--Quincy",17869.7389733702,17914.1280850896,16543.6757608218,15201.7332410007
2500904,"Norfolk County (Northeast)--Weymouth, Braintree, Randolph & Cohasset",23054.9336020749,23000.005152361,21252.1030099726,19539.7413205326
2500905,"Norfolk County (Central)--Norwood, Stoughton & Canton",21700.9558930443,21802.3834683908,19786.8539267913,17877.1042668986
2500906,"Norfolk County (Southwest)--Franklin, Walpole & Foxborough",24771.3635275504,25044.5809696745,22002.3153866718,19154.9561662192
2501101,"Plymouth County--Brockton",18362.7309308885,17667.7564787162,17308.667352276,16945.0150900914
2501102,"Plymouth County (West)--Bridgewater, Abington & Whitman",20656.1112522995,20343.11368379,18652.5972981728,17053.6556409502
2501103,"Plymouth County (North)--Marshfield, Hingham & Scituate",20270.0880344777,20510.04167075,17892.887496054,15537.8357109086
2501104,"Plymouth County (South)--Plymouth Town, Middleborough & Wareham",16805.8089421631,16367.0047116305,14977.3150647565,13636.8959354116
3300301,"Strafford & Rockingham (Northern) Counties",17018.2399545569,16003.0358478667,15027.589960775,14101.9746962988
3300701,"Outer Manchester City",21794.715494242,21270.839614193,19172.8731135318,17235.3047869342
3300801,"Seacoast Region--Rockingham County (Southern), Portsmouth City",18057.7193582218,17859.7462005932,15955.1671574548,14126.9033964609
