gid,name,price,sv_nu0,sv_nu5,sv_nu10
3400301,"Bergen County (South Central)--Hackensack & Teaneck",22550.4992857419,22305.8054548839,20280.7408231535,18471.4219135751
3400302,"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights",21807.3260070108,21617.5442696676,19424.9932055625,17508.0295712771
3400303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park",19436.3184833702,19624.8005403039,17184.6206210259,15105.4360029047
3400304,"Bergen County (West Central)--Fair Lawn, Garfield & Lodi",21780.4842579658,21241.0912201789,19492.5378739375,17931.6278468318
3400305,"Bergen County (East)--Tenafly, Park Ridge, Englewood City & Cresskill",25260.673990962,26003.2621929297,21565.3944341485,18009.910940446
3400306,"Bergen County (Northwest)--Ramsey, Oakland & Franklin Lakes",24011.2881964635,24558.4445780034,20367.2576905409,16958.5920888595
3400307,"Bergen County (North Central)--Bergenfield, Paramus, Dumont & New Milford",24564.3293439371,24713.4720720493,21476.7541411673,18672.5555423255
3400308,"Bergen County (Central)--Ridgewood Village, Glen Rock & Westwood",29569.090962438,30629.4406106687,24848.335107758,20234.2650874793
3400501,"Passaic County (South)--Passaic & Clifton (SE)",21199.7081143439,19978.9101659871,19576.8069217473,19270.5326847232
3400502,"Passaic County (Central)--Hawthorne",22065.463618338,21644.7455236298,19443.2009992539,17505.7372992073
3400503,"Passaic County--Paterson",15274.6057556347,13835.3871959635,14701.2610884118,15418.9318468046
3400504,"Passaic County (North)--Ringwood, Wanaque & Pompton Lakes",23032.2212493177,22768.9067526112,19759.5361357387,17167.1472136959
3400601,"Hudson County (Central)--Jersey City (North)",26530.5405784326,27477.7030856604,23731.5872208837,20520.9424247447
3400602,"Hudson County (Central)--Jersey City (South)",18324.9441161902,18063.5467047675,16813.7012839751,15621.5833709838
3400603,"Hudson County (Northeast)--Union City & Hoboken",24551.7476221354,25107.3960034947,22032.5042039374,19501.8766394207
3400604,"Hudson County (North)--West New York, Secaucus & North Bergen",19362.5773760104,18973.5557893391,17831.6498985403,16820.7108549039
3400605,"Hudson County (South & West)--Bayonne, Kearney & Harrison",20531.4321610302,20269.5518187862,18535.8696726987,16931.4541651021
3400800,"Hunterdon County",25374.0709601946,26077.8211899602,21594.0621284611,18002.7307845641
3400901,"Middlesex County (Southeast)",20363.9464206607,20146.0409553724,17498.8250018215,15204.0773154086
3400902,"Middlesex County (Southwest)",27628.3873337208,28316.2835368697,23091.5388438818,18924.0861957905
3400903,"Middlesex County (Northwest)--North Piscataway & South Plainfield",25541.9126305162,25569.3094733581,22393.3948349578,19685.2725671052
3400904,"Middlesex County (North Central)--Metuchen & South Edison",26246.1139600092,26336.4882953038,22712.2258047153,19671.733914675
3400905,"Middlesex County (Northeast)--Carteret & North Woodbridge",22675.7408018764,22047.6888794169,20265.799228167,18617.5944949048
3400906,"Middlesex County (Central)--New Brunswick & Highland Park",26680.0611962806,25701.3962916144,24399.9246035329,23555.360442239
3400907,"Middlesex County (East Central)--Perth Amboy & Sayreville",18102.0253241086,16942.1683888349,16810.8031020879,16727.1914410643
3401001,"Somerset County (North & West)",28684.3787998127,29832.9209546487,24362.4909840092,20082.1874829072
3401002,"Somerset County (South)",27652.8769358982,28221.8315353456,23489.5778931191,19716.5786963955
3401003,"Somerset County (Central)--Bridgewater, Somerville & North Plainfield",27912.9335395306,27991.4534104252,24779.2921100922,22103.6210338128
3401101,"Monmouth County (Southeast)--Wall, Tinton Falls (South)",18228.8882189966,18088.1496596901,15685.0362201875,13655.3130364527
3401102,"Monmouth County (Southwest)--Freehold, Manalapan",21597.3036714074,21395.3234874239,18224.7634070012,15649.8362408617
