gid,name,price,sv_nu0,sv_nu5,sv_nu10
5323301,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities",25786.7711553501,26626.4404450143,22962.3968926256,19889.1452021709
5323302,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill",25424.4021207503,26223.3641642252,21724.199961256,18150.3392729334
5323303,"King County (Northwest)--Redmond, Kirkland Cities, Ingelwood & Finn Hill",27487.0935684452,29013.5172801439,24531.228247479,20960.6031860295
5323304,"King County (Northwest Central)--Greater Bellevue City",30896.1893948047,32894.8491014731,27035.8906468847,22509.0746931621
5323305,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities",29544.9739917142,31237.6489095913,25688.9864951522,21356.3895157596
5323306,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities",21232.9466760171,20739.6503696414,18385.6416193844,16265.2597871151
5323307,"King County (Southwest)--Auburn City & Lakeland",20148.0348003685,19206.5759804046,18775.5861409732,18348.9018611961
5323308,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island",18033.1806765706,17175.3454107078,16781.554297462,16348.8208740705
5323309,"King County (Southwest Central)--Kent City",19164.3748755062,18191.9284319157,18417.8451653554,18590.5929573281
5323310,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway",22460.5316079238,22436.1261583463,20788.1960187214,19332.9132973167
5323311,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center",20148.8898897022,19845.1965502964,18858.2485168146,17959.6689971935
5323312,"Seatle City (West Seattle-Industrial)",23505.2776977552,24291.6530372514,21040.4719864029,18259.2740606621
5323313,"Seattle City (Southeast)",22146.7279151593,22527.8685271521,20299.0033859507,18373.8807620391
5323314,"Seattle City (Central)",22373.8200275326,23263.4167355226,20280.0866592035,17768.2681221126
5323315,"Seattle City (Lake Union-Downtown)",22521.6201686184,23598.7320132959,20409.3474833061,17776.875911008
5323316,"Seattle City (Northwest)",26166.7277558263,27350.4145533664,23315.6686018722,19971.0112658282
5323317,"Seattle City (Northeast)",24718.0745425584,25392.2471428197,22702.3940968634,20758.3670685516
5323318,"Seattle City (North)",21697.9777279845,22371.753628515,19622.3439169205,17330.8041860654
5325301,"Tacoma City (North)",18090.1556080449,17438.4577242455,16030.4519767975,14744.1120637713
5325302,"Tacoma City (South)",17260.1359846261,16009.498975406,16130.4751842383,16063.1616428252
5325303,"Pierce County (North Central)--Bonney Lake, Edgewood, Fife & Sumner Cities",19841.9179850261,18924.8231232853,17969.1571035082,16962.2103795394
5325304,"Pierce County (Southeast)--Graham, Elk Plain & Prairie Ridge",16387.0261354877,14545.2139767917,14026.6588334696,13376.6411814764
5325305,"Pierce County (East Central)--Puyallup City & South Hill",19763.472901065,18452.8825219101,18046.8699934076,17566.0166217169
5325306,"Pierce County (South Central)--Parkland & Spanaway",18114.8830848451,16474.7964955544,16989.8986827285,17280.4117174112
5325307,"Pierce County (West Central)--Lakewood & University Place Cities",15721.110393233,14706.6234516218,14285.7529677337,13841.6272790498
5325308,"Pierce County (Northwest)--Peninsula Region & JBLM",18736.900474751,17363.6234918329,16535.1823548275,15945.4575251478
5326101,"Snohomish County (North)--Marysville & Arlington Cities",17150.7170442668,16174.0396479524,15644.1795782437,14967.762126744
5326102,"Snohomish County (Central & Southeast)--Lake Stevens & Monroe Cities",20158.3790828407,19309.7661244785,17643.5412729291,15997.7514781152
5326103,"Snohomish County (South Central)--Bothell (North), Mill Creek Cities & Silver Firs",29643.8334237163,30417.9374778765,26205.9368690893,22588.0080126697
5326104,"Snohomish County (Southwest)--Edmonds, Lynnwood & Mountlake Terrace Cities",21190.5752073286,21180.5352397372,19334.6329722342,17718.0689610462
5326105,"Snohomish County (West Central)--Mukilteo & Martha Lake",22760.3208414608,22672.3713105537,20649.7388191295,18933.8308234072
5326106,"Snohomish County (Central)--Everett City & Eastmont",19719.968648467,19018.0870263368,18338.6516072709,17623.2271560089
