gid,name,price,sv_nu0,sv_nu5,sv_nu10
1100101,"District of Columbia (West)",21730.5129565582,22606.4147132361,19192.8594760908,16333.6508173104
1100102,"District of Columbia (North)",19496.5591320539,19790.9519852882,17682.1714987139,15834.8469002044
1100103,"District of Columbia (Northeast)",21881.7448544469,22577.9315210808,19581.53893151,16823.7569841107
1100104,"District of Columbia (East)",11902.2246111906,11705.0624068856,11227.5097007529,10683.4741724486
1100105,"District of Columbia (Central)",22631.3984594081,23322.0579894114,20329.9886200849,17551.8069320687
1100106,"District of Columbia (South Central)",20256.0593473208,20840.8455034658,18411.9362934389,16121.8651258134
2400301,"Central Frederick County--Frederick City",21085.0501064375,20701.1043251264,18580.6790892909,16561.9128181213
2400302,"Outer Frederick County",24373.846388577,23934.0069848916,21212.3039235247,18661.921198115
2401001,"North Montgomery County--Olney, Damascus & Darnestown",23497.3503403089,23769.724572326,20068.7853250742,16756.4262660519
2401002,"North Central Montgomery County--Germantown, Clarksburg & Montgomery Village",24921.4551138027,24669.6964508542,22310.6936407886,20052.8744131474
2401003,"Central Montgomery County--Gaithersburg & Rockville",22382.4103106816,22175.3172682908,20405.5692946904,18882.1747284673
2401004,"Southwest Montgomery County--North Bethesda & Potomac",25795.9876669624,26771.7672811316,22314.7992841546,18550.4753601524
2401005,"East Central Montgomery County--Wheaton, Aspen Hill & Glenmont",20114.0158747086,19881.0983760243,18238.1623253802,16795.0142495001
2401006,"East Montgomery County--Fairland, Colesville & White Oak",24573.8845912639,24212.4479457915,22109.3921225785,20221.7687729499
2401007,"Southeast Montgomery County--Takoma Park City & Silver Spring",22233.0097172422,22288.7686895625,20068.1581386301,18190.8740822782
2401008,"South Montgomery County--South Bethesda & Chevy Chase",24621.2059843126,25708.6468162161,21337.7447354128,17620.9970633956
2401101,"Inner Northwest Prince George's County--College Park City & Langley Park",20715.9391670324,18905.3685247764,20707.7011331462,22598.9031658343
2401102,"North Prince George's County--Laurel, Greenbelt & Beltsville",20008.1535313698,19213.2117887672,18489.8218011662,17682.243494125
2401103,"Inner Northeast Prince George's County--New Carrollton & Hyattsville",16795.6083678596,16058.7866303565,15763.8688521443,15342.7212839772
2401104,"Central Prince George's County--Seat Pleasant City, Capitol Heights Town & Landover",15386.3175616258,14644.9296552467,14570.6035461334,14329.4508175879
2401105,"East Prince George's County--Bowie City, Kettering & Largo",25637.7552896975,24991.2518108468,23094.40707383,21087.6745053461
2401106,"South Prince George's County--Clinton, Fort Washington & Rosaryville",21380.1993788879,20659.2530807477,19399.7291762884,18064.5324133463
2401107,"Southwest Prince George's County--Oxon Hill, Hillcrest Heights & Temple Hills",13416.0425576677,12816.8245837375,12683.4385471982,12297.2211953045
2401501,"Calvert & Southeast St. Mary's Counties--Chesapeake Beach & California",20299.7556219818,19114.7868230527,17312.6204634526,15493.3670316658
2401700,"Charles County--La Plata Town & Waldorf City",19624.6969887699,18546.5807219009,17320.9000068547,15975.5631335103
5101301,"Arlington County (North)",28232.975929416,29501.002418394,25086.324444786,21134.964334381
5101302,"Arlington County (South)",23767.4596546146,24383.5891807501,21468.0625180125,18801.1092160957
5105901,"Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West)",27947.5488333917,28181.4538622326,25380.3435703742,22843.219056589
5105902,"Fairfax County (Northwest)--Reston (North) & Franklin Farm",30001.073566226,30907.98250932,27010.6903901648,23605.8444980708
5105904,"Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East)",29272.7759099501,30359.9597257949,25957.3633317198,22242.4109988151
