gid,name,wedge_s0,wedge_s0.5,wedge_s1,wedge_s2,wedge_s5,wedge_s10,wedge_s20,wedge_s30,wedge_s50,price_s50
600101,"Alameda County (North)--Berkeley & Albany Cities",-171.227062663493,-170.375187831083,-169.531745891538,-167.869669810465,-163.073393780276,-155.660966919218,-142.689219771633,-131.71312535785,-114.151375731417,13952.928363079
600111,"Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland)",-18.7020839133183,-18.6090393534323,-18.516914926382,-18.3353761894323,-17.8115093124143,-17.0018945965203,-15.5850702483294,-14.3862186681708,-12.4680559932622,13475.076844014
600112,"Alameda County (Northwest)--Oakland City (Oakland Hills)",324.946019416726,323.329372979286,321.728732756997,318.574529567897,309.47239899839,295.405472850838,270.788349317216,249.958476969798,216.630680163547,14750.6528811517
600113,"Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland)",-1477.78988507605,-1470.4376973842,-1463.15830249266,-1448.81361359942,-1407.41893853467,-1343.44535044062,-1231.49157169739,-1136.76145071425,-985.193257509965,11693.9180359651
600114,"Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",-547.69144816816,-544.966614947556,-542.268760193081,-536.952399942769,-521.610903227047,-497.901316647363,-456.409540055929,-421.30111391161,-365.12763203953,12951.2805480066
600115,"Alameda County (Northwest)--Castro Valley & Ashland",-1127.56770780737,-1121.95791832733,-1116.40367114967,-1105.45853749558,-1073.87400835732,-1025.06155315879,-939.639756863167,-867.359774686658,-751.711805290484,12514.5293466899
600116,"Alameda County (Central)--Hayward City (East)",-1715.39017423917,-1706.85589505177,-1698.4061133927,-1681.75507316495,-1633.7049291351,-1559.44561360078,-1429.4918129579,-1319.53090340981,-1143.59344999192,9532.96247635401
600117,"Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",432.03382379801,429.884400855819,427.756261404655,423.56257245587,411.460783780461,392.75802167755,360.02818563781,332.333710440293,288.022548579222,18955.7083909333
600118,"Alameda County (South)--Fremont (Northeast) & Union City (East) Cities",67.1722173089365,66.8380260340964,66.507144479725,65.8551139808551,63.9735394766649,61.0656512065325,55.9768468701404,51.6709356660322,44.7814776093401,17040.3799382478
600119,"Alameda County (Central)--Pleasanton & Dublin (West) Cities",581.595796954771,578.702285118386,575.837422960845,570.191958266394,553.900758298339,528.723451529633,484.663164156747,447.381382687716,387.730531037778,17704.5909986108
600120,"Alameda County (East)--Livermore & Dublin (East) Cities",-242.09323868564,-240.888794684626,-239.696275539645,-237.346311523503,-230.564989894046,-220.084762353843,-201.744364771032,-186.22556787372,-161.395491943853,15309.7537986352
600121,"Alameda County (South)--Fremont City (Southeast)",1127.31376729245,1121.70524100562,1116.15224462965,1105.20957603765,1073.63215834016,1024.83069673114,939.428139296531,867.164436639076,751.542511603653,19629.1091088171
600122,"Alameda County (West)--Hayward City (West)",-1533.29495819732,-1525.66662482712,-1518.11381950097,-1503.23035064102,-1460.28091410542,-1393.90450753615,-1277.74579803353,-1179.45765914453,-1022.19663840971,14045.0417480745
600123,"Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale)",-965.028877267901,-960.227738087302,-955.474134669606,-946.106741036616,-919.075121879687,-877.298978924009,-804.190730894336,-742.329905197768,-643.352584270417,11932.9354719976
601301,"Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities",-1418.55369550291,-1411.49621479765,-1404.50860973004,-1390.73891756213,-1351.00352044656,-1289.59426884861,-1182.1280804431,-1091.19515050245,-945.702463866957,10609.4700054055
601305,"Contra Costa County (South)--San Ramon City & Danville Town",109.415539475744,108.871183207404,108.332216725074,107.270136813077,104.205274969187,99.4686720006284,91.1796155186021,84.1657990844651,72.9436924140064,16526.9872518626
601308,"Contra Costa County (Northeast)--Antioch City",-2103.21873375463,-2092.75495942374,-2082.39478590947,-2061.97915013599,-2003.06546138102,-1912.01703089173,-1752.68227845058,-1617.8605640468,-1402.14582299594,11482.1039720413
601309,"Contra Costa County (East)--Brentwood & Oakley Cities",-1871.39957409187,-1862.08912942806,-1852.87086592678,-1834.70546525607,-1782.28530949352,-1701.27233989033,-1559.49964609704,-1439.53813403017,-1247.59971610348,11780.599822033
601310,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities",-924.262848442853,-919.664526520013,-915.111731182114,-906.14004775908,-880.250333268275,-840.23895407634,-770.21904102075,-710.971422581986,-616.175232842108,13156.9043638862
601311,"Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",-819.079901355271,-815.004877247295,-810.970199051317,-803.019510954207,-780.07609729156,-744.618092167668,-682.566584135999,-630.061462265032,-546.053267296571,12903.5987464579
601312,"Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",261.162118914064,259.862804747416,258.576354922265,256.041292684124,248.72582659603,237.420107663274,217.635098446019,200.893937504266,174.108079372907,13920.2868554182
601313,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",-608.160158858336,-605.134486765692,-602.138771182556,-596.235449599106,-579.200152126614,-552.872871931424,-506.800132618155,-467.815506800391,-405.440106023196,13473.5068520053
601314,"Contra Costa County (North)--Pittsburg & Concord (North) Cities",-2065.27070599518,-2054.9957273232,-2044.82248109284,-2024.77520173388,-1966.92448239047,-1877.51882384145,-1721.05892192842,-1588.66977334459,-1376.84713728555,11888.5118242458
604103,"Marin County (North & West)--Novato & San Rafael (North) Cities",-1037.00347110853,-1031.84425012731,-1026.73610967349,-1016.67006906393,-987.622354174593,-942.730428587161,-864.169559225604,-797.694977059413,-691.335647328708,10749.4189547471
604104,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities",182.119092526595,181.213026985391,180.315933682428,178.548130312065,173.446754446682,165.562811277767,151.765910167,140.091609837375,121.412728212685,12471.6585755551
607507,"San Francisco County (South Central)--Bayview & Hunters Point",-907.263082357731,-902.749335769338,-898.280279844046,-889.473610351724,-864.060079319093,-824.784620412844,-756.052568566432,-697.894678612069,-604.842054918659,13856.8432761318
607508,"San Francisco County (Northwest)--Richmond, Western Addition & Presidio",-2099.50928402864,-2089.06396463456,-2078.72206301087,-2058.34243548993,-1999.53265215041,-1908.64480405102,-1749.59107019682,-1615.00714188741,-1399.67285620711,9191.35697458179
607509,"San Francisco County (Northeast)--Chinatown, North Beach & Russian Hill",181.194324661365,180.292860219317,179.400321509442,177.641495025216,172.566022899458,164.722113094838,150.995270502057,139.380249603153,120.796216735862,9669.380792554
607510,"San Francisco County (Southeast)--South of Market & Mission",1226.00281830013,1219.90330156043,1213.86417649148,1201.96354747096,1167.62173117044,1114.54801585452,1021.66901507521,943.079091147785,817.335211934584,19175.6799087746
607511,"San Francisco County (Southwest)--Central & Bernal Heights",948.925502941933,944.204480189997,939.530200973259,930.319120079006,903.738573537972,862.659547845062,790.771252193499,729.942694327507,632.617001900213,17133.8062325506
607512,"San Francisco County (Southwest)--Outer Sunset & Inner Sunset",152.594808391674,151.835629025853,151.083967756731,149.602752222803,145.328388384427,138.722552222003,127.162339870778,117.380621312383,101.729872170305,14506.6067555424
607513,"San Francisco County (Southwest)--Ingleside & South Central",126.246931672275,125.618836734797,124.996962341753,123.771501691499,120.235171947577,114.769937531113,105.205776134513,97.1130246190369,84.164621121241,16167.9116837279
607514,"San Francisco County (Northwest)--Western Addition & Marina",574.017216428419,571.16140947412,568.333877542907,562.761976810962,546.683062794516,521.83383297866,478.34768027487,441.551705125174,382.678144600117,13473.096196702
608101,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town",-838.986631790871,-834.81256928332,-830.679833819799,-822.535913737091,-799.034887932728,-762.715120513505,-699.155526433435,-645.374331933537,-559.324421715695,14435.5625644471
608102,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities",-428.170037452783,-426.039839401095,-423.930730112235,-419.774546595636,-407.780989432471,-389.2454886177,-356.808364731878,-329.361567025997,-285.446692124542,14607.5572211035
608103,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities",257.077825149194,255.798830760592,254.532500162779,252.037083258139,244.836023391534,233.707113117733,214.231520849007,197.752173030836,171.385216301222,14598.5859940182
608104,"San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities",-177.86030725509,-176.975430233793,-176.099313511364,-174.372850127365,-169.390769573743,-161.69118834909,-148.216922495321,-136.815620323892,-118.573537779688,13592.5223495869
608105,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities",982.412991230176,977.525364162306,972.686129850048,963.149991211536,935.631419839476,893.102719145005,818.677492480889,755.702300729416,654.941994335706,17802.5752330335
608106,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town",547.906730555613,545.18082555279,542.481910917581,537.163460959757,521.815932977777,498.097027206066,456.588941488375,421.466715523096,365.271153412728,15925.0928654297
608505,"Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock",-438.465113221024,-436.283695744183,-434.123876025216,-429.867758759458,-417.585823808844,-398.604648889675,-365.387595660923,-337.280857317368,-292.310075920737,18641.7476018437
608506,"Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities",-1686.27475118079,-1677.88532497505,-1669.57896257868,-1653.21054081522,-1605.97595451926,-1532.97704735841,-1405.22895990769,-1297.13442422432,-1124.18316812353,13226.7544549614
608507,"Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town",1740.64180685841,1731.98189704853,1723.40772948712,1706.51157542844,1657.75410087658,1582.40164214755,1450.53483847584,1338.95523616984,1160.42787106587,18480.0388793224
608508,"Santa Clara County (Central)--San Jose (West Central) & Campbell Cities",1202.12916697742,1196.14842460017,1190.22689804299,1178.55800691072,1144.88491980749,1092.84469756688,1001.774305975,924.714743904678,801.419444891068,18204.9703169803
608510,"Santa Clara County (Central)--San Jose City (Central)",41.2965068850972,41.0910514397474,40.8876303798424,40.4867716822737,39.3300062159651,37.5422789268305,34.4137553219225,31.7665439482153,27.5310045110491,14965.265512932
608511,"Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park",432.831659153169,430.678267662261,428.546197055464,424.344763322213,412.220626886447,393.483326589583,360.693049105088,332.947429525011,288.554439370851,16149.3908493594
608512,"Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley)",630.149020042762,627.013949675304,623.909921184561,617.793157220305,600.141923000676,572.862745345356,525.124183734457,484.730016026817,420.099347528569,16917.1626312023
608515,"Santa Clara County (Northwest)--Palo Alto City & Los Altos Hills Town",1312.04348257129,1305.51590316324,1299.05295260832,1286.31713925583,1249.56522098139,1192.76680161832,1093.36956802968,1009.26421655304,874.695654321145,16712.2251926075
608516,"Santa Clara County (Northwest)--Sunnyvale City",1894.19410889516,1884.77025722346,1875.43971174883,1857.05304797627,1803.99438891705,1721.99464399169,1578.49509069063,1457.07239151611,1262.79607236949,22283.3022608522
