gid,name,wedge_s0,wedge_s0.5,wedge_s1,wedge_s2,wedge_s5,wedge_s10,wedge_s20,wedge_s30,wedge_s50,price_s50
2500601,"Middlesex County (Northwest)--Outside Lowell",-215.784228248842,-214.710675542359,-213.647750577951,-211.553164494333,-205.508788472729,-196.167480214499,-179.820189971393,-165.987868184151,-143.856151668173,12383.8820053242
2500602,"Middlesex County--Lowell",-658.460278323266,-655.184356723759,-651.940870166452,-645.549292841337,-627.105027477894,-598.60025347133,-548.716899293584,-506.507907053248,-438.973519309566,9435.44504432249
2500603,"Middlesex County (Northeast)--Billerica, Tewksbury & Dracut",-115.479301608026,-114.904777944099,-114.335942358794,-113.215001825305,-109.98028794755,-104.981183624001,-96.2327519818282,-88.8302323501939,-76.9862012642716,12371.8963292039
2500604,"Middlesex County (West Central)",362.665577530966,360.86127152231,359.074830088764,355.554488693855,345.395788382943,329.695980006867,302.22131517858,278.973521785107,241.777052078221,11865.2872693862
2500605,"Middlesex County--Framingham & Marlborough",-202.987367360965,-201.977479747293,-200.977590942819,-199.007222181923,-193.321302617178,-184.533969870417,-169.15613915265,-156.144128543741,-135.324911392219,10543.0822783788
2500606,"Middlesex County (Southwest)",740.782423946155,737.096938930019,733.447944186068,726.257278990794,705.507070711119,673.43856735728,617.318686451061,569.83263340019,493.854949307946,14264.6218069327
2500607,"Middlesex County--Lexington, Burlington & Wilmington",696.698556657844,693.232394611809,689.800551194112,683.037800789316,663.522435018825,633.36232413078,580.582130534323,535.921966823977,464.465704488694,13555.2096876558
2500608,"Middlesex County--Woburn, Melrose & Reading",437.149543644511,434.974670270942,432.82133058285,428.577984048392,416.332898693428,397.408675845745,364.291286074873,336.26887953368,291.433029037953,13523.1347184387
2500609,"Middlesex County (East)--Malden & Medford",408.766947548771,406.733280726825,404.719750335207,400.751909669823,389.301854885027,371.606316155674,340.639123156951,314.436113703296,272.511298687168,13223.9437447153
2500610,"Middlesex County (East)--Somerville & Everett",497.326276918251,494.852016719957,492.402254214932,487.574781420637,473.644072816638,452.114796733589,414.438563681713,382.558674630003,331.550851208531,14602.8529054744
2500611,"Middlesex County (East)--Cambridge",934.028541802683,929.381633730263,924.780734627097,915.714256966279,889.550991658816,849.116856731634,778.357118101307,718.483494147,622.685694802909,14867.6539222174
2500612,"Middlesex County--Watertown, Arlington & Belmont",1090.93634722166,1085.50880287778,1080.13499730073,1069.54543890468,1038.98699735338,991.760315822205,909.113622500838,839.181805215976,727.290898226602,13751.2198253975
2500613,"Middlesex County--Newton & Waltham",690.292034079179,686.857745167341,683.457459434121,676.756896360603,657.42098434722,627.538212898111,575.243361730665,530.993872135294,460.194689496295,12479.9537634572
2500701,"Essex County (Northwest)--Haverhill & Methuen",-864.588719151976,-860.287283295636,-856.028434740676,-847.635998880451,-823.417827657824,-785.989744319457,-720.490599309713,-665.068245359344,-576.392479473074,9827.46571105787
2500702,"Essex County (West)--Lawrence & Andover",-747.026882076116,-743.31033018477,-739.630575966496,-732.379295388755,-711.454173557084,-679.115346932935,-622.522401455954,-574.636062846923,-498.017921114073,10689.640934686
2500703,"Essex County (North)--Newburyport, Amesbury & North Andover",-124.016062553697,-123.399067174852,-122.788180468751,-121.58437444152,-118.110535889318,-112.741874768009,-103.34671845336,-95.3969710719975,-82.6773747166608,10753.5621444006
2500704,"Essex County (Central)--Peabody, Danvers & Saugus",-168.576329981624,-167.737641631948,-166.907257442062,-165.270911409514,-160.548885769651,-153.251209306321,-140.480275011001,-129.674100128801,-112.3842201567,10993.2351551205
2500705,"Essex County--Lynn & Nahant",-670.551667167661,-667.215589579011,-663.912541981612,-657.403594679698,-638.620635767529,-609.592424664299,-558.793056051551,-515.808974851956,-447.034444656218,9746.08794627317
2500706,"Essex County (South Coastline)--Salem, Beverly & Gloucester",-317.649546794808,-316.069200879305,-314.504501894011,-311.421124440483,-302.523377864904,-288.772315061871,-264.707955723376,-244.345805358182,-211.76636433786,9482.51166523008
2500801,"Boston City--Allston, Brighton & Fenway",116.229524565417,115.651267330202,115.078736519121,113.950514159635,110.694785129588,105.663203739117,96.857936570821,89.4073259870802,77.4863491619035,13597.6604238185
2500802,"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End",757.437999824961,753.669651383141,749.938613677954,742.586274577454,721.369523436057,688.579999965688,631.198333206621,582.644615242929,504.958666659488,11648.1562171912
2500803,"Boston City--Dorchester & South Boston",219.180910277981,218.090458033337,217.010802404588,214.883245701072,208.743724050988,199.255373252878,182.650758625847,168.600700178307,146.12060681599,11352.5761473056
2500804,"Boston City--Mattapan & Roxbury",-261.566221693172,-260.264897094976,-258.976457022423,-256.437471865738,-249.110687291426,-237.787474193816,-217.971851587847,-201.2047859046,-174.377481172891,9064.44716394187
2500805,"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury",398.635415470682,396.652154643492,394.688530046198,390.819035091507,379.65277614295,362.395832351343,332.196179268836,306.642627293402,265.756943502958,12576.5477254527
2500806,"Suffolk County (North)--Revere, Chelsea & Winthrop",-166.565301758601,-165.736618600837,-164.916140039106,-163.299315222623,-158.633620896164,-151.423001413632,-138.804418036309,-128.127155077982,-111.043534376877,11524.6987452427
2500901,"Norfolk County (Northwest)--Needham, Wellesley & Westwood",579.931207736823,577.045977391004,574.189314305,568.560007464403,552.315435697506,527.210188782115,483.276005833293,446.100928654989,386.620804604678,15592.7582267247
2500902,"Norfolk County--Brookline, Milton & Dedham",609.592762464443,606.559962436459,603.557190989392,597.639963992631,580.564535699341,554.175239220618,507.993969096768,468.917510228655,406.395175259713,12657.8539046604
2500903,"Norfolk County--Quincy",82.3234226661079,81.9138532425732,81.5083396789487,80.7092387920202,78.4032597038222,74.8394754096298,68.6028523695113,63.3257100996379,54.8822820153891,9552.60625740739
2500904,"Norfolk County (Northeast)--Weymouth, Braintree, Randolph & Cohasset",-21.2816520433116,-21.1757737823464,-21.0709427814108,-20.8643648707475,-20.2682403386425,-19.3469563722392,-17.7347099613162,-16.3705018222554,-14.1877680542439,12246.057548023
2500905,"Norfolk County (Central)--Norwood, Stoughton & Canton",-55.4751024332327,-55.199107021188,-54.9258439056175,-54.3873549356867,-52.8334310925529,-50.4319111813002,-46.2292519214297,-42.6731559111413,-36.9834015745146,11087.6271105436
2500906,"Norfolk County (Southwest)--Franklin, Walpole & Foxborough",-212.005832312796,-210.951076709538,-209.906764201427,-207.848855247154,-201.910316573587,-192.73257444226,-176.67152655929,-163.081409371189,-141.337221001604,11973.3139169386
2501101,"Plymouth County--Brockton",-519.416416715272,-516.832256337211,-514.273680092914,-509.231781387653,-494.6823023218,-472.196743079538,-432.847014422785,-399.551090606483,-346.277611727965,9751.20276197827
2501102,"Plymouth County (West)--Bridgewater, Abington & Whitman",-473.953725779567,-471.595746804043,-469.261114104011,-464.660514942092,-451.384500758038,-430.867023183424,-394.961437750197,-364.579789007217,-315.969150236095,10321.8284793752
2501103,"Plymouth County (North)--Marshfield, Hingham & Scituate",-171.947977929967,-171.092515580958,-170.245522983794,-168.576449330136,-163.75997915203,-156.31634376195,-143.289982038581,-132.267675630084,-114.631985436894,9758.16558365063
2501104,"Plymouth County (South)--Plymouth Town, Middleborough & Wareham",-674.117717866184,-670.763898350306,-667.443284887908,-660.899723059503,-642.016874275741,-612.834288801707,-561.764764912537,-518.552090705212,-449.411811933108,8024.59455370464
3300301,"Strafford & Rockingham (Northern) Counties",-1020.39246130741,-1015.31588192711,-1010.28956543736,-1000.38476577387,-971.802344348125,-927.629510288347,-850.327050840135,-784.91727771892,-680.261640783617,8424.41718701841
3300701,"Outer Manchester City",-904.432719995675,-899.933055037442,-895.477940269107,-886.698744724159,-861.364495455773,-822.211563184543,-753.693933155768,-695.717476705127,-602.955146633751,10301.3746402088
3300801,"Seacoast Region--Rockingham County (Southern), Portsmouth City",-285.999386669697,-284.576504392879,-283.167709569656,-280.391555342578,-272.38036830242,-259.999442298078,-238.332822322203,-219.999528261464,-190.666257679788,9263.37214687827
