gid,name,wedge_s0,wedge_s0.5,wedge_s1,wedge_s2,wedge_s5,wedge_s10,wedge_s20,wedge_s30,wedge_s50,price_s50
1100101,"District of Columbia (West)",844.085169615737,839.885740797352,835.727889890357,827.534479142712,803.890637743181,767.350153531994,703.404307221264,649.296284069665,562.723446395796,11795.4101913888
1100102,"District of Columbia (North)",387.535890921332,385.607851019498,383.698901024505,379.937147228122,369.08180051566,352.305354267928,322.946575678981,298.104531331917,258.357260052546,10596.4870188391
1100103,"District of Columbia (Northeast)",881.300569893723,876.915990307676,872.574821502032,864.020166445684,839.333876237179,801.182335905884,734.417141743454,677.923515505887,587.533713349041,12379.3731831706
1100104,"District of Columbia (East)",34.8658731688593,34.6924106737843,34.52066583345,34.1822280713604,33.2055933047995,31.696247551381,29.0548939637793,26.8199019485482,23.2439150984519,6731.23641470617
1100105,"District of Columbia (Central)",852.856084342293,848.613018712978,844.411963866907,836.133415443517,812.243889645964,775.323712095764,710.713402958036,656.043141582577,568.570722373937,12694.3536926236
1100106,"District of Columbia (South Central)",860.817465275966,856.534790604022,852.29452004889,843.938691050247,819.826157478779,782.561332210566,717.347887683507,662.167281017657,573.878310145252,11747.4164502389
2400301,"Central Frederick County--Frederick City",-291.796626502324,-290.34490218608,-288.90755131203,-286.075124338129,-277.901548837457,-265.269660769216,-243.163855454253,-224.458943474403,-194.531084652332,10995.9921240104
2400302,"Outer Frederick County",-627.006357858128,-623.886923365444,-620.79837395146,-614.712115912567,-597.148912760054,-570.005779834162,-522.505297807775,-482.312582619916,-418.004238409818,11897.0385134855
2401001,"North Montgomery County--Olney, Damascus & Darnestown",-176.407647720796,-175.529998553626,-174.661037638711,-172.948675146938,-168.007284008303,-160.370590286544,-147.006373684326,-135.698190574465,-117.605098791659,11133.8426813088
2401002,"North Central Montgomery County--Germantown, Clarksburg & Montgomery Village",-124.585943059792,-123.966112798764,-123.352419630915,-122.143082060084,-118.653279554219,-113.25994880568,-103.821619520797,-95.8353410458058,-83.0572958256889,13167.0077443151
2401003,"Central Montgomery County--Gaithersburg & Rockville",46.5618860689319,46.3302347251956,46.1008770932167,45.6489076173712,44.3446535231124,42.3289869485598,38.8015716403406,35.8168356021615,31.0412575714308,12236.6577142352
2401004,"Southwest Montgomery County--North Bethesda & Potomac",968.128784693545,963.312223011057,958.543351089618,949.145866756786,922.027414092347,880.117076743369,806.773987539909,744.714449774088,645.419189686108,14026.040437331
2401005,"East Central Montgomery County--Wheaton, Aspen Hill & Glenmont",-96.3459252059893,-95.8665928353421,-95.392005657859,-94.4567900364782,-91.7580240473962,-87.5872053780131,-80.288271082416,-74.1122501816935,-64.2306172716289,10688.8089375307
2401006,"East Montgomery County--Fairland, Colesville & White Oak",-242.045713774642,-240.84150595155,-239.649221623116,-237.29972013244,-230.519726984119,-220.04155786246,-201.704761441766,-186.189010269678,-161.363809390345,12863.3609716039
2401007,"Southeast Montgomery County--Takoma Park City & Silver Spring",207.756504216846,206.722889226166,205.699508893846,203.682847030861,197.86333724916,188.869548497059,173.130420070782,159.812695604356,138.504335768537,12022.578691691
2401008,"South Montgomery County--South Bethesda & Chevy Chase",1029.5412053465,1024.419109248,1019.34772744738,1009.35412224356,980.515433782715,935.946549108361,857.95100383773,791.954772950779,686.360803494035,13360.4373743922
2401101,"Inner Northwest Prince George's County--College Park City & Langley Park",-1291.34213494757,-1284.91754783981,-1278.55656964614,-1266.02170202503,-1229.84965222497,-1173.94739603818,-1076.11844628221,-993.340104003986,-860.894757169903,11077.9309068184
2401102,"North Prince George's County--Laurel, Greenbelt & Beltsville",-570.131548667612,-567.295073448515,-564.486681966078,-558.952498784965,-542.982427208131,-518.301407983719,-475.109623911036,-438.562729787254,-380.087699061211,10536.8366213093
2401103,"Inner Northeast Prince George's County--New Carrollton & Hyattsville",-476.590939980266,-474.219841790049,-471.872218601278,-467.246020783719,-453.896133772529,-433.264491877095,-397.159117362406,-366.608415534782,-317.727293600254,9003.06679864909
2401104,"Central Prince George's County--Seat Pleasant City, Capitol Heights Town & Landover",-524.589573995474,-521.979676404784,-519.395618729563,-514.303504356511,-499.609118411017,-476.899614069736,-437.157978963138,-403.530441548279,-349.726382937943,8168.20047762194
